name,lon_lat,coor_type
أبن سعيد,"[[40.785842, 31.063178]]",POINT
أبو صور,"[[44.41751, 29.031222]]",POINT
أم الضيان,"[[41.976292, 30.947542]]",POINT
ابن بكر,"[[40.646024, 31.210291]]",POINT
ابن عايش,"[[42.351437, 30.307438]]",POINT
ابن لغيصم,"[[45.236678, 28.23673]]",POINT
اعيوج لينة,"[[44.03698, 28.817267]]",POINT
الادية,"[[42.203014, 29.279766]]",POINT
البرازية,"[[45.121257, 28.811817]]",POINT
الجبيلي,"[[41.613851, 29.18222]]",POINT
الحدق,"[[43.352931, 29.23301]]",POINT
الحدقة,"[[44.330478, 28.452187]]",POINT
الحماد,"[[37.987225, 31.425362]]",POINT
الحيانيه,"[[39.818745, 31.357899]]",POINT
الخشيبي,"[[44.040413, 29.299228]]",POINT
الدخول,"[[44.412918, 27.891369]]",POINT
الدويد,"[[42.295089, 30.230448]]",POINT
الديدب,"[[41.274519, 30.830641]]",POINT
السليمانية,"[[41.149185, 30.559351]]",POINT
الشريفات,"[[43.342888, 29.729927]]",POINT
العجرمية,"[[43.081105, 29.954588]]",POINT
القصورية,"[[44.399185, 29.042079]]",POINT
اللميماء,"[[42.493637, 30.554416]]",POINT
المصندق,"[[43.846092, 29.30824]]",POINT
الهبكة و الهبيكة,"[[42.293565, 29.832001]]",POINT
ام رضمة,"[[44.69691, 28.680539]]",POINT
ام عشر,"[[45.06727, 27.72033]]",POINT
رغوة,"[[44.051721, 28.609858]]",POINT
رفحاء,"[[43.534827, 29.613347]]",POINT
روضة ابن هباس,"[[44.312797, 29.149389]]",POINT
زبالا,"[[43.556113, 29.391496]]",POINT
زهوة,"[[42.100532, 29.687827]]",POINT
سامودة,"[[44.894643, 27.859097]]",POINT
شركة الفوسفات,"[[39.472439, 31.645861]]",POINT
شعبة نصاب,"[[44.740534, 28.889022]]",POINT
طريف,"[[38.670094, 31.681824]]",POINT
عرعر,"[[41.015117, 30.96576]]",POINT
قرية التمياط,"[[43.137152, 29.852965]]",POINT
قرية الجلاميد,"[[40.104067, 31.279321]]",POINT
قرية العويقيلة,"[[42.233591, 30.35486]]",POINT
قرية الكاسب,"[[41.939578, 30.497746]]",POINT
قرية المركوز,"[[42.63279, 30.13361]]",POINT
قيصومة فيحان,"[[42.967765, 29.1784]]",POINT
كمب ابن سمير - السلمانية,"[[42.281592, 29.540563]]",POINT
لوقة,"[[42.743447, 29.825563]]",POINT
لينة,"[[43.732538, 28.76225]]",POINT
مركز الابيض,"[[40.819809, 31.675408]]",POINT
مركز الامغر,"[[42.214279, 31.013031]]",POINT
مركز الباعجه,"[[38.73127, 31.90155]]",POINT
مركز البطن,"[[43.74361, 29.919419]]",POINT
مركز الجراني,"[[38.264008, 31.80439]]",POINT
مركز الخبراء,"[[38.999062, 31.972275]]",POINT
مركز الدبوسه,"[[41.685562, 31.265373]]",POINT
مركز الدميثه,"[[38.537292, 31.854858]]",POINT
مركز السيسبي,"[[39.959915, 32.018967]]",POINT
مركز الصحن,"[[42.795181, 30.599327]]",POINT
مركز الظهره,"[[45.847664, 29.105186]]",POINT
مركز الفيضه,"[[41.939964, 31.164436]]",POINT
مركز القرية,"[[41.160986, 31.512222]]",POINT
مركز الليفيه,"[[43.137474, 30.352135]]",POINT
مركز المحافير,"[[42.544899, 30.777855]]",POINT
مركز النظيم,"[[44.035606, 29.676819]]",POINT
مركز الهوة,"[[39.580328, 32.080185]]",POINT
مركز اليوبهي,"[[43.437538, 30.123138]]",POINT
مركز ام الحشو,"[[40.651817, 31.796837]]",POINT
مركز ام الحيران,"[[45.146599, 29.157372]]",POINT
مركز تبال,"[[40.37585, 31.9276]]",POINT
مركز جديدة عرعر,"[[41.443391, 31.323159]]",POINT
مركز خالد,"[[46.057885, 29.089394]]",POINT
مركز سماح,"[[45.518074, 29.134026]]",POINT
مركز عظامان,"[[38.175774, 31.664314]]",POINT
مركز عنازه,"[[39.221535, 32.112007]]",POINT
مركز محمية الحره,"[[38.493047, 30.953486]]",POINT
مركز نصاب,"[[44.714828, 29.193785]]",POINT
مركز نعيج,"[[38.000679, 31.642685]]",POINT
مركزالحمايه الرئيسي,"[[39.259944, 31.209218]]",POINT
نعيجان,"[[42.104051, 29.542515]]",POINT
هجرة ابن شريم,"[[43.359582, 29.943988]]",POINT
هجرة أم خنصر,"[[41.594539, 30.694964]]",POINT
هجرة ابن بشيت,"[[44.48493, 28.602304]]",POINT
هجرة ابن ثنيان,"[[42.011869, 30.461826]]",POINT
هجرة ابن سوقي,"[[43.26519, 29.764988]]",POINT
سنار,"[[43.829677, 28.708048]]",POINT
هجرة الجبهان- الجميمة,"[[43.634884, 29.567857]]",POINT
هجرة العجل,"[[43.313427, 29.717116]]",POINT
هجرة دغيليب,"[[44.923181, 28.804758]]",POINT
