name,lon_lat,coor_type
بركة,"[[43.348317, 28.673651]]",POINT
بركة,"[[43.37029, 28.677599]]",POINT
بركة (الهتيم) القاع,"[[43.627202, 29.757607]]",POINT
بركة الثليماء,"[[43.612289, 29.625149]]",POINT
بركة الجميمة,"[[43.603728, 29.605579]]",POINT
بركة الخشيبي,"[[43.90317, 29.192626]]",POINT
بركة الشيحيات,"[[43.475003, 29.095531]]",POINT
بركة الظفيري,"[[43.616753, 29.987698]]",POINT
بركة العميا,"[[43.390846, 28.977127]]",POINT
بركة العمياء,"[[43.620358, 29.883327]]",POINT
بركة الياس,"[[40.800154, 31.205399]]",POINT
بركة زبالا,"[[43.562508, 29.397869]]",POINT
بركة شريف الجعيب,"[[41.556366, 30.758822]]",POINT
بركة غصن,"[[41.490963, 31.054401]]",POINT
بركة غصن,"[[41.98612, 31.093111]]",POINT
حيراء فيحان,"[[43.381405, 29.543095]]",POINT
خب الاشياخ,"[[42.546723, 28.718498]]",POINT
خب التمياط,"[[43.786676, 28.625779]]",POINT
خب الحيانية,"[[42.422504, 28.711417]]",POINT
خب المعدى,"[[44.87606, 27.615337]]",POINT
خب المندس,"[[42.134156, 28.90887]]",POINT
خب سحا,"[[42.578931, 28.800595]]",POINT
خب سحاء,"[[42.08622, 28.851342]]",POINT
خب سحيبة,"[[41.57366, 28.868272]]",POINT
خباري البريكات,"[[41.916597, 29.829791]]",POINT
خباري الرقطان,"[[39.467611, 31.928909]]",POINT
خباري السروجيات,"[[39.226427, 31.981952]]",POINT
خباري الشبهة,"[[39.763727, 31.080902]]",POINT
خباري الشريزة,"[[39.452934, 32.078876]]",POINT
خباري الضباعيات,"[[41.522827, 30.88583]]",POINT
خباري المباوقيات,"[[41.447296, 31.183319]]",POINT
خباري الندوف,"[[39.731026, 31.161175]]",POINT
خباري الهوة,"[[39.606807, 31.98457]]",POINT
خباري عروس,"[[39.575243, 31.143901]]",POINT
خبراء ابن رشيد,"[[45.081646, 28.99116]]",POINT
خبراء اخيضر,"[[37.961712, 31.353285]]",POINT
خبراء الجلعد,"[[43.305016, 29.216595]]",POINT
خبراء الحنو و البرق,"[[38.465795, 31.407681]]",POINT
خبراء الروض,"[[42.584531, 29.785674]]",POINT
خبراء الشديد,"[[38.823495, 31.659529]]",POINT
خبراء الصانع,"[[44.208963, 29.010429]]",POINT
خبراء العتيبي,"[[44.2731, 28.824434]]",POINT
خبراء القيق,"[[39.287968, 30.950031]]",POINT
خبراء الكاسب,"[[41.786156, 30.283513]]",POINT
خبراء اللقطة,"[[41.74427, 29.900322]]",POINT
خبراء اللميماء ام تليل,"[[42.536767, 30.559738]]",POINT
خبراء المزوى,"[[42.488894, 29.775009]]",POINT
خبراء المسعري,"[[44.533296, 28.731887]]",POINT
خبراء المعيقلي,"[[45.060017, 28.080304]]",POINT
خبراء المنجوره,"[[44.451177, 28.933289]]",POINT
خبراء النعرة,"[[42.847624, 29.58468]]",POINT
خبراء الهجم,"[[39.371223, 31.649895]]",POINT
خبراء ام الضيان,"[[41.924772, 31.006529]]",POINT
خبراء ام خنصر,"[[41.611512, 30.795557]]",POINT
خبراء ام طرفاة,"[[41.771951, 30.019155]]",POINT
خبراء ام غماره,"[[38.84654, 31.816514]]",POINT
خبراء زلاقة,"[[38.77058, 31.278419]]",POINT
خبراء شمر,"[[42.066479, 30.093613]]",POINT
خبراء صوير,"[[44.447594, 28.998413]]",POINT
خبراء علي,"[[43.341923, 28.997555]]",POINT
خبراء فهران,"[[44.513898, 28.935156]]",POINT
خبراء مدحلة,"[[39.647427, 31.948457]]",POINT
خبراء مرعيد,"[[44.134827, 29.568844]]",POINT
خبراء مطربه,"[[44.050713, 28.738003]]",POINT
خبراء مقناص,"[[42.743597, 29.165096]]",POINT
خبراء منجورة,"[[41.485405, 30.919991]]",POINT
خبراء نصلة,"[[39.242048, 31.317902]]",POINT
خبراء نواظر,"[[43.125501, 29.635384]]",POINT
خبرة البردويل,"[[38.949966, 31.883354]]",POINT
خبرة الجريبه,"[[43.683143, 29.500158]]",POINT
خبرة المحاني,"[[45.533309, 28.83321]]",POINT
روض هزاع الشعلان,"[[41.91473, 29.546185]]",POINT
روضة الخميسيه,"[[44.061785, 28.691869]]",POINT
روضة ام المهابش,"[[45.179193, 27.975247]]",POINT
روضة ام المهابيش,"[[45.112717, 27.918835]]",POINT
روضة ام عشر,"[[45.067291, 27.749405]]",POINT
روضة عليان,"[[41.397772, 31.358328]]",POINT
روضة محارب,"[[45.104692, 28.30606]]",POINT
سد العوشزي,"[[40.854013, 30.900121]]",POINT
سد الغرابة,"[[40.83395, 30.883019]]",POINT
شعبان الارطاويات,"[[43.141015, 29.029913]]",POINT
شعبان البضاضيك,"[[44.714913, 28.34228]]",POINT
شعبان الخور,"[[39.174671, 31.40871]]",POINT
شعبان الخور,"[[39.319918, 31.134074]]",POINT
شعبان الروثية الشرقية,"[[38.841476, 31.150703]]",POINT
شعبان الروثية الغربية,"[[38.685093, 31.206644]]",POINT
شعبان الشبهه,"[[40.375035, 31.754994]]",POINT
شعبان الشبهه,"[[40.443785, 31.695685]]",POINT
شعبان الشبهه,"[[40.538692, 31.838508]]",POINT
شعبان العاذريات,"[[44.938374, 27.708077]]",POINT
شعبان العكرشي,"[[43.821888, 28.456414]]",POINT
شعبان العوج,"[[42.936587, 29.067786]]",POINT
شعبان العوج,"[[42.896354, 29.06137]]",POINT
شعبان اللبيدي,"[[41.871514, 29.442308]]",POINT
شعبان رجل القلات,"[[42.606869, 29.545047]]",POINT
شعبان مديسيسات,"[[43.467085, 29.534104]]",POINT
شعيب أم شيح,"[[43.185904, 28.474309]]",POINT
شعيب أم طليحة,"[[43.202384, 28.390689]]",POINT
شعيب أم قليب,"[[43.150263, 28.515551]]",POINT
شعيب أم قليب,"[[43.084517, 28.395753]]",POINT
شعيب ابا الجرفان,"[[43.912826, 28.101461]]",POINT
شعيب ابا الرمم,"[[43.122518, 29.187305]]",POINT
شعيب ابا الرمم,"[[43.467901, 29.228439]]",POINT
شعيب ابا الرواث,"[[44.859881, 28.773601]]",POINT
شعيب ابا رواث,"[[43.75037, 29.393363]]",POINT
شعيب ابو ارطى,"[[44.602089, 27.673531]]",POINT
شعيب ابو خشبة,"[[44.108949, 28.123348]]",POINT
شعيب ابو خميس,"[[40.489747, 31.598117]]",POINT
شعيب ابو رغاب,"[[41.082087, 31.112831]]",POINT
شعيب ابو رمث,"[[42.875669, 29.320815]]",POINT
شعيب ابو سعرة,"[[43.916194, 28.974123]]",POINT
شعيب ابو شظاظ,"[[44.448538, 28.975647]]",POINT
شعيب ابو عرجاة,"[[42.41626, 29.325449]]",POINT
شعيب ابو عشر,"[[44.585202, 27.680182]]",POINT
شعيب ابو عشرة,"[[44.033546, 28.287005]]",POINT
شعيب ابو عوشز,"[[43.018062, 29.496145]]",POINT
شعيب ابو هذلول,"[[44.026186, 28.244348]]",POINT
شعيب ارقط,"[[39.416735, 31.834688]]",POINT
شعيب ارقط,"[[39.57447, 31.551189]]",POINT
شعيب اعيوج,"[[44.099293, 28.869302]]",POINT
شعيب الأرطاوي,"[[43.878922, 28.201754]]",POINT
شعيب الأرطاوي,"[[43.837852, 28.246579]]",POINT
شعيب الأرطاوي,"[[43.39222, 28.485661]]",POINT
شعيب الأرطاوي أبو طلحة,"[[43.336515, 28.442037]]",POINT
شعيب الأرطاوي أبو طلحة,"[[43.367436, 28.373179]]",POINT
شعيب الأسيد,"[[38.176997, 31.100192]]",POINT
شعيب الابيتر,"[[39.729953, 31.512115]]",POINT
شعيب الارطاوي,"[[42.217026, 30.661812]]",POINT
شعيب الارطاوي,"[[41.9502, 29.29882]]",POINT
شعيب الارطاوي,"[[42.080662, 29.473829]]",POINT
شعيب الارطاوي,"[[42.006183, 29.440591]]",POINT
شعيب الافيح,"[[40.600534, 31.117702]]",POINT
شعيب الافيح,"[[43.054497, 29.277041]]",POINT
شعيب الاويسط,"[[40.896499, 31.171989]]",POINT
شعيب البحيرة,"[[40.074348, 31.699462]]",POINT
شعيب البدع,"[[43.314242, 28.440449]]",POINT
شعيب البردويل,"[[39.047384, 31.882324]]",POINT
شعيب البسيتين,"[[43.640871, 28.42869]]",POINT
شعيب البشوك,"[[44.83072, 27.904587]]",POINT
شعيب البغدادي,"[[42.480526, 30.154016]]",POINT
شعيب البقرة,"[[39.137378, 31.762869]]",POINT
شعيب البلادي,"[[44.783428, 27.929006]]",POINT
شعيب البويب,"[[42.044678, 29.593434]]",POINT
شعيب الثرياء,"[[43.088293, 28.64507]]",POINT
شعيب الثميلة,"[[38.062928, 31.542177]]",POINT
شعيب الثميلة,"[[43.61347, 28.823297]]",POINT
شعيب الثميلة,"[[43.653188, 28.821924]]",POINT
شعيب الجبر,"[[38.616128, 31.481409]]",POINT
شعيب الجراني,"[[38.481331, 31.778984]]",POINT
شعيب الجرداء,"[[43.795903, 29.007318]]",POINT
شعيب الحدق,"[[43.361514, 29.234169]]",POINT
شعيب الحضير,"[[43.037717, 29.112589]]",POINT
شعيب الحضير,"[[43.113785, 29.130592]]",POINT
شعيب الحفيرة,"[[43.81397, 29.016438]]",POINT
شعيب الحمار,"[[41.751952, 30.929153]]",POINT
شعيب الحمرة,"[[43.477921, 29.769967]]",POINT
شعيب الحنظلية ام رضمة,"[[40.39675, 30.849073]]",POINT
شعيب الحنظلية ام رضمة,"[[40.56663, 30.788026]]",POINT
شعيب الحنظلية ام غدران,"[[40.445137, 30.796909]]",POINT
شعيب الحوايا,"[[44.075625, 28.116889]]",POINT
شعيب الخد,"[[40.54028, 31.741583]]",POINT
شعيب الخديد,"[[42.690296, 29.710121]]",POINT
شعيب الخديد,"[[42.677228, 29.723661]]",POINT
شعيب الخرش,"[[43.238389, 28.604858]]",POINT
شعيب الخسائر,"[[44.477613, 28.856599]]",POINT
شعيب الخشيبي,"[[43.776484, 29.095767]]",POINT
شعيب الخشيبي,"[[43.984773, 29.255798]]",POINT
شعيب الخشيبية,"[[44.09322, 28.536043]]",POINT
شعيب الخشيبية,"[[44.340348, 28.57883]]",POINT
شعيب الخفس,"[[41.213, 31.078284]]",POINT
شعيب الخليقة,"[[40.742261, 31.452119]]",POINT
شعيب الخميسية,"[[44.136114, 28.80435]]",POINT
شعيب الخميسيه,"[[44.011853, 28.63625]]",POINT
شعيب الخنبش,"[[44.921765, 27.814872]]",POINT
شعيب الخويش,"[[44.370239, 28.482356]]",POINT
شعيب الخويش,"[[44.612861, 28.478172]]",POINT
شعيب الخيسة,"[[43.344176, 28.575289]]",POINT
شعيب الدغيمية,"[[43.044648, 28.487506]]",POINT
شعيب الدمثي,"[[43.256414, 29.287748]]",POINT
شعيب الدميثة,"[[38.649173, 31.85827]]",POINT
شعيب الدميثة,"[[41.854692, 29.727416]]",POINT
شعيب الدهان,"[[44.001038, 28.797054]]",POINT
شعيب الدويرة,"[[42.930129, 29.414477]]",POINT
شعيب الذيبة,"[[44.038911, 27.99634]]",POINT
شعيب الرصيف,"[[43.17215, 29.323754]]",POINT
شعيب الرفيعي,"[[40.775907, 31.389506]]",POINT
شعيب الرمانة,"[[42.821531, 29.058774]]",POINT
شعيب الرمثي,"[[42.068818, 29.340234]]",POINT
شعيب الرمثية,"[[42.064784, 29.206188]]",POINT
شعيب الرمثية,"[[42.193379, 29.298735]]",POINT
شعيب الرمثية,"[[42.966371, 29.421215]]",POINT
شعيب الرميلة,"[[43.982112, 28.304708]]",POINT
شعيب الروثية,"[[43.022525, 29.307597]]",POINT
شعيب الروثية,"[[43.431616, 29.089265]]",POINT
شعيب الرويثية,"[[41.099854, 31.078541]]",POINT
شعيب الرويحلي,"[[44.05848, 28.603098]]",POINT
شعيب الرويحلي,"[[44.317152, 28.69204]]",POINT
شعيب الزعتري,"[[42.235651, 30.118332]]",POINT
شعيب السبطاة,"[[43.324242, 28.370476]]",POINT
