name,lon_lat,coor_type
جبال الذيب,"[[42.043819, 29.608412]]",POINT
جبال الرميثة,"[[43.088787, 28.62844]]",POINT
جبال المابية,"[[38.133974, 31.080902]]",POINT
جبال النهيدين,"[[38.528602, 30.93883]]",POINT
جبال ام وعال,"[[38.898404, 31.79379]]",POINT
جبل اقرن,"[[38.310742, 31.535954]]",POINT
جبل الافضخ,"[[42.10139, 29.977505]]",POINT
جبل الجبيل,"[[42.87039, 28.499823]]",POINT
جبل الحنو,"[[38.320742, 31.316571]]",POINT
جبل الخطيمي,"[[38.637714, 31.418838]]",POINT
جبل الخلاد,"[[38.092797, 31.488061]]",POINT
جبل الدسم الاحمر,"[[38.605571, 30.97312]]",POINT
جبل السادة,"[[38.590164, 31.095428]]",POINT
جبل السحامية,"[[39.145939, 31.215377]]",POINT
جبل الشيحية,"[[39.109268, 31.098175]]",POINT
جبل اللويزية,"[[39.141841, 31.00801]]",POINT
جبل المتياهة,"[[38.655395, 31.054058]]",POINT
جبل المسما,"[[38.177576, 31.127143]]",POINT
جبل المصلى,"[[38.219891, 31.512394]]",POINT
جبل المضبعة,"[[38.378055, 31.003568]]",POINT
جبل المكمن,"[[38.521671, 30.983849]]",POINT
جبل الهنيدية,"[[38.365889, 31.446798]]",POINT
جبل ام اذن,"[[38.07724, 31.333523]]",POINT
جبل ام اذن,"[[43.153803, 29.744647]]",POINT
جبل زلاقة,"[[38.755753, 31.274171]]",POINT
جبل سنار,"[[43.833067, 28.722167]]",POINT
جبل طيب اسم,"[[38.06797, 31.271553]]",POINT
جبل عاقر,"[[38.516736, 31.140382]]",POINT
جبل عبدي,"[[38.136699, 31.372747]]",POINT
جبل عمود الحره,"[[39.331591, 30.98166]]",POINT
جبل كتيفة,"[[38.56081, 31.537135]]",POINT
جبل لس,"[[38.532035, 31.225419]]",POINT
جبل مشاور,"[[38.514462, 31.051655]]",POINT
جبل مصلوخ,"[[38.265724, 31.259494]]",POINT
جبل وعيلة,"[[38.924196, 31.742721]]",POINT
حزم الابيتر,"[[39.69841, 31.507394]]",POINT
حزم الجلاميد,"[[39.969828, 31.223316]]",POINT
حزم الصداوي,"[[44.592476, 29.295902]]",POINT
حزم الضيرين,"[[44.470596, 28.202119]]",POINT
حزم القعساء,"[[39.384441, 31.532822]]",POINT
حزم المركوز,"[[44.948931, 28.972406]]",POINT
حزم ام الارجام,"[[42.92294, 29.035084]]",POINT
حزم ام الارجام,"[[45.283585, 29.027703]]",POINT
حزم جدلا,"[[41.816046, 29.482327]]",POINT
حزم جلاعدة,"[[43.241715, 29.978278]]",POINT
حزم فلجاء,"[[45.668492, 29.071949]]",POINT
حزن زبالة,"[[43.500001, 29.000001]]",POINT
حزوم ارقط,"[[39.540975, 31.688969]]",POINT
حزوم الحوايا,"[[44.044619, 29.286418]]",POINT
حزوم الشعران,"[[39.796128, 31.006336]]",POINT
حزوم الطويخات,"[[44.089594, 28.085346]]",POINT
حزوم الغرابة,"[[40.457196, 30.998633]]",POINT
حزوم الندوف,"[[39.776623, 31.155231]]",POINT
حزوم بطين,"[[39.63202, 31.778083]]",POINT
حزوم عروس,"[[39.635217, 31.097381]]",POINT
حزوم قبعة,"[[43.130715, 28.615823]]",POINT
حزوم كتيفة,"[[39.553828, 31.283398]]",POINT
سمر الحجول,"[[41.040158, 31.402359]]",POINT
شداد المسماء,"[[38.24873, 31.013567]]",POINT
ضلع القليلة,"[[40.526204, 31.607323]]",POINT
ضلع المسيكين,"[[42.027426, 29.636564]]",POINT
ضلع سنار القيصومه,"[[43.102412, 29.265218]]",POINT
ضلعان البضاضيك,"[[44.765275, 28.387578]]",POINT
ضلعان السهلة,"[[43.162279, 29.254231]]",POINT
ضليعات الهمل,"[[44.091654, 29.260797]]",POINT
ضليعات مريشد,"[[45.068278, 28.70822]]",POINT
عبد ام ذروق,"[[38.094449, 31.097081]]",POINT
غار ابن شرهان,"[[44.930263, 29.020107]]",POINT
غويرات البقر,"[[39.927084, 31.960559]]",POINT
غويرات البقر,"[[40.079091, 31.934831]]",POINT
كهف العقرب السوداء,"[[42.308972, 29.768701]]",POINT
كهف رجل المكسور,"[[42.301719, 29.751985]]",POINT
كهيف البل,"[[44.685924, 27.827897]]",POINT
كهيف الغنم,"[[44.636078, 27.911239]]",POINT
مكمن الشداد,"[[38.24182, 30.996551]]",POINT
مكمن مشاور,"[[38.284435, 31.070924]]",POINT
