name,lon_lat,coor_type
العقم,"[[38.086188, 31.658199], [38.084128, 31.657212], [38.078184, 31.655002], [38.075566, 31.654358], [38.072605, 31.653972], [38.068442, 31.653821], [38.063185, 31.653457], [38.061511, 31.653092], [38.058422, 31.652169], [38.049796, 31.650324], [38.048315, 31.650152], [38.047113, 31.649852], [38.045526, 31.649423], [38.044775, 31.649058], [38.044324, 31.648757], [38.043723, 31.648521], [38.042049, 31.648135], [38.038359, 31.647406], [38.032608, 31.647105], [38.030226, 31.646869], [38.028188, 31.646354], [38.027093, 31.646225], [38.022308, 31.645539], [38.019412, 31.645195], [38.017802, 31.644831], [38.015592, 31.644616], [38.014026, 31.644509], [38.012824, 31.644552], [38.011129, 31.644402], [38.008876, 31.644766], [38.006902, 31.644509], [38.005679, 31.64408], [38.001409, 31.641741], [38.000443, 31.641655], [37.999606, 31.641912], [37.998362, 31.642449]]",LINESTRING
العقم,"[[38.175774, 31.664314], [38.172448, 31.664078], [38.115241, 31.665602], [38.10756, 31.664593], [38.099878, 31.662791], [38.094985, 31.65998], [38.086188, 31.658199]]",LINESTRING
العقم,"[[38.26566, 31.725082], [38.203325, 31.708281], [38.198025, 31.70047], [38.175774, 31.664314]]",LINESTRING
العقم,"[[38.297224, 31.73285], [38.26566, 31.725082]]",LINESTRING
العقم,"[[38.376939, 31.752698], [38.365846, 31.749523], [38.297224, 31.73285]]",LINESTRING
العقم,"[[38.459895, 31.773663], [38.406036, 31.760445], [38.376939, 31.752698]]",LINESTRING
العقم,"[[38.604262, 31.808681], [38.584328, 31.803489], [38.54358, 31.79306]]",LINESTRING
العقم,"[[38.54358, 31.79306], [38.496523, 31.782289], [38.472984, 31.777031], [38.459895, 31.773663]]",LINESTRING
العقم,"[[38.689985, 31.830268], [38.675115, 31.827779], [38.656061, 31.8225], [38.630655, 31.815698], [38.604262, 31.808681]]",LINESTRING
العقم,"[[38.77425, 31.85076], [38.736269, 31.841576], [38.719254, 31.837349], [38.7005, 31.832628], [38.689985, 31.830268]]",LINESTRING
العقم,"[[38.853514, 31.870093], [38.813689, 31.860394], [38.782489, 31.852863], [38.77425, 31.85076]]",LINESTRING
العقم,"[[38.93338, 31.887903], [38.898597, 31.880543], [38.853514, 31.870093]]",LINESTRING
العقم,"[[39.074936, 31.924381], [39.049101, 31.917772], [39.036076, 31.914425], [39.020391, 31.910219], [39.006679, 31.9067]]",LINESTRING
العقم,"[[39.006679, 31.9067], [38.978848, 31.899533], [38.968699, 31.896873], [38.93338, 31.887903]]",LINESTRING
العقم,"[[39.150724, 31.967382], [39.135189, 31.958349], [39.12813, 31.954637], [39.121885, 31.950796], [39.117744, 31.94865], [39.114997, 31.947319], [39.106607, 31.932707], [39.074936, 31.924381]]",LINESTRING
العقم,"[[39.32687, 32.011092], [39.317493, 32.0118], [39.307151, 32.013345], [39.297259, 32.014396], [39.292495, 32.014847], [39.290972, 32.014568], [39.27475, 32.009547], [39.252734, 32.002702], [39.245267, 32.000642], [39.241555, 31.999805]]",LINESTRING
العقم,"[[39.241555, 31.999805], [39.234066, 31.997595], [39.192352, 31.986716], [39.188576, 31.986029], [39.184027, 31.98487], [39.180658, 31.984141], [39.178576, 31.983562], [39.175529, 31.98281], [39.172118, 31.98118], [39.167011, 31.978669], [39.160531, 31.973863], [39.156346, 31.970816], [39.150724, 31.967382]]",LINESTRING
العقم,"[[39.415061, 32.002659], [39.398925, 32.004354], [39.366009, 32.008882], [39.360709, 32.009375], [39.32687, 32.011092]]",LINESTRING
