name,lon_lat,coor_type
,"[[43.948917, 28.320501], [43.948982, 28.320823], [43.94896, 28.321102], [43.94881, 28.321359], [43.948445, 28.321617], [43.948081, 28.321788], [43.94778, 28.322089], [43.94778, 28.322325], [43.948081, 28.322668], [43.948252, 28.323162], [43.94851, 28.323784], [43.948488, 28.324213], [43.948209, 28.324707], [43.947544, 28.32505], [43.947287, 28.325243], [43.947136, 28.3255], [43.947051, 28.325908], [43.947179, 28.32638], [43.948123, 28.327024], [43.948445, 28.327281], [43.948467, 28.327582], [43.94836, 28.327839], [43.947866, 28.328247], [43.947458, 28.32844], [43.946986, 28.328848], [43.9469, 28.32902], [43.946943, 28.329234], [43.947008, 28.329341], [43.948209, 28.329749], [43.948553, 28.330221], [43.948531, 28.330543], [43.948295, 28.330843], [43.948102, 28.331401], [43.948081, 28.33183], [43.948166, 28.33226], [43.948746, 28.332882], [43.949347, 28.333504], [43.94999, 28.334148], [43.950634, 28.334877], [43.950784, 28.335264], [43.951364, 28.336229], [43.952007, 28.33683], [43.953037, 28.337667]]",LINESTRING
,"[[44.926872, 28.80435], [44.928846, 28.795874], [44.933588, 28.781819], [44.935219, 28.767936], [44.944232, 28.726416]]",LINESTRING
,"[[44.944232, 28.726416], [44.94406, 28.695259], [44.94494, 28.690109], [44.945111, 28.68541]]",LINESTRING
دباية العاذرية,"[[45.642958, 28.9573], [45.638945, 28.958309], [45.63652, 28.958931], [45.634546, 28.959553], [45.633967, 28.959832], [45.633688, 28.960047], [45.633388, 28.960304], [45.632229, 28.960648], [45.630856, 28.960884], [45.628624, 28.960991], [45.626864, 28.961248], [45.624054, 28.961849], [45.606201, 28.965518], [45.601523, 28.966527], [45.592511, 28.968694], [45.589721, 28.969402], [45.580537, 28.970625], [45.577812, 28.97114], [45.564573, 28.971441], [45.560517, 28.971376]]",LINESTRING
دباية العاذرية,"[[45.732243, 28.93404], [45.727651, 28.936358], [45.724754, 28.937924], [45.712287, 28.944404], [45.708361, 28.945327], [45.702031, 28.946421], [45.698254, 28.947151], [45.694757, 28.947644], [45.689285, 28.949018], [45.684564, 28.950455], [45.68229, 28.951013], [45.681131, 28.951271], [45.678577, 28.952129], [45.67626, 28.952794], [45.675681, 28.952944], [45.671067, 28.953695], [45.670188, 28.953867], [45.660596, 28.95539], [45.659888, 28.955541], [45.655811, 28.955884], [45.646434, 28.956785], [45.642958, 28.9573]]",LINESTRING
درب ابن لغيصم,"[[45.237193, 28.236923], [45.240047, 28.238339], [45.24421, 28.24085], [45.253201, 28.245292], [45.262749, 28.249841], [45.266676, 28.251514], [45.273929, 28.255119], [45.281181, 28.258681], [45.285301, 28.260591], [45.289142, 28.262458], [45.292404, 28.264003], [45.292897, 28.264196], [45.294507, 28.26499], [45.298004, 28.266427], [45.301931, 28.2675], [45.307767, 28.268852], [45.310149, 28.269646], [45.313797, 28.270912], [45.323303, 28.27529], [45.326607, 28.275805]]",LINESTRING
درب ابن لغيصم,"[[45.292897, 28.264196], [45.292618, 28.266685], [45.291824, 28.268874], [45.291545, 28.271341], [45.29176, 28.272715], [45.292039, 28.276598], [45.291953, 28.278165], [45.290408, 28.286469], [45.287125, 28.305223], [45.285709, 28.313141], [45.282168, 28.33432], [45.280795, 28.340971], [45.280688, 28.342173], [45.280688, 28.343332], [45.280881, 28.344147], [45.281074, 28.344576], [45.281138, 28.344834], [45.281138, 28.345113], [45.28101, 28.34537], [45.280516, 28.346014], [45.27998, 28.346658], [45.279636, 28.347173], [45.279443, 28.347945], [45.278993, 28.350563], [45.278413, 28.354104]]",LINESTRING
درب ابن لغيصم,"[[45.278413, 28.354104], [45.277705, 28.358223], [45.277083, 28.361356], [45.276804, 28.363287], [45.276353, 28.365862], [45.275559, 28.370218], [45.274465, 28.37554], [45.273628, 28.381355], [45.273006, 28.386076], [45.272727, 28.394079], [45.27262, 28.402212], [45.27247, 28.410473], [45.272319, 28.415987], [45.272105, 28.427124], [45.271826, 28.44444]]",LINESTRING
درب الجلعوديه,"[[43.90729, 28.804629]]",POINT
درب الحفيره,"[[43.983335, 29.333324]]",POINT
درب الصفيري مركز سماح,"[[45.531764, 29.042723], [45.529683, 29.082141], [45.521336, 29.11864], [45.519769, 29.130013]]",LINESTRING
