name,lon_lat,coor_type
ابار اخضر الماء,"[[42.255135, 30.814419]]",POINT
ابار الجواري,"[[41.74751, 29.991753]]",POINT
ابار الجوزلي,"[[42.064762, 30.621986]]",POINT
ابار الخرش,"[[42.942381, 28.930371]]",POINT
ابار الخواضة,"[[42.20192, 30.850296]]",POINT
ابار السائح,"[[40.884719, 31.224883]]",POINT
ابار الشويغرات,"[[43.741014, 28.771884]]",POINT
ابار العويصي,"[[41.110518, 31.155725]]",POINT
ابار الفقيعية,"[[45.670252, 28.909042]]",POINT
ابار القطعية,"[[41.382065, 31.294727]]",POINT
ابار اللويزية,"[[41.341832, 31.258056]]",POINT
ابار المساوري,"[[41.75796, 29.875753]]",POINT
ابار المنقوري,"[[41.570485, 30.372412]]",POINT
ابار المنكصم,"[[41.767273, 29.863415]]",POINT
ابار المهينيه,"[[44.269044, 28.481948]]",POINT
ابار الهبكة,"[[42.29393, 29.829083]]",POINT
ابار الوقبي,"[[45.512517, 28.769975]]",POINT
ابار ام سبعه,"[[43.878622, 28.555913]]",POINT
ابار ام عماره,"[[44.966505, 28.03344]]",POINT
ابار ثمايل نعجه,"[[43.90435, 28.682964]]",POINT
ابار خضراء,"[[43.194873, 28.289924]]",POINT
ابار زقم,"[[44.419076, 28.789887]]",POINT
ابار سراب,"[[44.783471, 27.995331]]",POINT
ابار صافي الماء,"[[41.38876, 31.300564]]",POINT
ابار علبان,"[[41.398201, 31.356697]]",POINT
ابار عوافي,"[[43.723462, 28.787634]]",POINT
ابار عوى,"[[40.867896, 31.232672]]",POINT
ابار غبيشان,"[[45.120742, 27.885683]]",POINT
ابار غبيشه,"[[45.133359, 27.932482]]",POINT
ابار قيصومة فيحان,"[[42.967229, 29.171941]]",POINT
ابار مراء,"[[40.247555, 31.74021]]",POINT
ابار مسامة,"[[42.101562, 30.578728]]",POINT
بئر ابا رواث,"[[41.919923, 29.886675]]",POINT
بئر الاميغر,"[[42.200375, 30.963249]]",POINT
بئر الثمامي,"[[44.938459, 27.65969]]",POINT
بئر الجليدة,"[[45.644932, 29.035707]]",POINT
بئر الزبر,"[[44.890866, 28.632967]]",POINT
بئر الزعبلي,"[[44.340928, 29.21917]]",POINT
بئر المعيزيلة,"[[43.558388, 28.919964]]",POINT
بئر ام الشنين,"[[42.802026, 28.432767]]",POINT
بئر جريبعات,"[[45.458014, 29.152436]]",POINT
بئر سويدان,"[[40.850945, 31.218166]]",POINT
بئر عيدهه,"[[43.908234, 29.846828]]",POINT
بير خنيفس,"[[43.396339, 29.071541]]",POINT
ثمائل العلوكية,"[[43.217876, 29.175096]]",POINT
ثمائل اللبدي,"[[41.892607, 29.463401]]",POINT
ثمائل المتك,"[[44.348803, 28.312712]]",POINT
ثمايل ابا القد,"[[42.884467, 29.748917]]",POINT
ثمايل الليفية,"[[43.021388, 30.369816]]",POINT
خزان ابن زويمل,"[[42.982335, 29.374459]]",POINT
خزان البرازي,"[[45.133123, 28.83085]]",POINT
خزان البوشيه,"[[45.177155, 28.935606]]",POINT
خزان خور الفحل,"[[43.159747, 28.72751]]",POINT
قلبان ابو شظاظ,"[[44.273508, 28.809607]]",POINT
قلبان الارطاويه,"[[44.618933, 28.089767]]",POINT
قلبان البطيحي,"[[41.03312, 31.04805]]",POINT
قلبان الحفيرة,"[[43.779016, 28.959274]]",POINT
قلبان الدويد,"[[42.019057, 30.01276]]",POINT
قلبان الركعاء,"[[42.547538, 29.73896]]",POINT
قلبان الرمثيات,"[[41.929987, 29.45456]]",POINT
قلبان الروض,"[[42.572858, 29.79224]]",POINT
قلبان الشاظي,"[[40.880921, 31.23353]]",POINT
قلبان الشلاله,"[[44.644232, 28.126931]]",POINT
قلبان الصنيديق,"[[43.893084, 29.318819]]",POINT
قلبان العود,"[[44.785423, 27.971492]]",POINT
قلبان القراين,"[[44.19244, 28.572929]]",POINT
قلبان المسعري,"[[44.18993, 28.63183]]",POINT
قلبان ام نغرة,"[[44.302111, 28.686461]]",POINT
قلبان خليف,"[[44.309385, 28.621831]]",POINT
قلبان خليف,"[[44.463279, 28.667278]]",POINT
قلبان خليفة,"[[44.304965, 28.639555]]",POINT
قلبان رغوه,"[[44.091804, 28.678308]]",POINT
قلبان سراب,"[[44.765403, 27.995782]]",POINT
قلبان غنيم,"[[44.236236, 28.532031]]",POINT
قلبان مطربه,"[[44.036357, 28.739355]]",POINT
قلبان وسيط,"[[44.665089, 28.101268]]",POINT
قليب ابن شريم,"[[43.594887, 29.888971]]",POINT
قليب الامغر,"[[42.284489, 30.965824]]",POINT
قليب الشميلة,"[[42.88893, 30.315807]]",POINT
قليب المجرور,"[[44.865053, 29.181941]]",POINT
قليب المروب,"[[44.128261, 28.635478]]",POINT
قليب جنوب لينه,"[[43.738739, 28.747895]]",POINT
قليب سيار,"[[44.676676, 28.117983]]",POINT
قليب طلحه,"[[44.698219, 28.076248]]",POINT
قليب عريفج,"[[44.607003, 28.113284]]",POINT
قليب غرابان,"[[43.939776, 28.955519]]",POINT
قليب منجورة,"[[44.344511, 28.917196]]",POINT
مارد ماء,"[[42.154455, 29.9156]]",POINT
مارد ماء,"[[42.175484, 28.812611]]",POINT
مارد ماء المعيزيله,"[[43.39119, 28.920221]]",POINT
مورد ماء,"[[44.683349, 27.623684]]",POINT
