name,lon_lat,coor_type
الطعيس,"[[43.717303, 28.553231]]",POINT
طعس الاثالي,"[[41.599216, 29.109135]]",POINT
طعس الضلل,"[[41.843147, 28.824177]]",POINT
طعس المزيني,"[[42.279854, 28.924084]]",POINT
طعس عميرة,"[[41.620846, 28.925629]]",POINT
طعس منظور,"[[42.110832, 28.952429]]",POINT
طعوس الاشياخ,"[[42.480955, 28.751221]]",POINT
طعوس الحناتين,"[[42.787306, 28.650606]]",POINT
طعوس الرماديات,"[[42.991819, 28.696911]]",POINT
طعوس الزريبا,"[[43.86888, 28.660648]]",POINT
طعوس الضلة,"[[41.775341, 28.885803]]",POINT
طعيس المظهور,"[[43.067908, 28.79817]]",POINT
عرق الابيتر,"[[41.873853, 29.54155]]",POINT
عرق الاشياخ,"[[42.776277, 28.784266]]",POINT
عرق الدخول,"[[44.293249, 27.946622]]",POINT
عرق الدخول,"[[44.377985, 27.835815]]",POINT
عرق الشبة,"[[43.275189, 28.730342]]",POINT
عرق العاقر,"[[43.097949, 28.765275]]",POINT
عرق اللبيد,"[[43.123913, 28.592241]]",POINT
عرق اللبيد,"[[43.352072, 28.518362]]",POINT
عرق اللبيد,"[[43.444684, 28.484309]]",POINT
عرق ام اذن,"[[43.420458, 28.63934]]",POINT
عرق ام اذن,"[[43.489337, 28.624964]]",POINT
عرق ام نقي,"[[44.217396, 28.107147]]",POINT
عرق سادة الخر,"[[42.143211, 29.478014]]",POINT
عرق عرفان,"[[44.940219, 27.592936]]",POINT
عرق لبيدين,"[[43.218241, 28.682899]]",POINT
عرق مريط,"[[42.907619, 28.987041]]",POINT
نازية الدويرة,"[[41.603937, 28.837631]]",POINT
نازية الضبطا,"[[44.168043, 28.375089]]",POINT
نازية الطلوع,"[[43.741314, 28.67687]]",POINT
نازية الغضاة,"[[41.529694, 28.906939]]",POINT
نازية الغضاة,"[[41.529694, 28.906918]]",POINT
نازية المتك,"[[41.638012, 29.175568]]",POINT
نازية المزموم,"[[42.392528, 28.796883]]",POINT
نازية المعيزيلة,"[[43.380761, 28.873122]]",POINT
نازية المكاحة,"[[41.494503, 28.83894]]",POINT
نازية النهود,"[[41.450901, 28.951035]]",POINT
نازية النويطة,"[[42.39624, 29.05607]]",POINT
نازية النويطة البيضاء,"[[41.608658, 29.03944]]",POINT
نازية النويطة الدهماء,"[[41.57587, 29.061756]]",POINT
نازية الهويمي,"[[44.300051, 28.166649]]",POINT
نازية اليتيمة,"[[43.465047, 28.765383]]",POINT
نازية ام رقيبة,"[[44.604063, 28.042281]]",POINT
نازية ام رماح,"[[43.105996, 28.968801]]",POINT
نازية انبط,"[[41.705282, 29.5573]]",POINT
نازية دهيرب,"[[41.608829, 28.8937]]",POINT
نازية ربداء,"[[42.436581, 28.96642]]",POINT
نازية رجعان,"[[41.600075, 29.077034]]",POINT
نازية سعدي,"[[41.4818, 29.089222]]",POINT
نازية شقيراء,"[[41.992836, 28.876362]]",POINT
نازية صالح,"[[41.678352, 28.929405]]",POINT
نازية عبيدان,"[[41.672001, 28.843575]]",POINT
نازية عتيق,"[[41.639214, 28.994122]]",POINT
نازية عذيفاء,"[[41.514416, 29.16441]]",POINT
نازية عضيات حمد,"[[41.71114, 29.02914]]",POINT
نازية عميليده,"[[43.206503, 28.80332]]",POINT
نازية فهد,"[[41.703415, 28.955841]]",POINT
نازية مشرفة,"[[41.852074, 29.042873]]",POINT
نازية ملوح,"[[41.693652, 28.979144]]",POINT
نازية نعجة,"[[43.892119, 28.680089]]",POINT
نفود ابو عمار,"[[42.664289, 28.972149]]",POINT
نفود الجرعاء,"[[45.033324, 27.633297]]",POINT
نفود ربداء,"[[42.355042, 28.932002]]",POINT
نفود سعيد,"[[41.827462, 28.964961]]",POINT
نفود عقارب,"[[42.687442, 29.330642]]",POINT
نوازي الحتيفه,"[[44.533339, 28.083329]]",POINT
نوازي الدغم,"[[42.370341, 29.104521]]",POINT
نوازي الغر,"[[41.496906, 28.954468]]",POINT
نوازي الغر,"[[41.627348, 28.962901]]",POINT
نوازي القرائن,"[[41.478088, 29.050641]]",POINT
نوازي المنصرمات,"[[41.733069, 29.166877]]",POINT
