name,lon_lat,coor_type,category
هبج ضاحك,"[[45.968664, 25.85289]]",POINT,أسماء ثانوية
هجال الحمير,"[[47.968197, 22.470689]]",POINT,أسماء ثانوية
هجلة السواد,"[[45.107095, 19.926581]]",POINT,أسماء ثانوية
هجلة الكدرة,"[[45.908239, 23.828595]]",POINT,أسماء ثانوية
هجلة المدي,"[[47.650108, 23.142185]]",POINT,أسماء ثانوية
هجلة ام مروة,"[[45.829446, 23.829646]]",POINT,أسماء ثانوية
هجلة رغيدان,"[[45.898733, 23.787696]]",POINT,أسماء ثانوية
هجلة سرابة,"[[47.6968, 23.299599]]",POINT,أسماء ثانوية
هجلة سيف,"[[47.563076, 23.338738]]",POINT,أسماء ثانوية
هدبات مصيقره,"[[45.689135, 24.272232]]",POINT,أسماء ثانوية
هشيم,"[[46.759551, 23.412337]]",POINT,أسماء ثانوية
نقى سبيت,"[[45.202904, 27.095203]]",POINT,أسماء ثانوية
نقى محصام,"[[45.451984, 26.919422]]",POINT,أسماء ثانوية
نقي الذيابة,"[[44.824154, 27.418485]]",POINT,أسماء ثانوية
نقي ام الجماجم,"[[45.387118, 26.914852]]",POINT,أسماء ثانوية
نقي فجحان,"[[46.273556, 26.447096]]",POINT,أسماء ثانوية
نقيان البريكه,"[[44.891939, 27.261372]]",POINT,أسماء ثانوية
نقيان اوتاد,"[[46.716721, 26.243227]]",POINT,أسماء ثانوية
نفي الهمل,"[[45.211358, 26.96429]]",POINT,أسماء ثانوية
نفيد الشعب,"[[43.206117, 24.794168]]",POINT,أسماء ثانوية
نقا ابن فجحان,"[[46.078205, 26.49456]]",POINT,أسماء ثانوية
نقا ابو حثول,"[[46.189785, 26.51619]]",POINT,أسماء ثانوية
نقا ابو حثول الاوسط,"[[44.84705, 27.308106]]",POINT,أسماء ثانوية
نقا ابو حثول الجنوبي,"[[44.85574, 27.282851]]",POINT,أسماء ثانوية
نقا ابو حثول الشمالي,"[[44.818897, 27.354991]]",POINT,أسماء ثانوية
