name,lon_lat,coor_type
هبج ضاحك,"[[45.968664, 25.85289]]",POINT
هجال الحمير,"[[47.968197, 22.470689]]",POINT
هجلة السواد,"[[45.107095, 19.926581]]",POINT
هجلة الكدرة,"[[45.908239, 23.828595]]",POINT
هجلة المدي,"[[47.650108, 23.142185]]",POINT
هجلة ام مروة,"[[45.829446, 23.829646]]",POINT
هجلة رغيدان,"[[45.898733, 23.787696]]",POINT
هجلة سرابة,"[[47.6968, 23.299599]]",POINT
هجلة سيف,"[[47.563076, 23.338738]]",POINT
هدبات مصيقره,"[[45.689135, 24.272232]]",POINT
هشيم,"[[46.759551, 23.412337]]",POINT
نقى سبيت,"[[45.202904, 27.095203]]",POINT
نقى محصام,"[[45.451984, 26.919422]]",POINT
نقي الذيابة,"[[44.824154, 27.418485]]",POINT
نقي ام الجماجم,"[[45.387118, 26.914852]]",POINT
نقي فجحان,"[[46.273556, 26.447096]]",POINT
نقيان البريكه,"[[44.891939, 27.261372]]",POINT
نقيان اوتاد,"[[46.716721, 26.243227]]",POINT
نفي الهمل,"[[45.211358, 26.96429]]",POINT
نفيد الشعب,"[[43.206117, 24.794168]]",POINT
نقا ابن فجحان,"[[46.078205, 26.49456]]",POINT
نقا ابو حثول,"[[46.189785, 26.51619]]",POINT
نقا ابو حثول الاوسط,"[[44.84705, 27.308106]]",POINT
نقا ابو حثول الجنوبي,"[[44.85574, 27.282851]]",POINT
نقا ابو حثول الشمالي,"[[44.818897, 27.354991]]",POINT
نقا ابو رويسين,"[[44.80525, 26.688602]]",POINT
نقا الامغر,"[[45.106773, 27.00109]]",POINT
نقا التنهات,"[[46.405649, 26.218185]]",POINT
نقا الجمل,"[[46.324174, 26.423707]]",POINT
نقا الحنان,"[[46.249609, 26.458747]]",POINT
نقا الحومة,"[[44.897797, 27.312205]]",POINT
نقا الخنصر,"[[44.888635, 27.239721]]",POINT
نقا الدسمه,"[[44.502182, 26.66502]]",POINT
نقا الفريد,"[[44.830334, 27.508543]]",POINT
نقا المطوع,"[[45.86174, 26.626225]]",POINT
نقا ام طليحة,"[[45.13984, 26.98092]]",POINT
نقا خريم,"[[47.344723, 25.341511]]",POINT
نقا سليمان,"[[44.804842, 26.722291]]",POINT
نقا صولة,"[[44.773235, 26.694932]]",POINT
نقا محرقة,"[[45.787067, 26.623478]]",POINT
نقا هشال,"[[46.2433, 26.404953]]",POINT
نقرة أبو أرطى,"[[44.579751, 26.577988]]",POINT
نقرة أبو قبر,"[[44.568615, 26.622727]]",POINT
نقرة أم قبر,"[[44.939232, 26.844213]]",POINT
نقرة الاثلة,"[[44.714699, 26.305389]]",POINT
نقرة الامية,"[[44.738731, 26.264191]]",POINT
نقرة البقعاوية,"[[44.615736, 26.594167]]",POINT
نقرة الخليل,"[[44.759331, 26.295776]]",POINT
نقرة رميحة,"[[44.518383, 26.550028]]",POINT
نقرة زهلولة,"[[44.740448, 26.29715]]",POINT
نبطاء حوفية,"[[43.484745, 21.791618]]",POINT
نجار,"[[44.08468, 24.18256]]",POINT
نخيل القديم,"[[46.692624, 22.075481]]",POINT
نديم قلها,"[[46.675072, 22.837572]]",POINT
نظيم كنهرا,"[[47.421734, 25.860679]]",POINT
نغر الدخيل,"[[46.304347, 26.656952]]",POINT
نغر الذيب,"[[46.254523, 26.539106]]",POINT
نغر صياح,"[[46.394792, 26.528592]]",POINT
مقطع البيب,"[[47.258291, 23.74197]]",POINT
مقطع البيب,"[[47.625132, 23.508167]]",POINT
مقطع البيب,"[[47.455788, 23.29005]]",POINT
مقطع الجافي,"[[47.346761, 25.061252]]",POINT
مقطع وادي الخوار,"[[47.833443, 23.735533]]",POINT
مقناص,"[[44.876404, 27.189789]]",POINT
مقناص,"[[45.008326, 26.9135]]",POINT
مقناص,"[[45.747113, 26.665535]]",POINT
مقناص,"[[45.751748, 26.520267]]",POINT
مقناص ام الهشيم,"[[44.866619, 27.146873]]",POINT
مقناص خبة السياريات,"[[44.862843, 27.123785]]",POINT
مقناص سواد,"[[45.774965, 26.97607]]",POINT
مقناص نقيان,"[[44.68955, 26.876421]]",POINT
مقوع السرة,"[[45.355339, 22.778435]]",POINT
مكبة,"[[46.902094, 21.130056]]",POINT
ملتبه,"[[46.4167, 25.816369]]",POINT
مليح,"[[44.915199, 26.142826]]",POINT
مملحة القصب,"[[45.551205, 25.255165]]",POINT
مناثر ارطى وعاذر,"[[45.954437, 26.683731]]",POINT
مناقع بني لذة,"[[47.37545, 24.428787]]",POINT
منتزة الريميات,"[[45.014784, 26.126196]]",POINT
منتزه الديرة,"[[47.307472, 25.434208]]",POINT
منجم الجدعاء,"[[44.78008, 22.516437]]",POINT
منجور المخاريم,"[[44.838231, 20.629599]]",POINT
منطقة حزوم,"[[46.41655, 22.12904]]",POINT
منطقة غيهب,"[[46.438158, 22.330141]]",POINT
منقع الساقية,"[[47.803574, 23.936462]]",POINT
منقع ام ركبة,"[[46.769314, 23.089142]]",POINT
منقع ظلما,"[[47.323608, 24.296608]]",POINT
منقع ظليما,"[[47.33408, 24.354973]]",POINT
منقع مبهل,"[[46.136398, 21.319656]]",POINT
مهامة ام جص,"[[42.555885, 24.519768]]",POINT
لغف,"[[46.34737, 22.826242]]",POINT
لغف حرابة,"[[46.019154, 26.815739]]",POINT
ليلى,"[[46.729939, 22.293642]]",POINT
ماوان,"[[46.837227, 23.919382]]",POINT
مبدى القريوي,"[[46.087496, 21.373258]]",POINT
