name,lon_lat,coor_type
هجرة الابرق,"[[46.182146, 21.367636]]",POINT
الرياض,"[[46.646876, 24.761381]]",POINT
الخرج,"[[47.302752, 24.148593]]",POINT
وادي الدواسر,"[[44.779093, 20.47534]]",POINT
ام حزم,"[[44.592133, 25.833492]]",POINT
أبو سدرة,"[[44.652665, 24.940488]]",POINT
أبو عرينة,"[[43.457, 24.038386]]",POINT
أبو عويشز,"[[45.299635, 23.7854]]",POINT
أبو مروة,"[[44.964252, 24.23938]]",POINT
أرطاوي الحماميد,"[[43.520129, 24.837685]]",POINT
أرطاوي الرقاص,"[[44.702404, 25.066359]]",POINT
أرطاوي حليت,"[[43.527682, 24.805584]]",POINT
أعبلية,"[[42.808442, 23.77744]]",POINT
أفقرا,"[[44.054081, 24.564486]]",POINT
أم ارطى,"[[42.272429, 24.65126]]",POINT
أم السباع,"[[45.587468, 24.285021]]",POINT
أم الشيح,"[[43.500946, 24.015985]]",POINT
أم الصفار,"[[44.508533, 22.487984]]",POINT
أم العثاكل,"[[44.263058, 24.49625]]",POINT
أم القطا الجنوبية,"[[43.487642, 24.511785]]",POINT
أم القطا الشمالية,"[[43.485389, 24.519596]]",POINT
أم جدير,"[[44.945583, 23.25119]]",POINT
أم جفر,"[[45.097997, 23.587024]]",POINT
أم حزم,"[[43.889437, 25.319517]]",POINT
أم حليس,"[[44.72944, 23.146884]]",POINT
القرارة,"[[44.527416, 22.760861]]",POINT
أم رديهة,"[[43.64218, 24.659951]]",POINT
أم رضمة,"[[43.695867, 24.690614]]",POINT
أم زموع,"[[43.767986, 24.77005]]",POINT
أم سريحة,"[[42.833226, 23.830633]]",POINT
أم سريحة,"[[44.592004, 23.712358]]",POINT
أم سريحة,"[[45.4375, 23.06056]]",POINT
أم سريحة,"[[45.905256, 23.630734]]",POINT
أم سليم,"[[44.577971, 25.169806]]",POINT
أم شيح,"[[44.461606, 26.782844]]",POINT
أم طلحة,"[[45.120742, 26.592622]]",POINT
أم طليح,"[[45.846419, 24.400506]]",POINT
أم طليحة,"[[43.719857, 24.765909]]",POINT
أم طليحة,"[[44.422445, 25.358312]]",POINT
أم طليحة,"[[45.257149, 25.438671]]",POINT
أم قويع,"[[45.680981, 23.737314]]",POINT
أوضاخ,"[[43.918233, 25.248492]]",POINT
ابا الجرفان,"[[44.928246, 23.819904]]",POINT
