name,lon_lat,coor_type
وادي بوظة,"[[46.048744, 24.722607]]",POINT
وادي بوظة,"[[46.033852, 24.666667]]",POINT
وادي بيضان,"[[46.419919, 23.36762]]",POINT
وادي تثليث,"[[44.251685, 20.570569]]",POINT
وادي ترابان,"[[43.418183, 23.83544]]",POINT
وادي تمير,"[[45.86719, 25.709231]]",POINT
وادي جبجب,"[[44.089336, 20.050156]]",POINT
وادي جبجب,"[[44.214671, 19.820795]]",POINT
وادي جبلية,"[[47.504025, 22.360268]]",POINT
وادي جدعان,"[[47.324381, 23.133302]]",POINT
وادي جريذي,"[[46.786201, 25.266409]]",POINT
وادي جريذي,"[[47.058349, 25.352004]]",POINT
وادي جفن,"[[43.559654, 23.361869]]",POINT
وادي جنفا,"[[43.501933, 24.204254]]",POINT
وادي جهام,"[[42.484818, 24.185672]]",POINT
وادي جهام,"[[43.595381, 24.510627]]",POINT
وادي حراضة,"[[46.56656, 22.551327]]",POINT
وادي حرم,"[[46.315634, 22.139211]]",POINT
وادي حرم,"[[46.554823, 22.016602]]",POINT
وادي حنيفة,"[[46.482961, 24.834337]]",POINT
وادي حنيفة,"[[46.576989, 24.706686]]",POINT
وادي حنيفة,"[[46.643786, 24.641089]]",POINT
وادي حنيفة,"[[46.607738, 24.659114]]",POINT
وادي حنيفة,"[[46.703053, 24.597659]]",POINT
وادي حنيفة,"[[46.710713, 24.585128]]",POINT
وادي حنيفة,"[[46.67166, 24.625297]]",POINT
وادي حنيفة,"[[46.66945, 24.613817]]",POINT
وادي حنيفة,"[[46.799247, 24.484062]]",POINT
وادي حنيفة,"[[46.854587, 24.384928]]",POINT
وادي حنيفة,"[[47.176001, 24.286566]]",POINT
وادي حنيفة,"[[47.362855, 24.21773]]",POINT
وادي حويمضة,"[[45.22213, 23.046076]]",POINT
وادي خربقاء,"[[44.212589, 23.557949]]",POINT
وادي خشيبان,"[[48.134708, 23.942986]]",POINT
وادي خنقة التنية,"[[44.618955, 24.065638]]",POINT
وادي خنقة التنية,"[[44.838188, 24.070337]]",POINT
وادي خنقة عروى,"[[44.938803, 24.03918]]",POINT
وادي خنوقة,"[[43.905702, 24.396021]]",POINT
وادي خنوقة,"[[43.676598, 24.292059]]",POINT
وادي خنوقة,"[[43.685846, 24.350359]]",POINT
وادي خويش,"[[47.264278, 25.316706]]",POINT
وادي خويش الريان,"[[47.192416, 25.295441]]",POINT
وادي خويش الريان,"[[47.089548, 25.190406]]",POINT
وادي خويش العطشان,"[[47.063498, 25.11981]]",POINT
وادي خويش العطشان,"[[47.225933, 25.285034]]",POINT
وادي خويش زمزم,"[[47.342641, 25.066617]]",POINT
وادي خيم,"[[44.907904, 22.762578]]",POINT
وادي خيم,"[[45.014613, 22.736871]]",POINT
وادي خيم,"[[45.161533, 22.767127]]",POINT
وادي دعيبان,"[[47.566531, 23.574579]]",POINT
وادي دعيكان,"[[42.347124, 23.433988]]",POINT
وادي دغمان,"[[44.204307, 23.449974]]",POINT
وادي ذعيفان,"[[45.44471, 22.981639]]",POINT
وادي رحية,"[[44.686289, 19.9775]]",POINT
وادي رغوان,"[[44.525678, 20.935071]]",POINT
وادي روفان,"[[42.253761, 24.014268]]",POINT
وادي ريم,"[[46.088097, 22.362027]]",POINT
وادي زراق,"[[44.967771, 21.890881]]",POINT
وادي زريق,"[[46.941233, 23.361933]]",POINT
وادي ستارة,"[[46.401444, 22.612524]]",POINT
وادي سجا,"[[42.756622, 23.611443]]",POINT
وادي سحاب,"[[46.774313, 22.3104]]",POINT
وادي سحاب,"[[46.728909, 22.309756]]",POINT
وادي سدير,"[[45.89633, 25.56437]]",POINT
وادي سديرة,"[[45.290816, 23.22469]]",POINT
وادي سديرة,"[[47.696564, 24.375551]]",POINT
وادي سرير,"[[42.40021, 23.600628]]",POINT
وادي سرير,"[[42.38534, 23.548121]]",POINT
وادي سعد,"[[47.498338, 25.037284]]",POINT
وادي سمجان,"[[43.977563, 23.793941]]",POINT
وادي شطاب,"[[46.740303, 22.817745]]",POINT
وادي شطاب,"[[46.890292, 22.660868]]",POINT
وادي شقران,"[[47.69959, 22.57199]]",POINT
وادي صفار,"[[46.514633, 24.703574]]",POINT
وادي صفار,"[[46.563385, 24.725461]]",POINT
وادي طزيز,"[[47.381458, 22.312202]]",POINT
وادي طلحى,"[[46.894519, 23.212974]]",POINT
وادي طينان,"[[43.609714, 24.28648]]",POINT
وادي طينان,"[[43.540535, 24.19713]]",POINT
وادي عبدة,"[[44.720707, 23.674593]]",POINT
وادي عبدة,"[[44.757721, 23.683605]]",POINT
وادي عبدة,"[[44.811044, 23.68706]]",POINT
وادي عرجاء,"[[44.060884, 24.875021]]",POINT
وادي عرجاء,"[[44.294558, 24.728229]]",POINT
وادي عرجاء,"[[44.375474, 24.687073]]",POINT
وادي عرجاء,"[[44.385088, 24.635596]]",POINT
وادي عرقية,"[[45.491574, 23.546963]]",POINT
وادي عشيران,"[[47.766988, 22.865531]]",POINT
وادي عصيل,"[[44.351828, 23.462677]]",POINT
وادي عصيل,"[[44.437873, 23.552027]]",POINT
وادي عصيل,"[[44.526064, 23.705342]]",POINT
وادي عطشانة الجافي,"[[47.296529, 24.95892]]",POINT
وادي عطشانة الجافي,"[[47.384934, 25.034494]]",POINT
وادي عطشانة سعد,"[[47.456753, 25.024667]]",POINT
وادي عنثر,"[[46.750774, 23.37101]]",POINT
وادي عنقود,"[[45.45265, 25.667582]]",POINT
وادي عنقود,"[[45.502238, 25.68037]]",POINT
وادي عنيز,"[[47.321999, 22.730949]]",POINT
وادي غثاة,"[[43.232596, 24.40969]]",POINT
وادي غثاة,"[[43.288751, 24.401407]]",POINT
وادي غثاة,"[[43.505538, 24.324267]]",POINT
وادي غضي,"[[48.116083, 24.103017]]",POINT
وادي غلغل,"[[46.460667, 22.870102]]",POINT
وادي غيهب,"[[46.445131, 22.337801]]",POINT
وادي فراثان,"[[44.589429, 20.333161]]",POINT
وادي فرثان,"[[47.666759, 24.174728]]",POINT
وادي قبيبان,"[[45.547557, 23.550954]]",POINT
وادي قحقح,"[[43.853452, 23.605371]]",POINT
وادي قحقح,"[[43.97413, 23.410599]]",POINT
وادي قليشة,"[[42.651501, 24.01562]]",POINT
وادي قليشة,"[[42.779067, 23.972662]]",POINT
وادي قليشة,"[[42.913971, 23.967812]]",POINT
وادي قليل الحطب,"[[47.003846, 25.37771]]",POINT
وادي قمران,"[[44.598098, 22.088442]]",POINT
وادي قميرين,"[[44.576683, 22.075245]]",POINT
وادي كلاوي,"[[45.8847, 21.560261]]",POINT
وادي لبب,"[[44.86398, 21.450205]]",POINT
وادي لبن,"[[46.567097, 24.614675]]",POINT
وادي لبن,"[[46.453757, 24.572768]]",POINT
وادي لجعة,"[[44.886274, 23.679206]]",POINT
وادي لحي,"[[43.358874, 24.213052]]",POINT
وادي ماوان,"[[46.869221, 23.907452]]",POINT
وادي ماوان,"[[46.947305, 23.90801]]",POINT
وادي محرقة,"[[47.002516, 23.028932]]",POINT
وادي مدغم,"[[42.390919, 24.143829]]",POINT
