name,lon_lat,coor_type
هضيبات امهات مليس,"[[42.983665, 23.111629]]",POINT
هضاب ابو ركب,"[[43.370204, 22.727408]]",POINT
هضاب ابو ركب,"[[43.560405, 22.75732]]",POINT
هضاب اجلة,"[[42.577515, 23.7483]]",POINT
هضاب الاميلاح,"[[43.762364, 22.243495]]",POINT
هضاب البشارة,"[[43.411918, 23.062964]]",POINT
هضاب البكري,"[[43.187084, 24.595985]]",POINT
هضاب البيضتين,"[[44.251084, 24.458463]]",POINT
هضاب الجعص,"[[43.239613, 24.86927]]",POINT
هضاب الجفشرية,"[[42.318242, 24.024568]]",POINT
هضاب الحميض,"[[46.129854, 24.719667]]",POINT
هضاب الدريعوات,"[[42.247903, 23.625283]]",POINT
هضاب الرحاوي,"[[43.956234, 22.328038]]",POINT
هضاب الرمد,"[[43.54959, 21.892877]]",POINT
هضاب الزبدانيات,"[[43.839204, 22.19588]]",POINT
هضاب السبعانات,"[[43.487234, 21.691496]]",POINT
هضاب الشعب,"[[42.370813, 24.112093]]",POINT
هضاب الصعيراء,"[[44.841299, 21.10965]]",POINT
هضاب الضيرين,"[[43.95057, 21.994092]]",POINT
هضاب العرجية,"[[43.835556, 20.942109]]",POINT
هضاب العوج,"[[44.365389, 22.122731]]",POINT
هضاب العوج,"[[44.389164, 21.913412]]",POINT
هضاب الفريدات,"[[44.433088, 20.46813]]",POINT
هضاب القرينات,"[[43.537359, 22.162814]]",POINT
هضاب القرينتين,"[[44.190788, 24.403553]]",POINT
هضاب المزرر,"[[44.244947, 21.825778]]",POINT
هضاب المزرر,"[[44.627945, 20.943503]]",POINT
هضاب ام الحظير,"[[42.389588, 24.081709]]",POINT
هضاب ام رديهة,"[[42.425938, 24.361839]]",POINT
هضاب حسلات,"[[42.051909, 23.81602]]",POINT
هضاب خنزير,"[[43.859482, 23.148537]]",POINT
هضاب دعيجا,"[[45.45501, 25.988696]]",POINT
هضاب سمراء ملفي,"[[43.514786, 24.946003]]",POINT
هضاب كلاخ,"[[44.589128, 21.963279]]",POINT
هضاب مجيرة,"[[44.435406, 24.273949]]",POINT
هضاب نشب,"[[44.270203, 21.894615]]",POINT
هضاب وريطية,"[[43.735757, 22.160711]]",POINT
هضبات العديلاء,"[[44.318805, 22.189615]]",POINT
هضبة أم جييد,"[[46.050417, 24.702587]]",POINT
هضبة أم سناف,"[[44.349468, 22.162621]]",POINT
هضبة ابو طواريق,"[[46.058979, 24.752026]]",POINT
هضبة البرة,"[[42.643561, 23.340518]]",POINT
هضبة البريرة,"[[42.643819, 23.32715]]",POINT
هضبة الحثوة,"[[46.166611, 24.698274]]",POINT
هضبة الحومية,"[[43.03201, 23.060882]]",POINT
هضبة السماحيات,"[[44.85426, 21.568286]]",POINT
هضبة العواية,"[[42.446237, 24.126213]]",POINT
هضبة العويجاء,"[[44.338417, 24.341583]]",POINT
هضبة القرينتين,"[[43.336, 22.616708]]",POINT
هضبة القرينتين,"[[43.336, 22.61673]]",POINT
هضبة المحتجبة,"[[44.677448, 23.136349]]",POINT
هضبة النبيطاء,"[[44.33655, 20.803964]]",POINT
هضبة ام الجعير,"[[42.44688, 24.061968]]",POINT
هضبة ام رقيبة,"[[43.730736, 22.345462]]",POINT
هضبة ام عنيق,"[[43.489788, 22.121615]]",POINT
هضبة ام قار,"[[44.445169, 21.963859]]",POINT
هضبة برمه,"[[47.20499, 23.105621]]",POINT
هضبة تيماء,"[[44.225678, 24.138851]]",POINT
هضبة جراب,"[[44.658737, 23.180294]]",POINT
هضبة حليمين,"[[44.613934, 23.188877]]",POINT
هضبة حومل,"[[43.658681, 22.42846]]",POINT
هضبة رافدة,"[[44.387212, 21.815393]]",POINT
هضبة زعابة,"[[44.783728, 23.788233]]",POINT
هضبة عصام,"[[43.609221, 24.722393]]",POINT
هضبة فردة,"[[42.352467, 24.104176]]",POINT
هضبة مصيقرة,"[[44.400794, 24.98349]]",POINT
هضبة موزر,"[[44.854946, 22.380931]]",POINT
هضيب الوريكية,"[[42.921696, 24.070702]]",POINT
هضيبات ال حميد,"[[44.367535, 20.839863]]",POINT
هضيبات الارانب,"[[42.857151, 23.085365]]",POINT
هضيبات ام حصانيه,"[[45.317917, 26.631031]]",POINT
هضيبات امهات مليس,"[[42.983665, 23.111629]]",POINT
هضيبة اذن,"[[43.803799, 23.010907]]",POINT
هضيبة الرجاجيل,"[[44.355626, 24.353793]]",POINT
هضيبة الصفيه,"[[44.147594, 20.666056]]",POINT
هضيبة الضلع,"[[43.860512, 25.025997]]",POINT
هضيبة العقيلة,"[[42.12038, 24.515305]]",POINT
هضيبة المصلوخة,"[[44.28355, 24.3695]]",POINT
هضيبة المغطية,"[[43.072758, 24.324245]]",POINT
هضيبة ام اذيخر,"[[42.018414, 23.929768]]",POINT
هضيبة ام الانشار,"[[42.410145, 24.202194]]",POINT
هضيبة ام الدروع,"[[44.04022, 21.388836]]",POINT
هضيبة ام الديبان,"[[42.1348, 23.851662]]",POINT
هضيبة دريميح,"[[43.140049, 24.322357]]",POINT
هضيبة رغوة,"[[42.180977, 23.903847]]",POINT
هضيبة عضيده,"[[44.084594, 21.326265]]",POINT
هضيبة عواضة الشرقية,"[[42.267323, 24.489727]]",POINT
هضيبة عواضة الغربية,"[[42.223785, 24.49404]]",POINT
كهف أم الحمام,"[[44.375946, 25.32692]]",POINT
غار ام اذن,"[[43.879159, 21.31249]]",POINT
غار ابو جدار,"[[45.42911, 24.98688]]",POINT
غار ابو عشاش,"[[44.440341, 21.059439]]",POINT
غار الحمراء,"[[44.254282, 21.482306]]",POINT
غار الطوقي,"[[46.573641, 25.47354]]",POINT
