name,lon_lat,coor_type
ميدان رماية القاعده,"[[45.083578, 27.564826], [45.083492, 27.514079]]",LINESTRING
ميدان رماية القاعده,"[[45.083427, 27.47612], [45.134175, 27.441573]]",LINESTRING
ميدان رماية القاعده,"[[45.083492, 27.514079], [45.083427, 27.47612]]",LINESTRING
ميدان رماية القاعده,"[[45.134175, 27.441573], [45.147243, 27.432668]]",LINESTRING
ميدان رماية القاعده,"[[45.147243, 27.432668], [45.19799, 27.432668]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.668578, 24.683104], [45.675917, 24.67907], [45.679092, 24.677396]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.71085, 24.733186], [45.707889, 24.730868], [45.704713, 24.728293], [45.698233, 24.722929], [45.697975, 24.722843], [45.696688, 24.721942], [45.695786, 24.721255], [45.695014, 24.720612], [45.693469, 24.719496], [45.692482, 24.718895], [45.686817, 24.716148], [45.682268, 24.71662], [45.670423, 24.714003], [45.668879, 24.713702], [45.662227, 24.712286], [45.663085, 24.69718], [45.663342, 24.694562], [45.662742, 24.686365], [45.662656, 24.685636], [45.6639, 24.685636], [45.667934, 24.683447], [45.667977, 24.683275], [45.668406, 24.683061], [45.668578, 24.683104]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.728488, 24.716492], [45.727243, 24.716191], [45.726342, 24.71602], [45.725999, 24.715633]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.679092, 24.677396], [45.680637, 24.676065], [45.688405, 24.670186], [45.690722, 24.670143], [45.700035, 24.669542], [45.705786, 24.669242], [45.707331, 24.669113], [45.707974, 24.669414], [45.708919, 24.673018], [45.709476, 24.674993], [45.709949, 24.676924], [45.710635, 24.679327], [45.71291, 24.68791], [45.713425, 24.690571], [45.714197, 24.695334], [45.715055, 24.699368], [45.715399, 24.700785], [45.71557, 24.701343], [45.716257, 24.704819], [45.716557, 24.70542], [45.716901, 24.705935], [45.717416, 24.707093], [45.71866, 24.709668], [45.71969, 24.710741], [45.720634, 24.711471], [45.721536, 24.712329], [45.722694, 24.713273], [45.724626, 24.714732], [45.725999, 24.715633]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.764666, 24.733744], [45.763507, 24.733057], [45.763206, 24.732842], [45.763335, 24.732542], [45.76458, 24.730268], [45.765309, 24.729109], [45.76827, 24.726706], [45.769772, 24.725246], [45.771103, 24.724045], [45.772777, 24.722629], [45.773292, 24.722285], [45.774064, 24.721642], [45.775051, 24.72074], [45.775566, 24.720354], [45.775952, 24.720011], [45.776939, 24.719281], [45.778399, 24.718037], [45.776167, 24.717178], [45.774837, 24.716706], [45.773978, 24.716449], [45.769043, 24.719925], [45.767798, 24.718895], [45.765095, 24.716749], [45.764322, 24.717307], [45.761876, 24.719195], [45.761275, 24.719582], [45.758057, 24.722199], [45.755696, 24.724388], [45.755224, 24.724989], [45.754752, 24.725504], [45.754194, 24.725976], [45.753036, 24.727049], [45.752177, 24.72795], [45.751319, 24.728765], [45.750761, 24.728508], [45.748057, 24.727092], [45.744839, 24.725547], [45.743809, 24.725118], [45.74338, 24.72486], [45.742521, 24.724474], [45.74265, 24.723315], [45.742779, 24.721084], [45.742993, 24.720182], [45.74132, 24.719753], [45.739603, 24.719496], [45.735912, 24.718723], [45.734711, 24.71838], [45.733681, 24.717994], [45.732179, 24.717565], [45.730591, 24.717178], [45.728488, 24.716492]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.715055, 24.73928], [45.712008, 24.734173], [45.71085, 24.733186]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.764666, 24.733744], [45.763636, 24.735246], [45.762391, 24.737306], [45.761833, 24.738121], [45.761104, 24.739366], [45.759172, 24.743228], [45.758185, 24.745331], [45.757885, 24.745545], [45.75707, 24.745975], [45.756168, 24.746404], [45.75458, 24.747047], [45.75325, 24.748034], [45.751019, 24.750438], [45.750976, 24.750738], [45.751019, 24.75091], [45.752263, 24.752755], [45.752735, 24.753399], [45.753207, 24.754214], [45.754108, 24.755459], [45.75428, 24.755759], [45.755224, 24.756875], [45.75531, 24.758205], [45.755525, 24.759321], [45.755739, 24.760008], [45.758014, 24.761209], [45.757756, 24.763956], [45.757627, 24.766488], [45.757241, 24.771767], [45.754066, 24.772925], [45.753422, 24.773312], [45.753207, 24.773397], [45.751405, 24.77387], [45.748272, 24.774513], [45.744367, 24.775243], [45.740247, 24.775887], [45.735912, 24.776444], [45.729518, 24.773312], [45.72793, 24.772582], [45.72454, 24.770908], [45.722523, 24.770007], [45.721192, 24.769321], [45.718489, 24.768033], [45.717888, 24.767475], [45.717845, 24.767389], [45.717459, 24.765372], [45.717072, 24.764085], [45.716472, 24.763055], [45.716257, 24.762797], [45.715957, 24.76254], [45.716, 24.76048], [45.716128, 24.757476], [45.716128, 24.755759], [45.716257, 24.752455], [45.7163, 24.749751], [45.716214, 24.748592], [45.7163, 24.747176], [45.716515, 24.74576], [45.716472, 24.744773], [45.716386, 24.744215], [45.715227, 24.739795], [45.715055, 24.73928]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.775094, 24.772968], [45.773077, 24.771466], [45.766768, 24.766617], [45.766425, 24.765973], [45.765867, 24.765072], [45.763421, 24.76078], [45.763936, 24.75812], [45.763979, 24.757133], [45.763979, 24.753571], [45.763936, 24.751768], [45.764022, 24.750824], [45.758228, 24.745717], [45.76046, 24.741082], [45.760803, 24.740267], [45.76149, 24.739065], [45.76252, 24.737477], [45.763507, 24.735846], [45.764837, 24.73383], [45.765567, 24.734344], [45.767412, 24.735761], [45.769429, 24.73752], [45.77003, 24.737992], [45.772219, 24.739494], [45.772905, 24.740095], [45.77651, 24.74297], [45.777068, 24.743271], [45.779257, 24.744816], [45.780287, 24.745502], [45.780845, 24.745975], [45.781488, 24.746661], [45.781746, 24.746876], [45.781875, 24.747391], [45.782089, 24.748034], [45.782905, 24.748635], [45.783462, 24.748936], [45.78402, 24.749322], [45.78505, 24.750137], [45.785265, 24.750395], [45.785437, 24.75121], [45.782733, 24.753914], [45.781145, 24.754944], [45.780845, 24.75533], [45.7793, 24.758077], [45.77857, 24.760094], [45.77754, 24.762712], [45.776939, 24.764857], [45.776854, 24.766703], [45.776896, 24.767389], [45.776124, 24.768891], [45.775781, 24.769406], [45.77518, 24.770522], [45.775137, 24.771509], [45.775051, 24.772282], [45.775094, 24.772882]]",LINESTRING
مناطق زراعية مغلقة بسياج,"[[45.763464, 24.759665], [45.760117, 24.762068], [45.75604, 24.759622], [45.755525, 24.755716], [45.752821, 24.752755], [45.752263, 24.751897], [45.751448, 24.750524], [45.752392, 24.749322], [45.753465, 24.748034], [45.754881, 24.747133], [45.756168, 24.746661], [45.757971, 24.74606], [45.758185, 24.746189], [45.758958, 24.746833], [45.760717, 24.748378], [45.761147, 24.748678], [45.763764, 24.75091], [45.763764, 24.75812], [45.763464, 24.759622]]",LINESTRING
منطقة مغلقة بسياج,"[[46.244545, 24.4063], [46.244717, 24.406471], [46.245232, 24.407501], [46.246433, 24.408016], [46.247292, 24.408016], [46.247635, 24.407501], [46.247635, 24.406986], [46.246433, 24.406471], [46.245403, 24.404583], [46.245232, 24.403038], [46.245403, 24.402523], [46.245403, 24.402008], [46.245747, 24.400291], [46.245918, 24.399948], [46.245747, 24.398918], [46.24609, 24.398575], [46.246605, 24.398403], [46.24712, 24.398575], [46.247978, 24.397888], [46.249351, 24.39703], [46.249695, 24.395828], [46.249695, 24.394112], [46.249351, 24.392052], [46.24918, 24.391708], [46.24815, 24.391537], [46.247463, 24.391365], [46.246433, 24.39085], [46.245918, 24.390507], [46.245232, 24.390163], [46.244202, 24.390163], [46.243687, 24.390678], [46.243343, 24.390507], [46.243, 24.390163], [46.242828, 24.389477], [46.242313, 24.389133], [46.24197, 24.388618], [46.241455, 24.387417], [46.240768, 24.386559], [46.240425, 24.384842], [46.240768, 24.381409], [46.242657, 24.378319], [46.243515, 24.377632], [46.245575, 24.377289], [46.248836, 24.377289], [46.249351, 24.376945], [46.252441, 24.371109], [46.251583, 24.370422], [46.250725, 24.370766], [46.247292, 24.369736], [46.23682, 24.366131], [46.236649, 24.366646], [46.236649, 24.371796], [46.236134, 24.374371], [46.235962, 24.376259], [46.234074, 24.379864], [46.233902, 24.380894], [46.235275, 24.384327], [46.238537, 24.388275], [46.24094, 24.39085], [46.243343, 24.392738], [46.245747, 24.394112], [46.245918, 24.39497], [46.245575, 24.396687], [46.245232, 24.397717], [46.245232, 24.398918], [46.245403, 24.40012], [46.245232, 24.400978], [46.244545, 24.402351], [46.244202, 24.405098], [46.244545, 24.4063]]",LINESTRING
سياج,"[[46.29879, 25.025439], [46.298339, 25.026362]]",LINESTRING
سياج,"[[46.298833, 25.025375], [46.29967, 25.023508]]",LINESTRING
منطقة مغلقة,"[[46.376038, 25.556302], [46.376381, 25.558319], [46.380072, 25.559092], [46.382561, 25.559864], [46.392388, 25.564585], [46.39286, 25.565228], [46.392903, 25.565743], [46.397667, 25.568833], [46.403375, 25.571365], [46.407151, 25.572867], [46.408267, 25.572696], [46.412258, 25.572095], [46.413374, 25.56834], [46.413825, 25.567975], [46.414576, 25.567331], [46.41582, 25.566387], [46.416636, 25.565701], [46.419253, 25.564778], [46.420455, 25.564842], [46.423674, 25.564928], [46.424704, 25.564413], [46.425347, 25.562353]]",LINESTRING
منطقة مغلقة,"[[46.380758, 25.555401], [46.376038, 25.556302]]",LINESTRING
منطقة مغلقة,"[[46.425347, 25.562353], [46.42715, 25.557332], [46.429167, 25.554628], [46.426764, 25.552096], [46.42539, 25.549994], [46.424875, 25.546646], [46.413717, 25.543041], [46.40655, 25.54626], [46.405134, 25.546818], [46.40419, 25.547504], [46.399898, 25.550208], [46.392474, 25.55347], [46.385779, 25.553384], [46.380758, 25.555401]]",LINESTRING
منطقة مغلقة,"[[46.437278, 25.522141], [46.437707, 25.522399], [46.438951, 25.522785], [46.441827, 25.522742], [46.442342, 25.522313], [46.443501, 25.51991], [46.445131, 25.517421], [46.445217, 25.516648], [46.444573, 25.516562], [46.441827, 25.51579], [46.441655, 25.515833], [46.439853, 25.517936], [46.437278, 25.522141]]",LINESTRING
منطقة مغلقة بسياج,"[[46.501865, 25.38271], [46.51062, 25.369663]]",LINESTRING
منطقة مغلقة بسياج,"[[46.553879, 25.285034], [46.579285, 25.235596]]",LINESTRING
منطقة مغلقة بسياج,"[[46.579285, 25.235596], [46.583748, 25.227356], [46.587524, 25.220833], [46.592846, 25.213451], [46.599712, 25.205555], [46.614475, 25.190105]]",LINESTRING
منطقة مغلقة بسياج,"[[46.539288, 25.326061], [46.548386, 25.300999], [46.549931, 25.294647], [46.551132, 25.291042]]",LINESTRING
منطقة مغلقة,"[[46.551132, 25.291042], [46.553879, 25.285034]]",LINESTRING
منطقة مغلقة بسياج,"[[46.51062, 25.369663], [46.529503, 25.342369], [46.535339, 25.333271], [46.539288, 25.326061]]",LINESTRING
منطقة مغلقة بسياج,"[[46.622543, 25.218258], [46.630096, 25.238342], [46.633186, 25.237312], [46.63147, 25.224953], [46.63147, 25.218945], [46.637993, 25.197659], [46.623745, 25.198174], [46.622715, 25.201607], [46.623917, 25.211391], [46.622543, 25.217915]]",LINESTRING
منطقة مغلقة بسياج,"[[46.599884, 25.216885], [46.605377, 25.233707], [46.623745, 25.228214], [46.617909, 25.211048], [46.599541, 25.216885]]",LINESTRING
منطقة مغلقة بسياج,"[[46.526756, 25.424767], [46.487789, 25.402966], [46.501865, 25.38271]]",LINESTRING
منطقة مغلقة بسياج,"[[46.566067, 25.428886], [46.526756, 25.424767]]",LINESTRING
منطقة مغلقة بسياج,"[[46.614475, 25.190105], [46.632156, 25.170879], [46.649837, 25.154572], [46.654644, 25.150795]]",LINESTRING
منطقة مغلقة بسياج,"[[46.635075, 25.187016], [46.639881, 25.176201], [46.647091, 25.177574], [46.647091, 25.178261], [46.643829, 25.183411], [46.645203, 25.187187], [46.644859, 25.187702], [46.644516, 25.187874], [46.635075, 25.187016]]",LINESTRING
مزرعة خزام,"[[46.679707, 25.0387], [46.677475, 25.038528], [46.675243, 25.04076], [46.665459, 25.05106], [46.656532, 25.060329], [46.655846, 25.060673], [46.644688, 25.060158], [46.639709, 25.063419], [46.639538, 25.063934], [46.643143, 25.068398], [46.645546, 25.068741], [46.649494, 25.068226], [46.650696, 25.068569], [46.663399, 25.080414]]",LINESTRING
مزرعة خزام,"[[46.663399, 25.080414], [46.674557, 25.091057], [46.678677, 25.094833]]",LINESTRING
روضة نورة,"[[46.649923, 25.090177], [46.648357, 25.089684], [46.649322, 25.08698], [46.650889, 25.087473]]",LINESTRING
العاذرية,"[[46.67902, 25.098245], [46.672668, 25.104597], [46.647606, 25.096786], [46.650932, 25.087302], [46.651983, 25.086658], [46.653142, 25.087001], [46.655781, 25.086014], [46.660523, 25.087473], [46.668656, 25.090048], [46.672754, 25.091357], [46.678956, 25.098288]]",LINESTRING
منطقة مغلقة بسياج,"[[46.688461, 25.132942], [46.724854, 25.14204]]",LINESTRING
مزرعة خزام,"[[46.679363, 25.095177], [46.680737, 25.095005], [46.681938, 25.093803], [46.707172, 25.065994], [46.712151, 25.060844], [46.712837, 25.059128], [46.712837, 25.057583], [46.712151, 25.055695], [46.701336, 25.04694], [46.697903, 25.044537]]",LINESTRING
مزرعة خزام,"[[46.697903, 25.044537], [46.690178, 25.040073], [46.679707, 25.0387]]",LINESTRING
مزرعة خزام,"[[46.678677, 25.094833], [46.679363, 25.095177]]",LINESTRING
منطقة مغلقة بسياج,"[[46.654644, 25.150795], [46.660995, 25.14513], [46.676445, 25.128479], [46.688461, 25.132942]]",LINESTRING
منطقة مغلقة بسياج,"[[46.806264, 25.010312], [46.804011, 25.058892]]",LINESTRING
منطقة مغلقة بسياج,"[[46.768091, 25.03531], [46.77103, 25.023744], [46.772962, 25.015955], [46.778562, 25.002115], [46.806264, 25.010312]]",LINESTRING
منطقة مغلقة بسياج,"[[46.803775, 25.064685], [46.802616, 25.093803], [46.817207, 25.097065]]",LINESTRING
منطقة مغلقة بسياج,"[[46.804011, 25.058892], [46.803775, 25.064685]]",LINESTRING
منطقة مغلقة بسياج,"[[46.760559, 25.111678], [46.747577, 25.093718], [46.745088, 25.090928], [46.740282, 25.086529]]",LINESTRING
منطقة مغلقة بسياج,"[[46.787295, 25.145624], [46.7753, 25.131569], [46.760559, 25.111678]]",LINESTRING
منطقة مغلقة بسياج,"[[46.740282, 25.086529], [46.759894, 25.061746], [46.767683, 25.051811], [46.768091, 25.03531]]",LINESTRING
مخيم ابوسعود الحربي,"[[46.216328, 25.717084], [46.211028, 25.711892], [46.214032, 25.701442], [46.21474, 25.698781], [46.216242, 25.692773], [46.216822, 25.69037], [46.217208, 25.688503], [46.21798, 25.68507], [46.223366, 25.681121], [46.225383, 25.684941], [46.229396, 25.692451], [46.229353, 25.69288], [46.22695, 25.702751], [46.222551, 25.70863], [46.21635, 25.717063]]",LINESTRING
منطقة مغلقة بسياج,"[[46.762962, 25.151138], [46.779785, 25.154572]]",LINESTRING
منطقة مغلقة بسياج,"[[46.724854, 25.14204], [46.762962, 25.151138]]",LINESTRING
منطقة مغلقة بسياج,"[[46.779785, 25.154572], [46.797123, 25.158863], [46.807251, 25.170193], [46.813774, 25.180149], [46.814976, 25.182896], [46.810684, 25.185986]]",LINESTRING
منطقة مغلقة بسياج,"[[46.817207, 25.097065], [46.828859, 25.121119], [46.825898, 25.121784], [46.819396, 25.12305], [46.816177, 25.124767], [46.808646, 25.130689], [46.807873, 25.13114], [46.7962, 25.123694], [46.795063, 25.125368], [46.798325, 25.134101], [46.800835, 25.141911], [46.787295, 25.145624]]",LINESTRING
منطقة مغلقة بسياج,"[[46.989899, 24.91991], [46.984062, 24.910641], [46.980801, 24.906349], [47.0014, 24.891758], [47.01273, 24.904118], [46.989899, 24.91991]]",LINESTRING
مخيم ابوسعود الحربي,"[[47.035368, 24.865301], [47.056096, 24.877617], [47.067876, 24.877553], [47.115319, 24.877424], [47.117336, 24.878712], [47.121627, 24.877403]]",LINESTRING
منطقة مغلقة,"[[47.234516, 25.427256], [47.233229, 25.431032], [47.232757, 25.432749], [47.235632, 25.433478]]",LINESTRING
منطقة مغلقة,"[[47.289319, 25.338893], [47.284341, 25.337863]]",LINESTRING
منطقة مغلقة,"[[47.282281, 25.416355], [47.286444, 25.412235], [47.291594, 25.408158]]",LINESTRING
منطقة مغلقة,"[[47.284341, 25.337863], [47.280908, 25.339708], [47.280178, 25.3443], [47.278419, 25.345459], [47.277775, 25.347476], [47.277603, 25.350223], [47.277646, 25.352454], [47.280564, 25.354514], [47.283397, 25.355802], [47.286701, 25.358205], [47.29301, 25.360608], [47.291508, 25.362239], [47.290735, 25.363998], [47.29022, 25.365887], [47.289491, 25.369406], [47.288804, 25.371594], [47.287474, 25.374384], [47.286229, 25.376101], [47.28507, 25.377173]]",LINESTRING
منطقة مغلقة,"[[47.235632, 25.433478], [47.23546, 25.433736], [47.235975, 25.43438], [47.236362, 25.43601], [47.238593, 25.436783], [47.24134, 25.439615], [47.247262, 25.445538], [47.250652, 25.44219], [47.254515, 25.43983], [47.258205, 25.436912], [47.262325, 25.43335], [47.265673, 25.429959], [47.26799, 25.428114], [47.274041, 25.423565], [47.275457, 25.422406], [47.278848, 25.419445], [47.282281, 25.416355]]",LINESTRING
منطقة مغلقة,"[[47.28507, 25.377173], [47.282238, 25.379062], [47.280607, 25.382152], [47.280049, 25.382752], [47.276917, 25.383654], [47.275414, 25.384126], [47.270222, 25.386829], [47.259364, 25.392365], [47.252026, 25.395069], [47.250009, 25.398331], [47.248979, 25.403266], [47.248421, 25.406184], [47.248979, 25.408673], [47.248979, 25.409188], [47.248721, 25.410347], [47.245932, 25.415454], [47.244, 25.418758], [47.242327, 25.420732], [47.240567, 25.422106], [47.238293, 25.425797], [47.237091, 25.424294], [47.234516, 25.427256]]",LINESTRING
منطقة مغلقة,"[[47.291594, 25.408158], [47.294683, 25.405798], [47.296443, 25.404081], [47.300091, 25.400648], [47.302709, 25.398288], [47.308974, 25.39288], [47.311678, 25.39022], [47.312965, 25.389061], [47.315841, 25.386658], [47.318416, 25.384426], [47.320776, 25.382323], [47.321806, 25.380564], [47.323995, 25.379276], [47.324166, 25.379233], [47.326613, 25.379019], [47.327771, 25.376101], [47.330089, 25.373225], [47.336354, 25.367389], [47.334166, 25.363956], [47.332234, 25.362067]]",LINESTRING
منطقة مغلقة,"[[47.319016, 25.35254], [47.328544, 25.341725], [47.332921, 25.336919], [47.339702, 25.324216], [47.339015, 25.320997], [47.325797, 25.327563], [47.324038, 25.331683], [47.322493, 25.335116], [47.320347, 25.33782], [47.31451, 25.341811], [47.305069, 25.344343], [47.30082, 25.341811], [47.293782, 25.342412], [47.289319, 25.338893]]",LINESTRING
منطقة مغلقة,"[[47.332921, 25.336919], [47.337856, 25.338078]]",LINESTRING
منطقة مغلقة,"[[47.332234, 25.362067], [47.321506, 25.354471], [47.319016, 25.35254]]",LINESTRING
