name,lon_lat,coor_type
مفرق درب خبة العمود,"[[46.630676, 26.435122]]",POINT
,"[[44.711566, 21.82565], [44.712167, 21.826873], [44.712918, 21.828825], [44.713368, 21.829426], [44.713991, 21.830478], [44.71442, 21.831315], [44.714677, 21.832259], [44.7156, 21.834791]]",LINESTRING
,"[[46.647134, 23.465939], [46.64825, 23.464437], [46.648507, 23.464007], [46.648657, 23.463664], [46.648829, 23.463213]]",LINESTRING
,"[[44.615371, 20.981312], [44.618826, 20.982449], [44.623783, 20.982599], [44.627709, 20.982599], [44.629748, 20.981462], [44.632001, 20.97908], [44.632409, 20.977149], [44.633374, 20.975454], [44.63449, 20.973759], [44.635584, 20.972257], [44.6367, 20.968523], [44.637215, 20.96642], [44.638782, 20.964961], [44.641421, 20.963502], [44.643502, 20.961807], [44.644918, 20.959704], [44.645712, 20.958545], [44.646463, 20.957708], [44.647922, 20.956635], [44.648652, 20.956185]]",LINESTRING
طريق الدحوة,"[[45.920684, 24.108424], [45.919611, 24.096901], [45.919611, 24.096065], [45.919676, 24.095249], [45.919826, 24.094434], [45.920169, 24.093425], [45.921972, 24.088962], [45.922487, 24.087803]]",LINESTRING
طريق الدحوة,"[[45.895472, 24.163527], [45.895944, 24.162519], [45.900621, 24.154193], [45.906587, 24.14325], [45.909784, 24.137628], [45.911264, 24.135182], [45.91238, 24.13353], [45.919418, 24.124024], [45.919719, 24.123595], [45.919976, 24.123101], [45.920191, 24.122458], [45.920277, 24.121599], [45.920749, 24.111664], [45.920749, 24.109948], [45.920684, 24.108424]]",LINESTRING
درب خب النوم,"[[45.371389, 26.902599], [45.370746, 26.902857], [45.369716, 26.903157], [45.367784, 26.90393], [45.366755, 26.90393], [45.366454, 26.904016], [45.366197, 26.904144], [45.36581, 26.90423], [45.365381, 26.904445], [45.364652, 26.904745], [45.364094, 26.905046], [45.362248, 26.905775], [45.361261, 26.905861], [45.36036, 26.906075], [45.358472, 26.90659], [45.357914, 26.906762], [45.357571, 26.906934], [45.357227, 26.90702], [45.356283, 26.907148], [45.355768, 26.907105], [45.355339, 26.907105], [45.355082, 26.907148], [45.354695, 26.907234], [45.354266, 26.907406], [45.353837, 26.907749], [45.353022, 26.907964], [45.351949, 26.908135], [45.351176, 26.908307], [45.350404, 26.90835], [45.35006, 26.908436], [45.349245, 26.908822], [45.348773, 26.909165], [45.347357, 26.909852], [45.346842, 26.910067], [45.346069, 26.910539], [45.345726, 26.91071], [45.344052, 26.911311], [45.343366, 26.911697], [45.342636, 26.911697], [45.342336, 26.911826], [45.341949, 26.911869], [45.341606, 26.911998], [45.341392, 26.912041], [45.341177, 26.911998], [45.340705, 26.911826], [45.340447, 26.911869], [45.339847, 26.912084], [45.33916, 26.912084], [45.33843, 26.912169], [45.337744, 26.912341], [45.337357, 26.912513], [45.336585, 26.912684], [45.336199, 26.912684], [45.335898, 26.912642], [45.335383, 26.912513], [45.335212, 26.912427]]",LINESTRING
,"[[45.799856, 26.994309], [45.795522, 26.99594], [45.789857, 26.998901], [45.787539, 27.001004], [45.785737, 27.002335], [45.783205, 27.003407], [45.782089, 27.004223], [45.7796, 27.007484], [45.775309, 27.010403], [45.769687, 27.013364], [45.75943, 27.020917], [45.757413, 27.022505], [45.753593, 27.026196], [45.750503, 27.033148], [45.74883, 27.036066], [45.746212, 27.04143], [45.744066, 27.046194]]",LINESTRING
,"[[45.744066, 27.046194], [45.743165, 27.04834], [45.742607, 27.052374], [45.741792, 27.053962], [45.739775, 27.056451]]",LINESTRING
درب خبة المندسة,"[[45.419648, 26.984246], [45.413404, 26.98652], [45.403683, 26.989095], [45.4001, 26.991262], [45.396087, 26.993408]]",LINESTRING
درب خبة المندسة,"[[45.470223, 26.947918], [45.463271, 26.950192], [45.45958, 26.95266], [45.454602, 26.957295], [45.446148, 26.963217], [45.443831, 26.966565], [45.441878, 26.971521], [45.438981, 26.974869], [45.425334, 26.981113], [45.419648, 26.984246]]",LINESTRING
درب خب النوم,"[[45.371389, 26.902599], [45.372334, 26.902299], [45.373878, 26.901999], [45.375552, 26.901612], [45.37714, 26.901183], [45.378342, 26.900668], [45.380058, 26.900024], [45.381131, 26.89981], [45.381646, 26.899767], [45.382204, 26.899552], [45.383148, 26.898994], [45.383964, 26.89805], [45.385466, 26.896977], [45.387611, 26.895518], [45.390186, 26.894145], [45.39083, 26.893544], [45.391388, 26.893201], [45.400014, 26.888394], [45.40113, 26.88745], [45.401387, 26.887064], [45.401773, 26.886764], [45.402417, 26.88642], [45.403361, 26.885734], [45.403748, 26.885605], [45.404735, 26.885133], [45.409713, 26.881742], [45.411644, 26.880713], [45.412459, 26.880326], [45.413489, 26.879425], [45.415893, 26.87758], [45.417137, 26.876507], [45.41821, 26.875348], [45.419412, 26.874318], [45.420485, 26.873631], [45.421085, 26.873374], [45.421429, 26.873074], [45.421944, 26.872258], [45.422459, 26.871829], [45.423059, 26.871529], [45.423875, 26.870842], [45.425463, 26.869855], [45.427823, 26.868696]]",LINESTRING
درب خب النوم,"[[45.427823, 26.868696], [45.429626, 26.867881], [45.430741, 26.86728], [45.432115, 26.866379], [45.432758, 26.866121], [45.433617, 26.86552], [45.437307, 26.864233], [45.438809, 26.863761], [45.44014, 26.863246], [45.441256, 26.862688], [45.442843, 26.861787], [45.444603, 26.860843], [45.447907, 26.858654], [45.451083, 26.857152], [45.452843, 26.856422], [45.456018, 26.854534], [45.458765, 26.853247], [45.461769, 26.85153], [45.465846, 26.849384], [45.469837, 26.847067], [45.472884, 26.84535], [45.476875, 26.843419]]",LINESTRING
درب خبة المندسة,"[[45.520306, 26.917834], [45.510478, 26.921825], [45.503762, 26.92528], [45.492089, 26.93337], [45.486875, 26.939936], [45.484557, 26.945128], [45.482476, 26.946309], [45.474729, 26.947703], [45.470223, 26.947918]]",LINESTRING
درب خبة المندسة,"[[45.568671, 26.89024], [45.563929, 26.892407], [45.554209, 26.897686], [45.544961, 26.903286], [45.527601, 26.913092], [45.520306, 26.917834]]",LINESTRING
درب خب النوم,"[[45.532794, 26.819043], [45.536184, 26.817498], [45.540175, 26.816511], [45.540819, 26.816254], [45.545282, 26.816082], [45.546184, 26.816125], [45.548029, 26.815696], [45.548587, 26.815739], [45.548844, 26.815696], [45.552449, 26.816082], [45.553522, 26.816382], [45.555067, 26.815867], [45.555582, 26.81561], [45.556183, 26.815095], [45.556355, 26.814795], [45.556698, 26.813893], [45.557084, 26.813507], [45.557599, 26.813164], [45.557814, 26.812735], [45.557857, 26.812563], [45.558114, 26.812177], [45.558329, 26.811619], [45.558929, 26.810803], [45.560775, 26.809516], [45.560989, 26.809258], [45.561504, 26.807714], [45.561805, 26.807284], [45.562062, 26.80707], [45.564551, 26.805739], [45.56747, 26.803894], [45.57056, 26.801319], [45.570946, 26.801105], [45.57189, 26.800847], [45.573735, 26.799345], [45.574508, 26.799173], [45.575066, 26.798916], [45.575666, 26.79853], [45.576696, 26.7975], [45.582876, 26.794581], [45.586739, 26.79265]]",LINESTRING
درب خب النوم,"[[45.476875, 26.843419], [45.488505, 26.838312], [45.493355, 26.83578], [45.498934, 26.833334], [45.503783, 26.830544], [45.508676, 26.828313], [45.514297, 26.826296], [45.518074, 26.824408], [45.523567, 26.822348], [45.528975, 26.820459], [45.532794, 26.819043]]",LINESTRING
