name,lon_lat,coor_type
مورد ماء,"[[45.548308, 25.075929]]",POINT
مورد ماء التنهات,"[[46.445282, 26.145508]]",POINT
مارد ماء,"[[45.217516, 24.808288]]",POINT
مارد ماء,"[[46.032972, 24.494748]]",POINT
مارد ماء,"[[46.197982, 24.990935]]",POINT
مارد ماء,"[[44.499714, 20.168602]]",POINT
قليب البديع,"[[44.219263, 24.222064]]",POINT
قليب البشارة,"[[43.400888, 23.022537]]",POINT
قليب الجبرينية,"[[45.473421, 24.327099]]",POINT
قليب الجرذاوي,"[[44.153731, 23.15757]]",POINT
قليب الحمودية,"[[44.568508, 26.945279]]",POINT
قليب الشرثانية,"[[44.401932, 22.801266]]",POINT
قليب الضريبة,"[[44.649146, 21.723382]]",POINT
قليب الطوال,"[[44.36039, 20.362301]]",POINT
قليب العويجاء,"[[44.355197, 22.790108]]",POINT
قليب القرنية,"[[44.61977, 22.840061]]",POINT
قليب الهريمسية,"[[44.491925, 24.034116]]",POINT
قليب جري,"[[44.840806, 21.369245]]",POINT
قليب حمود,"[[44.648695, 26.58464]]",POINT
قليب خنزير,"[[43.828926, 23.163128]]",POINT
قليب دابان,"[[44.553144, 26.643026]]",POINT
قليب سنيدة,"[[44.663436, 26.708064]]",POINT
قليب شجعان,"[[44.163666, 23.237629]]",POINT
قليب صلهامة,"[[43.988914, 23.068199]]",POINT
قليب غريرة,"[[45.877297, 24.984777]]",POINT
قليب غضية,"[[44.510765, 26.718514]]",POINT
قليب فسحولة,"[[44.473064, 26.763532]]",POINT
قليب مريفق,"[[43.978958, 23.049145]]",POINT
قليب نمران,"[[46.681681, 23.944895]]",POINT
قلبان ابن شالح,"[[44.551106, 22.616043]]",POINT
قلبان ابو ركبة,"[[46.290979, 25.795577]]",POINT
قلبان البديعة,"[[43.512211, 22.99181]]",POINT
قلبان البعيثات,"[[44.720278, 26.986091]]",POINT
قلبان البيصية,"[[44.402983, 26.942253]]",POINT
قلبان البيضاء,"[[43.771763, 23.652878]]",POINT
قلبان الثرماني,"[[45.872533, 24.985292]]",POINT
قلبان الجهيمية,"[[44.199543, 22.894306]]",POINT
قلبان الدبيسية,"[[43.835793, 23.568528]]",POINT
