name,lon_lat,coor_type
نقوش البيضتين,"[[44.250226, 24.466639]]",POINT
قصر عضيدان,"[[44.959123, 26.074505]]",POINT
قصر ساقية الناهض,"[[46.645203, 21.99008]]",POINT
قصر ابو جفان,"[[47.717421, 24.513803]]",POINT
قصر السويري الأثري,"[[45.649867, 24.872425]]",POINT
اثار,"[[45.222645, 25.673332]]",POINT
اثار,"[[45.548973, 25.657454]]",POINT
اثار العلاشه,"[[44.955196, 20.569925]]",POINT
اثار قصر,"[[46.229353, 21.993427]]",POINT
اثار مشبكة,"[[46.656961, 21.994457]]",POINT
أثار حليت,"[[43.477428, 24.791357]]",POINT
نقوش ماسل,"[[44.685323, 24.212022]]",POINT
نقوش ماسل,"[[44.685602, 24.218309]]",POINT
نقوش ماسل,"[[44.684508, 24.220326]]",POINT
