name,lon_lat,coor_type
نوازي الاشقر,"[[46.29452, 25.65814]]",POINT
نوازي ام رجوم,"[[46.064386, 26.035624]]",POINT
نفود الثمامه,"[[46.415005, 25.45764]]",POINT
نفود الثندوة,"[[44.306788, 25.140195]]",POINT
نفود الثويرات,"[[44.733474, 26.628971]]",POINT
نفود الثويرات,"[[44.736907, 26.177115]]",POINT
نفود الثويرات,"[[44.739289, 26.12036]]",POINT
نفود الثويرات,"[[44.816773, 26.84638]]",POINT
نفود الجديده,"[[45.840197, 24.452305]]",POINT
نفود الجرعاء,"[[45.033324, 27.633297]]",POINT
نفود الحريرية,"[[43.486247, 22.604284]]",POINT
نفود الدحي,"[[46.043916, 23.052299]]",POINT
نفود السر,"[[44.941485, 24.923279]]",POINT
نفود السر,"[[45.320191, 24.489791]]",POINT
نفود السر,"[[45.571718, 24.266331]]",POINT
نفود السرة,"[[43.723032, 23.355753]]",POINT
نفود السرة,"[[44.113884, 23.269794]]",POINT
نفود السرة,"[[44.592197, 23.021615]]",POINT
نفود العناديه,"[[45.818396, 24.511013]]",POINT
نفود العويند,"[[43.708999, 23.75066]]",POINT
نفود القنيفذه,"[[45.972226, 24.047141]]",POINT
نفود الملحاء,"[[44.890373, 25.553491]]",POINT
نفود الملحاء,"[[44.925885, 25.39125]]",POINT
نفود المواصل,"[[44.833038, 25.429444]]",POINT
نفود النقا,"[[46.542764, 25.18856]]",POINT
نفود رمحة,"[[43.395932, 23.639553]]",POINT
نفود فارس,"[[44.420471, 26.389503]]",POINT
نفود قنيفذة,"[[45.244403, 25.033808]]",POINT
نفود قنيفذه,"[[45.543458, 24.734774]]",POINT
نفود قنيفذه,"[[45.83318, 24.565451]]",POINT
نفود قنيفذه,"[[45.912058, 24.535561]]",POINT
نفود قنيفذه,"[[46.031728, 24.408424]]",POINT
نفود قنيفذه,"[[46.257978, 24.41117]]",POINT
نفود مبهلة,"[[46.368828, 24.36362]]",POINT
نازية أبو طعينيس,"[[44.650154, 26.572795]]",POINT
نازية فائز,"[[44.840333, 26.020238]]",POINT
نازية فسحة,"[[44.481132, 26.450529]]",POINT
نازية لوذة,"[[44.674745, 26.555371]]",POINT
نازية أم ظل,"[[44.648523, 26.54254]]",POINT
عريقات,"[[45.851011, 26.751623]]",POINT
عريقات الحسي,"[[45.808611, 20.135107]]",POINT
عرق ابا الثمام,"[[47.187695, 25.659428]]",POINT
عرق ابو عشرة,"[[45.550518, 22.202511]]",POINT
عرق اذقان العطشان,"[[43.975697, 22.789915]]",POINT
عرق الابيتر,"[[44.806902, 20.689788]]",POINT
عرق الاشعلي,"[[44.495809, 26.973259]]",POINT
عرق البتيراء,"[[45.335941, 22.100201]]",POINT
عرق البلدان,"[[45.49387, 25.177317]]",POINT
عرق البندان,"[[44.882455, 25.796285]]",POINT
عرق البندان,"[[45.072076, 25.524652]]",POINT
عرق البندان,"[[45.620384, 25.099339]]",POINT
عرق الجخفان,"[[44.417532, 19.763825]]",POINT
عرق الحقباني,"[[45.339031, 21.951885]]",POINT
عرق الحمراني,"[[46.297095, 26.266959]]",POINT
عرق الحمراني,"[[46.598125, 26.13656]]",POINT
عرق الحمراني,"[[47.193811, 25.738027]]",POINT
عرق الحمراوي,"[[45.288992, 26.915131]]",POINT
عرق الحمراوي,"[[45.48666, 26.822219]]",POINT
عرق الحنتوشي,"[[45.270882, 21.756363]]",POINT
عرق الخبراء,"[[45.82803, 23.944809]]",POINT
عرق الخلف,"[[45.903668, 26.378582]]",POINT
عرق الدحول,"[[45.88352, 26.916697]]",POINT
عرق الدحول,"[[45.999155, 26.847024]]",POINT
عرق الدعيكة,"[[45.97935, 25.514052]]",POINT
عرق الدغابيس,"[[45.433702, 24.161532]]",POINT
عرق الربعة,"[[46.360695, 24.104798]]",POINT
عرق الرحيلي,"[[46.569822, 26.630924]]",POINT
عرق الرخام,"[[46.327436, 24.106622]]",POINT
عرق الرفيع,"[[47.545137, 20.588293]]",POINT
عرق الرميثي,"[[46.887438, 26.576357]]",POINT
عرق الرميله,"[[48.069906, 22.097046]]",POINT
عرق الرميله,"[[47.76967, 21.523011]]",POINT
عرق الرميله,"[[47.308223, 20.714979]]",POINT
عرق الرويكب,"[[47.210591, 25.968719]]",POINT
عرق الرويكب الجنوبي,"[[45.912101, 23.979163]]",POINT
عرق الرويكب الشمالي,"[[45.914011, 24.018345]]",POINT
عرق السبية,"[[47.234645, 26.30687]]",POINT
عرق السرو,"[[46.62544, 26.36251]]",POINT
عرق السرو,"[[47.2175, 26.059742]]",POINT
عرق السرو الاوسط,"[[46.004884, 26.611762]]",POINT
عرق السرو الاوسط,"[[46.333873, 26.491792]]",POINT
عرق السرو الشرقي,"[[46.093891, 26.621718]]",POINT
عرق السرو الشرقي,"[[46.408911, 26.49883]]",POINT
عرق السرو الغربي,"[[45.959051, 26.59348]]",POINT
عرق السمر,"[[45.512066, 22.130756]]",POINT
عرق السودة,"[[45.877533, 22.804356]]",POINT
عرق الصفية,"[[44.109914, 20.666163]]",POINT
عرق الصلعاء,"[[46.354022, 26.734328]]",POINT
عرق الصلعاء,"[[46.884606, 26.544342]]",POINT
عرق الضويحي,"[[44.88327, 26.471043]]",POINT
عرق الضويحي,"[[44.895072, 26.556659]]",POINT
عرق الضويحي,"[[44.975324, 26.422441]]",POINT
عرق الطلحات,"[[45.845432, 22.826157]]",POINT
عرق الظفر,"[[45.53082, 26.940665]]",POINT
عرق العدملي,"[[46.425991, 24.150224]]",POINT
عرق العسعس,"[[45.239983, 21.601868]]",POINT
عرق العسعسية,"[[45.290623, 21.710014]]",POINT
عرق الكناسية,"[[46.340032, 26.359098]]",POINT
عرق الكناسية,"[[46.608295, 26.2075]]",POINT
عرق اللسين,"[[46.18015, 24.112308]]",POINT
عرق المتايية,"[[46.808817, 25.924172]]",POINT
عرق المعترض,"[[45.387611, 21.963902]]",POINT
عرق المغنا,"[[46.343079, 26.779003]]",POINT
عرق المغنا,"[[46.668763, 26.614895]]",POINT
عرق الوادي,"[[44.803662, 20.524628]]",POINT
عرق الوحيد,"[[44.64391, 19.795153]]",POINT
عرق الوحيد,"[[45.703983, 22.719555]]",POINT
عرق الوحيد,"[[47.197351, 20.454741]]",POINT
عرق بنبان الثمامة,"[[46.456461, 25.383718]]",POINT
عرق جلوي,"[[46.989534, 26.44922]]",POINT
عرق جهام,"[[45.599248, 26.854191]]",POINT
عرق جهام,"[[46.190815, 26.627297]]",POINT
عرق جهام,"[[46.635075, 26.47321]]",POINT
عرق جهام,"[[47.224753, 26.159928]]",POINT
عرق جهيم,"[[46.643744, 26.553268]]",POINT
عرق جهيم,"[[47.230117, 26.229043]]",POINT
عرق حجلان,"[[46.745024, 26.549149]]",POINT
عرق حلوان,"[[45.735741, 22.517166]]",POINT
عرق خبطان,"[[46.599584, 26.059098]]",POINT
عرق خبطان,"[[46.519418, 26.104159]]",POINT
عرق خبطان,"[[46.737428, 26.000369]]",POINT
عرق خشيبان,"[[45.391216, 21.926136]]",POINT
عرق رملان,"[[45.668106, 22.344646]]",POINT
عرق ساقان,"[[46.705263, 26.643605]]",POINT
عرق سبيطان,"[[45.471339, 26.867881]]",POINT
عرق سميران,"[[45.515156, 22.23238]]",POINT
عرق عاذر عمر,"[[47.07073, 25.963182]]",POINT
عرق عرفان,"[[44.940219, 27.592936]]",POINT
عرق عمر,"[[47.20248, 25.857697]]",POINT
عرق عيران,"[[45.216637, 21.780739]]",POINT
عرق غضي,"[[45.366497, 22.039776]]",POINT
عرق غضي,"[[45.715141, 19.419022]]",POINT
عرق فيضة خريم,"[[47.28919, 25.402257]]",POINT
عرق كتنة,"[[45.239661, 22.423418]]",POINT
عرق لزام,"[[44.488235, 27.032289]]",POINT
عرق محيسن,"[[45.350361, 21.861248]]",POINT
عرق مريخة,"[[45.678921, 22.409706]]",POINT
عرق مريصيص,"[[45.770588, 22.685566]]",POINT
عرق ود,"[[46.616557, 26.275992]]",POINT
عرماء,"[[45.616779, 26.415403]]",POINT
عروق,"[[45.588026, 20.400667]]",POINT
عروق ابو روؤس,"[[45.391045, 19.715652]]",POINT
عروق الاكدان,"[[46.504869, 20.292006]]",POINT
عروق الجذماء,"[[45.518761, 26.69785]]",POINT
عروق الدحي,"[[45.566483, 21.919527]]",POINT
عروق الدحي,"[[47.887774, 20.425215]]",POINT
عروق العبيلة,"[[44.806623, 20.308743]]",POINT
عروق المجاري,"[[46.326342, 19.539099]]",POINT
عروق المنبطحات,"[[46.138544, 19.938726]]",POINT
عروق الوادي,"[[44.17875, 20.60003]]",POINT
عروق الوادي,"[[44.485188, 20.625393]]",POINT
عروق بني حمران,"[[46.999941, 19.999838]]",POINT
عروق بني معارض,"[[45.653429, 19.50202]]",POINT
عروق خرب,"[[44.590051, 19.724214]]",POINT
عروق رمح,"[[44.734697, 19.518242]]",POINT
عريق الثميلة,"[[46.33177, 24.282982]]",POINT
عريق الملقا,"[[44.994163, 27.433548]]",POINT
عريق رغبة,"[[45.744195, 25.133286]]",POINT
عريق رغوة,"[[43.541243, 21.227109]]",POINT
عريق سريهيدة,"[[46.137021, 26.501513]]",POINT
عريق سريهيدة,"[[46.438029, 26.357789]]",POINT
طعس الطويسة,"[[46.818581, 26.119995]]",POINT
طعس المسيار,"[[44.962513, 24.884763]]",POINT
طعس ام دكه,"[[46.197295, 24.399455]]",POINT
طعس رقيبان,"[[47.039659, 25.885377]]",POINT
طعس شريان,"[[46.95694, 25.832956]]",POINT
طعس طويسان,"[[46.924839, 26.059914]]",POINT
طعس طويسان,"[[47.133665, 26.061909]]",POINT
طعس مركوز,"[[46.119683, 24.43074]]",POINT
طعس مريطبة,"[[46.176674, 24.388855]]",POINT
طعوس الحصانه,"[[46.749959, 26.033285]]",POINT
طعوس الغريراء,"[[47.028501, 25.771887]]",POINT
طعوس المعيزيلة,"[[45.920448, 24.172046]]",POINT
طعوس ام رقيبة,"[[47.041333, 25.929279]]",POINT
طعوس سلامية المثنات,"[[46.745667, 23.54928]]",POINT
طعيس محيميد,"[[46.07312, 24.421835]]",POINT
طعيسات المريراء,"[[45.763013, 23.822114]]",POINT
خب الأنجل,"[[45.411665, 24.4172]]",POINT
خب البطين,"[[46.229138, 24.407115]]",POINT
خب الرضم,"[[45.607853, 26.730552]]",POINT
خب الرضم,"[[45.887125, 26.598759]]",POINT
خب الرضم,"[[47.500591, 25.499504]]",POINT
خب النوم,"[[45.436513, 26.866572]]",POINT
خب النوم,"[[45.568113, 26.813164]]",POINT
خب ام حزم,"[[45.988555, 24.124153]]",POINT
خب رضيمان,"[[45.6639, 26.647167]]",POINT
خب هويدي,"[[45.727029, 26.575198]]",POINT
خبة الأبرق,"[[44.869623, 26.739306]]",POINT
خبة الجندلية,"[[45.819254, 26.867151]]",POINT
خبة الدحوة,"[[45.996966, 24.267039]]",POINT
خبة الدخيل,"[[46.234159, 26.675298]]",POINT
خبة الساروت,"[[44.915221, 26.557624]]",POINT
خبة الساروت,"[[45.020256, 26.446838]]",POINT
خبة السرو,"[[47.221384, 26.113987]]",POINT
خبة السويدة,"[[44.382877, 26.86168]]",POINT
خبة الصفيراء,"[[44.400258, 26.751795]]",POINT
خبة الطويس,"[[45.857706, 26.696091]]",POINT
خبة القور,"[[46.408482, 26.519794]]",POINT
خبة المزيرع,"[[47.497501, 25.365887]]",POINT
خبة المعدى,"[[45.018711, 27.56916]]",POINT
خبة المندسه,"[[45.453057, 26.96105]]",POINT
خبة المندسه,"[[45.717523, 26.833227]]",POINT
خبة المندسه,"[[45.465245, 24.370122]]",POINT
خبة ام الروس,"[[45.820198, 26.747246]]",POINT
خبة ام سدره,"[[46.258321, 26.617985]]",POINT
خبة ام عنيقر,"[[44.85913, 26.916783]]",POINT
خبة بتراء البيصية,"[[44.43326, 26.884789]]",POINT
خبة جردان,"[[44.866555, 26.878352]]",POINT
خبة عاذر,"[[46.149101, 26.360493]]",POINT
خبة عجبلين,"[[45.455289, 26.897557]]",POINT
خبت الكف,"[[45.85865, 22.002096]]",POINT
خبت المحيفر,"[[45.31414, 27.09825]]",POINT
خبت المندسة,"[[45.255775, 27.1031]]",POINT
خبت ود,"[[46.620054, 26.302793]]",POINT
