name,lon_lat,coor_type
هويملات الهدب,"[[47.651954, 25.62943]]",POINT
وبره,"[[47.4124, 27.417111]]",POINT
ورسة صالح,"[[51.014671, 19.781914]]",POINT
نقرة الخرب,"[[46.026449, 28.013163]]",POINT
نقرة ام الحساوه,"[[47.141561, 27.18833]]",POINT
نقرة ام سنينه,"[[46.84257, 26.955299]]",POINT
نقرة ام قليب,"[[47.149243, 27.349455]]",POINT
نقرة طالب,"[[49.329407, 26.235201]]",POINT
نقرة طرفة,"[[47.240696, 27.516482]]",POINT
نقعة الغنم,"[[49.106312, 24.544659]]",POINT
نقعة ام الغنم الجنوبية,"[[49.094961, 24.430203]]",POINT
نقعة ام رضمة,"[[48.735523, 24.526119]]",POINT
نقعة ام رويق,"[[49.051037, 24.22966]]",POINT
نقعة بلاق,"[[49.094124, 24.586887]]",POINT
نقعة حمران,"[[49.160857, 24.479384]]",POINT
نهابة الجده,"[[50.393515, 22.768221]]",POINT
نهيط الحاده,"[[50.755205, 22.391424]]",POINT
نوبة القاسمه,"[[47.532799, 28.16416]]",POINT
نوبة علب الراوي,"[[48.038878, 28.088608]]",POINT
نوية الحقيبا,"[[47.957489, 28.303313]]",POINT
نوية الخياله,"[[47.935131, 28.149698]]",POINT
نوية عذبي,"[[47.956996, 28.35331]]",POINT
نويه ام رقيبه,"[[47.795291, 28.463602]]",POINT
نيله,"[[48.797622, 27.746186]]",POINT
هجلة ام ثيموم,"[[48.713036, 25.444851]]",POINT
هجلة ام سديرة,"[[48.691921, 25.380821]]",POINT
هجلة فريج,"[[48.869591, 23.617687]]",POINT
هدباء الهيفيه,"[[47.724438, 25.442963]]",POINT
هديبان,"[[48.969991, 25.99273]]",POINT
هديبان,"[[48.969991, 25.99273]]",POINT
هذلول زياد,"[[45.681496, 27.509358]]",POINT
هشم يطمر,"[[49.715409, 23.547649]]",POINT
مقرن الالحي,"[[48.08336, 26.416583]]",POINT
مقناص,"[[45.685616, 27.349606]]",POINT
مقناص,"[[47.348928, 28.494909]]",POINT
مقناص,"[[48.343449, 28.182678]]",POINT
مقناص الحتيفه,"[[45.722094, 27.492256]]",POINT
مقناص حتيفه برقه,"[[45.729647, 27.266693]]",POINT
مقناص رمث,"[[46.180344, 27.332096]]",POINT
مقناص سواد,"[[45.774965, 26.97607]]",POINT
مقناص شرق رهيان,"[[46.138973, 26.91659]]",POINT
مقناص شرق هديبان,"[[45.84835, 27.63319]]",POINT
ملازم الصقري,"[[47.627428, 26.275585]]",POINT
ملحة,"[[49.929557, 25.229115]]",POINT
ملسات أم قرين,"[[51.391039, 21.255198]]",POINT
ملسة ام حديد,"[[50.489988, 21.654997]]",POINT
ملسة جحيشة,"[[51.058016, 20.742102]]",POINT
مملحة الفوار,"[[48.457818, 27.381384]]",POINT
مملحة نطاع,"[[48.450823, 27.135801]]",POINT
مناذر غنيم,"[[54.211779, 20.468817]]",POINT
منجورة الضعيف,"[[51.544332, 20.136759]]",POINT
منقع الكسر,"[[48.868732, 24.599762]]",POINT
منقع ام كيحان,"[[48.780842, 24.55822]]",POINT
موزع,"[[48.081944, 26.056631]]",POINT
موقع التسع رجوم,"[[46.313853, 27.17082]]",POINT
ميدان الرمايه القاعده,"[[45.338066, 27.666299]]",POINT
نصال الخيل,"[[47.953691, 27.325337]]",POINT
نصال الدسمه,"[[48.705032, 27.014565]]",POINT
نصال النصبيه,"[[49.486735, 26.242647]]",POINT
نصلات المصفره,"[[48.113937, 25.651038]]",POINT
نصلة القلت,"[[45.516701, 28.532996]]",POINT
نصلة ام السروج,"[[47.48188, 26.431067]]",POINT
نصلة خرب الخرانق,"[[48.867145, 26.24151]]",POINT
نصلة شفيه,"[[48.699904, 26.382723]]",POINT
نصلة عشرايه,"[[48.599782, 26.450078]]",POINT
نصيلات الذيب,"[[47.866745, 27.016389]]",POINT
نظيم الجدع,"[[48.524938, 26.099975]]",POINT
مزاليج,"[[48.067696, 24.339759]]",POINT
مريخ شعلة,"[[50.633819, 23.778341]]",POINT
مزاين ام رقيبه,"[[45.546999, 27.17921]]",POINT
مزرعة الحربي,"[[45.19947, 28.591061]]",POINT
مزرعة الشفلحيه,"[[47.4751, 27.4664]]",POINT
مزرعة المحمديه,"[[46.598682, 28.183086]]",POINT
مزرعة الهليباء,"[[45.923624, 28.35125]]",POINT
مزرعة الوريعاء,"[[47.590005, 27.669518]]",POINT
مزرعة ام السباع,"[[47.581701, 27.511096]]",POINT
مزرعة ام السباع الجنوبيه,"[[47.602687, 27.49702]]",POINT
مزرعة ام نجله,"[[47.102401, 27.63716]]",POINT
مزهره,"[[46.773713, 27.256286]]",POINT
مسجد ابن رشيد,"[[45.400271, 27.916303]]",POINT
مشاحين,"[[48.433807, 27.069819]]",POINT
مشاش ابا العكرش,"[[48.637784, 24.797988]]",POINT
مشاش ابن الاسود,"[[47.710555, 26.735744]]",POINT
مشاش ابن جمعه,"[[48.189833, 26.519558]]",POINT
مشاش ابن رضية,"[[47.476301, 27.297592]]",POINT
مشاش ابن زريبان الجنوبي,"[[47.182589, 27.455242]]",POINT
مشاش الاشرم,"[[48.556824, 28.137553]]",POINT
مشاش الحيص,"[[48.696449, 27.644219]]",POINT
مشاش الزرقانيه الشرقي,"[[48.505712, 28.312347]]",POINT
مشاش الزرقانيه الغربي,"[[48.485241, 28.301918]]",POINT
مشاش السهباء,"[[49.942603, 23.7327]]",POINT
مشاش الصحنه,"[[48.562446, 26.14156]]",POINT
مشاش العرفان,"[[48.514853, 28.094015]]",POINT
مشاش العرفجيه,"[[48.51717, 28.230894]]",POINT
مشاش العويجا,"[[48.556695, 28.250442]]",POINT
مشاش الهادي,"[[48.380785, 26.088731]]",POINT
مشاش ام الحصانيه,"[[47.060301, 27.507212]]",POINT
مشاش بارد حلق,"[[48.526268, 28.299386]]",POINT
مشاش بريكان,"[[47.291679, 27.28888]]",POINT
مشاش خضره,"[[47.295606, 26.931868]]",POINT
مشاش دليبيح,"[[49.062731, 27.485991]]",POINT
مشاش سكيران,"[[48.525388, 28.148153]]",POINT
مشاش شبرم,"[[48.396041, 26.230094]]",POINT
مشاش صويلح,"[[48.499811, 28.238103]]",POINT
مشاش ضعيان,"[[48.187172, 26.177909]]",POINT
مشاش عويقل,"[[49.151287, 23.483105]]",POINT
مشاش عويمر,"[[48.560879, 28.160706]]",POINT
مشاش قحيصان,"[[48.54322, 28.011081]]",POINT
مشاش قعمه,"[[48.446939, 28.50553]]",POINT
مشاش قهوه,"[[48.770886, 27.593429]]",POINT
مشاش مستضله,"[[48.57444, 28.171027]]",POINT
مشاش مشيط,"[[47.188919, 26.978581]]",POINT
مشاش مصارع,"[[48.131189, 28.388457]]",POINT
مشرفة,"[[47.333114, 27.388465]]",POINT
مشروع الريمان,"[[48.009932, 27.680204]]",POINT
مشروع الغامدي,"[[47.96176, 27.68574]]",POINT
مشف السديره,"[[48.333321, 27.266607]]",POINT
مصفرات,"[[49.092472, 27.126811]]",POINT
مطار ارامكو,"[[48.107543, 25.271258]]",POINT
مطار القيصومة,"[[46.124725, 28.335199]]",POINT
مطار المسناة,"[[46.686187, 28.243382]]",POINT
مطار حرض,"[[49.12056, 24.123423]]",POINT
مطار فرده,"[[47.858977, 26.889596]]",POINT
مظهور ام قرين,"[[46.820533, 26.937532]]",POINT
مغدر فليج,"[[46.526477, 27.830815]]",POINT
مغطي,"[[46.954794, 27.189317]]",POINT
مغطي,"[[46.945803, 27.138183]]",POINT
مغطية ام برقة,"[[46.765945, 26.802328]]",POINT
مغطية ام دمث,"[[46.845124, 26.761322]]",POINT
مغطية ام سعيرة,"[[46.874607, 26.919358]]",POINT
مغطية ام هذلول,"[[46.854672, 26.821554]]",POINT
قلتة المنخله,"[[45.533416, 28.016574]]",POINT
قلتة متروه,"[[45.583327, 28.033333]]",POINT
قلتة مطيريحة,"[[48.524895, 25.983181]]",POINT
قلمة أمهات بركان,"[[49.903765, 21.089351]]",POINT
قلمة ابن الرباعي,"[[54.293318, 22.135069]]",POINT
قلمة ابن حم,"[[52.979164, 20.183945]]",POINT
قلمة ابو خيالة,"[[50.490932, 24.647655]]",POINT
قلمة ابو ضلوع,"[[53.370552, 21.765118]]",POINT
قلمة ال بقيع,"[[48.934608, 21.365983]]",POINT
قلمة ال جحيش,"[[50.981541, 20.599194]]",POINT
قلمة الأبتر,"[[49.009774, 21.07506]]",POINT
قلمة الأبتر الشمالية,"[[49.039063, 21.098621]]",POINT
قلمة الازيوح,"[[51.589951, 22.307761]]",POINT
قلمة الباردة,"[[49.743755, 25.182037]]",POINT
قلمة الجبو,"[[47.142506, 28.730836]]",POINT
قلمة الحرشاء,"[[51.712625, 19.343512]]",POINT
قلمة الحمار,"[[47.541597, 27.000554]]",POINT
قلمة الخندوق,"[[48.814638, 21.896353]]",POINT
قلمة الخيسة,"[[50.739627, 24.711621]]",POINT
قلمة الدروازة,"[[50.260735, 24.536762]]",POINT
قلمة الرقعي,"[[46.572697, 28.889816]]",POINT
قلمة السيف,"[[50.741665, 24.818008]]",POINT
قلمة الشبعان,"[[51.298428, 23.616056]]",POINT
قلمة الشريعة,"[[51.508155, 21.571505]]",POINT
قلمة الشفاط,"[[50.011997, 20.539627]]",POINT
قلمة الشورة,"[[50.513763, 24.717865]]",POINT
قلمة الصدر يه,"[[47.689977, 27.482429]]",POINT
قلمة الضعيف,"[[54.004669, 20.900631]]",POINT
قلمة الضعيف,"[[54.187403, 20.824499]]",POINT
قلمة الطرفاء,"[[54.838622, 21.390724]]",POINT
قلمة الطويل,"[[52.263165, 21.246185]]",POINT
قلمة الطويل الجنوبية,"[[53.306007, 22.400608]]",POINT
قلمة الطويل الشمالية,"[[53.307552, 22.49691]]",POINT
قلمة العمياء,"[[49.313593, 26.873846]]",POINT
قلمة الغرقة,"[[51.00847, 22.314842]]",POINT
قلمة الغريقة,"[[51.159961, 22.271004]]",POINT
قلمة الفريني,"[[49.315803, 21.092227]]",POINT
قلمة الفوارة,"[[52.998905, 21.259747]]",POINT
قلمة القصباء,"[[48.459148, 21.105037]]",POINT
قلمة الكسح,"[[53.416386, 22.264996]]",POINT
قلمة الكنيب,"[[46.734145, 28.455255]]",POINT
قلمة المالحه,"[[45.393212, 28.236623]]",POINT
قلمة المالحه,"[[47.066374, 28.59973]]",POINT
قلمة المحدار,"[[50.7201, 24.743271]]",POINT
قلمة المسناة,"[[46.741805, 28.25351]]",POINT
قلمة الهريمة,"[[52.045198, 22.646341]]",POINT
قلمة الهمل,"[[49.810896, 23.382747]]",POINT
قلمة الوتيد,"[[50.888114, 23.890672]]",POINT
قلمة ام الشيبان,"[[49.777615, 23.666503]]",POINT
قلمة ام العلل,"[[49.584217, 23.629553]]",POINT
قلمة ام النثيل,"[[48.556287, 21.891804]]",POINT
قلمة ام الهشيم,"[[48.762517, 24.006972]]",POINT
قلمة ام تراب,"[[47.600713, 28.267329]]",POINT
قلمة ام حصاة,"[[47.824152, 27.919843]]",POINT
قلمة ام عمارة,"[[46.751375, 29.018004]]",POINT
قلمة ام قرون,"[[52.72356, 20.600567]]",POINT
قلمة برزان,"[[51.109192, 23.022838]]",POINT
قلمة بريدان,"[[50.940127, 22.767749]]",POINT
قلمة بيض اللحي,"[[53.095207, 20.569153]]",POINT
قلمة ثريا,"[[51.093979, 23.819046]]",POINT
قلمة جروان,"[[50.890389, 23.445168]]",POINT
قلمة جلاب,"[[50.943775, 20.407276]]",POINT
قلمة خالد,"[[47.386823, 28.586812]]",POINT
قلمة خسارة,"[[46.272633, 28.63698]]",POINT
قلمة خيوط الغربان,"[[51.727002, 23.616743]]",POINT
قلمة دسمان,"[[49.638269, 22.203369]]",POINT
قلمة ذعبلوتة,"[[53.962934, 19.714386]]",POINT
قلمة رمثان الجنوبية,"[[47.032449, 28.446844]]",POINT
قلمة رمثان الشمالية,"[[47.079163, 28.561385]]",POINT
قلمة رميث ام ريحة,"[[47.073047, 28.486884]]",POINT
قلمة ضحية,"[[46.975822, 28.064575]]",POINT
قلمة طمشاء,"[[54.832592, 20.997577]]",POINT
قلمة طويل الخطام,"[[51.857529, 20.641937]]",POINT
قلمة عسيكرة,"[[53.184986, 21.595001]]",POINT
قلمة عكيرشان,"[[49.010675, 21.016803]]",POINT
قلمة فارس,"[[50.986176, 20.168324]]",POINT
قلمة فردان,"[[48.72591, 22.051449]]",POINT
قلمة فيصل,"[[51.01701, 21.724327]]",POINT
قلمة مطعونة,"[[51.095867, 23.280201]]",POINT
قلمة مياه مالحة,"[[47.210269, 28.261986]]",POINT
قلمة ندقان,"[[50.137525, 23.153429]]",POINT
قلمة هادي,"[[49.007778, 21.137888]]",POINT
قليب الشربيعه,"[[48.588066, 26.45997]]",POINT
قليب ام الجراء,"[[50.825329, 23.507996]]",POINT
قليب ام الحمير,"[[47.445316, 27.347889]]",POINT
قليب بن مدلول,"[[47.259922, 27.539935]]",POINT
قليب سهبان,"[[50.797005, 23.95071]]",POINT
قنينة الحيراء,"[[46.608295, 27.748632]]",POINT
قنينة اللصافه,"[[46.770022, 27.682929]]",POINT
قور البحائص,"[[51.559739, 23.366804]]",POINT
قور غصابات,"[[47.472267, 27.587678]]",POINT
قور قحزة,"[[50.57451, 23.801708]]",POINT
قور وسيع,"[[50.779409, 23.809862]]",POINT
قور وسيع,"[[50.779431, 23.809884]]",POINT
قوز الجهاد,"[[51.555877, 23.089893]]",POINT
قوز الزهر,"[[51.709514, 22.479851]]",POINT
قوز الزهر,"[[51.750155, 22.491846]]",POINT
قوز السبخة,"[[51.443181, 23.848293]]",POINT
قوز المعترض,"[[51.047845, 23.278077]]",POINT
قوز الهاكب,"[[51.773951, 22.445991]]",POINT
قوز دالوب,"[[51.17481, 23.322043]]",POINT
قونسة الحصان,"[[51.648273, 23.185337]]",POINT
قونسة مجحود,"[[51.660805, 23.057771]]",POINT
قويد البحائص,"[[51.535149, 23.323674]]",POINT
قويرات البولي,"[[47.495098, 27.109172]]",POINT
قويرات البولي,"[[47.436991, 27.096233]]",POINT
قويرات دحل العجاجي,"[[46.979084, 27.113056]]",POINT
قويرات مديرس,"[[46.090672, 28.831108]]",POINT
قويرة ابن حسن,"[[47.775335, 27.916217]]",POINT
قويرة المشبي,"[[47.551274, 28.552072]]",POINT
قويرة ام غوير,"[[47.833936, 27.185111]]",POINT
قويرة فتيخة,"[[47.673368, 27.855535]]",POINT
قيزان الاصبعه,"[[49.12322, 23.293333]]",POINT
قيزان الريف,"[[51.699171, 23.607473]]",POINT
قيزان المبعوث,"[[51.830428, 22.154489]]",POINT
قيزان المقرن,"[[49.441309, 22.710371]]",POINT
قيزان قرينيس,"[[51.834397, 22.336557]]",POINT
قيعان المغرة,"[[47.843463, 26.549706]]",POINT
كبش نصار,"[[47.983346, 27.083251]]",POINT
كسر ابو سخيل,"[[47.175186, 27.391813]]",POINT
كمعة الثليغاء,"[[46.333466, 27.333663]]",POINT
كمعة الفاو,"[[46.12273, 27.591391]]",POINT
كمعة ام الحصن,"[[46.374815, 27.288301]]",POINT
كمعة ام رويع,"[[46.400585, 27.308536]]",POINT
لغالغ,"[[50.559962, 23.37425]]",POINT
م. سلطان جنوب شرق,"[[45.179858, 27.874439]]",POINT
متياهة الحفيره,"[[49.049878, 26.16658]]",POINT
متياهة السويق,"[[46.922801, 26.997464]]",POINT
متياهة سدير,"[[46.856539, 27.331882]]",POINT
متياهة مغطي,"[[46.889219, 26.895175]]",POINT
متيهة العنيزه,"[[47.733343, 26.21664]]",POINT
مثلوث الحقو,"[[47.926998, 26.943455]]",POINT
مثلوث الحمار,"[[47.531405, 26.948733]]",POINT
