name,lon_lat,coor_type
مركز الجبو,"[[47.377853, 28.966827]]",POINT
مركز الحماطيات,"[[47.518744, 28.884623]]",POINT
مركز الرافعيه,"[[48.35804, 28.507118]]",POINT
مركز السور,"[[47.681007, 28.557587]]",POINT
مركز العليمه,"[[46.240768, 29.064331]]",POINT
مركز العوجا,"[[46.396294, 29.051285]]",POINT
مركز المسناة,"[[47.162933, 28.988457]]",POINT
مركز ام حويض,"[[50.551701, 25.196457]]",POINT
مركز ام عماره,"[[46.885185, 29.023476]]",POINT
مركز ام مرخ,"[[50.3936, 25.493066]]",POINT
مركز حماة,"[[50.576077, 25.06284]]",POINT
مركز حمى,"[[47.873955, 28.495445]]",POINT
مركز خالد,"[[46.057885, 29.089394]]",POINT
مركز رغوه,"[[48.187859, 28.518641]]",POINT
مركز عرق,"[[48.029823, 28.502655]]",POINT
مركز هدباء,"[[47.568784, 28.75416]]",POINT
أبرقية,"[[49.949169, 27.108893]]",POINT
أبو شريف,"[[49.532504, 27.865834]]",POINT
أبو طيينة,"[[49.646595, 26.255736]]",POINT
أبو معن,"[[49.807034, 26.660171]]",POINT
أم أثلة,"[[49.319172, 23.15491]]",POINT
أم الحمام,"[[48.814487, 26.000862]]",POINT
أم ضليع,"[[48.404195, 27.083702]]",POINT
أم قليب,"[[45.978234, 27.844441]]",POINT
ابرق الكبريت,"[[47.880929, 28.107855]]",POINT
ابن شرار المتياهه,"[[46.413696, 27.831244]]",POINT
ابو كولة,"[[49.514115, 26.11006]]",POINT
ابو ميركة,"[[48.673639, 26.525245]]",POINT
ارامكو,"[[48.197515, 25.069792]]",POINT
البطيحانيه,"[[45.662999, 27.708786]]",POINT
البويبية,"[[47.118301, 26.868525]]",POINT
البويردة,"[[48.741467, 26.784754]]",POINT
الثوير,"[[49.804802, 25.213773]]",POINT
الجافورة,"[[49.952173, 25.106034]]",POINT
الجبيل,"[[49.654276, 27.013085]]",POINT
الجديدة,"[[49.513321, 25.68037]]",POINT
الجريد,"[[49.956937, 27.19996]]",POINT
الجيشة,"[[49.141309, 26.015689]]",POINT
الحرملية,"[[49.46723, 24.556375]]",POINT
الحسي,"[[48.526268, 27.107241]]",POINT
الحليسية,"[[48.670807, 26.582794]]",POINT
الحميضه,"[[49.992943, 25.483518]]",POINT
الحناة,"[[48.772216, 26.942897]]",POINT
الحني,"[[48.755329, 24.970636]]",POINT
الحيراء,"[[46.621771, 27.696748]]",POINT
الخبر,"[[50.209236, 26.28582]]",POINT
الخرس,"[[49.577179, 25.444336]]",POINT
الخريقه,"[[50.673966, 24.765716]]",POINT
الخفجي,"[[48.475392, 28.417962]]",POINT
الخن الجديد,"[[49.213965, 23.298354]]",POINT
الخن القديم,"[[49.249198, 23.304105]]",POINT
الدريدي,"[[49.891877, 26.65633]]",POINT
الدهو,"[[48.069134, 25.548534]]",POINT
الذيبية,"[[45.668879, 28.12206]]",POINT
الراجحة,"[[49.571407, 25.896363]]",POINT
الراشدية,"[[48.883495, 23.229475]]",POINT
الرافعية,"[[49.530337, 26.265113]]",POINT
الربع الخالي,"[[49.995368, 20.69217]]",POINT
الرطبه,"[[49.449956, 26.53136]]",POINT
الرفيعة,"[[47.069399, 27.015767]]",POINT
الرمثيه,"[[47.317536, 27.5144]]",POINT
الزغين,"[[48.427455, 26.978066]]",POINT
الزوير,"[[49.79079, 26.926739]]",POINT
السالمية,"[[49.410925, 24.356368]]",POINT
السعيرة,"[[47.513251, 27.819765]]",POINT
السفانية,"[[48.662782, 27.938468]]",POINT
السكك,"[[50.849597, 24.649608]]",POINT
السليمانيه,"[[48.425052, 27.537425]]",POINT
الشامية,"[[46.998353, 27.116339]]",POINT
الشيحية,"[[47.009983, 27.071171]]",POINT
الشيط,"[[47.279212, 27.538841]]",POINT
