name,lon_lat,coor_type
وادي ابو شبرم,"[[47.665215, 24.795799]]",POINT
وادي ابو شبرم,"[[47.744479, 24.849057]]",POINT
وادي ابو عشرة,"[[47.592881, 25.008638]]",POINT
وادي ابو عشرة,"[[47.475872, 24.879227]]",POINT
وادي الباطن,"[[45.036499, 27.710395]]",POINT
وادي الباطن,"[[45.886459, 28.314428]]",POINT
وادي الباطن,"[[46.048744, 28.549047]]",POINT
وادي البطحاء,"[[49.311962, 24.541054]]",POINT
وادي الجافي,"[[47.459178, 25.11112]]",POINT
وادي الحاوي,"[[49.358139, 24.357033]]",POINT
وادي الحفنة,"[[49.28999, 24.412479]]",POINT
وادي الحلال الجنوبي,"[[47.975643, 24.677396]]",POINT
وادي الحلال الشمالي,"[[47.86799, 24.824531]]",POINT
وادي الخيلين,"[[49.275913, 24.522343]]",POINT
وادي الذبيه,"[[48.382523, 26.548204]]",POINT
وادي الذنيب,"[[49.255142, 24.531784]]",POINT
وادي السهباء,"[[49.351788, 23.864193]]",POINT
وادي السهباء,"[[48.927248, 24.168076]]",POINT
وادي السوبان,"[[46.951897, 27.961557]]",POINT
وادي السوبان,"[[47.095771, 27.85429]]",POINT
وادي الشق,"[[47.821877, 28.334363]]",POINT
وادي الشيط الريان,"[[46.974921, 27.575684]]",POINT
وادي الشيط الريان,"[[47.271895, 27.526009]]",POINT
وادي الشيط العطشان,"[[46.97372, 27.594094]]",POINT
وادي الشيط العطشان,"[[47.053392, 27.618105]]",POINT
وادي الشيط العطشان,"[[47.278333, 27.538025]]",POINT
وادي الضلعاوي,"[[47.636547, 24.956646]]",POINT
وادي الضلعاوي,"[[47.533894, 24.777088]]",POINT
وادي الضلعاوي,"[[49.265099, 24.261074]]",POINT
وادي العذريه,"[[48.499382, 26.499131]]",POINT
وادي العشاوي,"[[48.895855, 24.221077]]",POINT
وادي الفصل,"[[47.919488, 26.242991]]",POINT
وادي القبوري,"[[48.07349, 24.26646]]",POINT
وادي المزيرع,"[[47.477159, 25.374427]]",POINT
وادي المسار,"[[48.265557, 26.466815]]",POINT
وادي المسعودي,"[[47.434695, 25.188174]]",POINT
وادي المليح,"[[49.239006, 24.34124]]",POINT
وادي المهمري,"[[46.954193, 26.762223]]",POINT
وادي المهمري,"[[46.975243, 26.836531]]",POINT
وادي النخله,"[[47.748041, 26.185784]]",POINT
وادي الوطيفية,"[[49.303722, 24.462261]]",POINT
وادي ام الشبرم,"[[48.935337, 24.100056]]",POINT
وادي ثميله,"[[48.143721, 26.85977]]",POINT
وادي جروان,"[[49.246387, 24.492817]]",POINT
وادي جوده,"[[48.788266, 25.863984]]",POINT
وادي حرض,"[[49.257374, 24.251633]]",POINT
وادي حمد,"[[48.781421, 24.21273]]",POINT
وادي حنيذ,"[[48.645143, 26.562409]]",POINT
وادي سعد,"[[47.498338, 25.037284]]",POINT
وادي سويق اللحي,"[[48.100054, 26.69991]]",POINT
وادي طراق الحرجة,"[[47.87271, 24.785864]]",POINT
وادي عشيران,"[[47.667103, 24.909096]]",POINT
وادي عشيران,"[[47.625904, 24.852254]]",POINT
وادي عشيران,"[[47.622106, 24.817536]]",POINT
وادي عطشانة سعد,"[[47.456753, 25.024667]]",POINT
وادي مبهل,"[[47.431755, 26.577516]]",POINT
وادي مبهل,"[[47.579598, 26.730101]]",POINT
وادي متياهة المهمري,"[[46.899047, 26.774111]]",POINT
وادي مرخة,"[[48.709774, 24.297638]]",POINT
نقرة الصيد,"[[46.84845, 28.227138]]",POINT
فياض ابن زريبان الشرقية,"[[46.643744, 27.137196]]",POINT
فياض ابن زريبان الغربية,"[[46.588211, 27.134857]]",POINT
فياض البلديه,"[[47.429781, 27.522511]]",POINT
فياض الحاصبيات,"[[46.204462, 27.493715]]",POINT
فياض الخيل,"[[48.350487, 27.132797]]",POINT
فياض الذبيبات,"[[47.400663, 27.65497]]",POINT
فياض الرقص,"[[46.896837, 27.062094]]",POINT
فياض الرملية,"[[48.782215, 24.866695]]",POINT
فياض الرواق,"[[46.602116, 27.09883]]",POINT
فياض الشيحيات,"[[47.043993, 27.528906]]",POINT
فياض الشيحيات,"[[47.35086, 26.964977]]",POINT
فياض الشيحيات الجنوبية,"[[47.067747, 27.534635]]",POINT
فياض العوشزيات الشمالية,"[[47.496836, 26.363969]]",POINT
فياض الغزلانيات,"[[45.973234, 27.055013]]",POINT
فياض القراين,"[[45.623882, 28.353953]]",POINT
فياض القراين,"[[46.781759, 27.891734]]",POINT
فياض القويصمات,"[[46.033037, 28.27692]]",POINT
فياض المحيفيرات,"[[47.24679, 26.601956]]",POINT
فياض ام قيصوم الشمالية,"[[47.305884, 26.679075]]",POINT
فياض امهات القردان,"[[46.78427, 27.118979]]",POINT
فياض امهات المصران الجنوبيه,"[[47.388797, 26.552539]]",POINT
فياض امهات قيصوم,"[[47.197437, 27.860298]]",POINT
فياض خنيفسان,"[[45.521851, 27.5247]]",POINT
