name,lon_lat,coor_type
هضبة الشوليه,"[[48.689668, 25.897114]]",POINT
هضبة النجبيه,"[[48.624287, 25.958848]]",POINT
هضبة مطيريحه,"[[48.449321, 25.984941]]",POINT
هضيبة الضيرين,"[[45.878026, 27.557702]]",POINT
غار الجنب,"[[48.56663, 26.282966]]",POINT
غار الجنب,"[[47.9918, 27.392092]]",POINT
غار الجنب,"[[48.266931, 27.247961]]",POINT
غار الحمار,"[[45.462198, 28.713949]]",POINT
غار السبر,"[[47.972209, 27.720802]]",POINT
غار الكهفه,"[[48.288431, 27.407584]]",POINT
غار جريبيعات,"[[48.133335, 27.33274]]",POINT
غار قريه,"[[47.819688, 27.402177]]",POINT
غار مانه,"[[45.449925, 28.749526]]",POINT
ضليع  شظف,"[[48.08542, 28.450062]]",POINT
ضليع ابو راسين,"[[47.676544, 27.464962]]",POINT
ضليع ابو شداد,"[[47.577882, 27.314844]]",POINT
ضليع ابو طويقية,"[[47.700577, 26.466236]]",POINT
ضليع التريبي,"[[47.326291, 26.905432]]",POINT
ضليع الجاده,"[[46.533473, 27.903621]]",POINT
ضليع الخله,"[[48.43679, 27.767429]]",POINT
ضليع الشمالي,"[[47.541962, 27.583408]]",POINT
ضليع الصداوي,"[[47.007408, 27.704108]]",POINT
ضليع الصله,"[[46.854522, 27.631216]]",POINT
ضليع الضبعة,"[[48.107693, 28.19669]]",POINT
ضليع الضلع,"[[46.884499, 27.625723]]",POINT
ضليع الطيارة,"[[46.816306, 27.821031]]",POINT
ضليع العنيزة,"[[47.736969, 26.096649]]",POINT
ضليع الفري,"[[47.107358, 26.821039]]",POINT
ضليع المثلوث,"[[49.384747, 25.879841]]",POINT
ضليع المسناة,"[[46.9431, 28.816237]]",POINT
ضليع المصلفح,"[[48.375013, 26.141624]]",POINT
ضليع المعاشي,"[[48.437777, 28.467593]]",POINT
ضليع المعاشي,"[[48.396235, 28.37599]]",POINT
ضليع المعذر,"[[48.945551, 26.104009]]",POINT
ضليع النصلة,"[[47.559471, 27.387543]]",POINT
ضليع النصله,"[[47.573633, 27.417498]]",POINT
ضليع خرجاء,"[[46.50562, 29.01412]]",POINT
ضليع خور شطف,"[[47.883589, 28.418391]]",POINT
ضليع دافن روحه,"[[49.093781, 25.820961]]",POINT
ضليع دغيم,"[[47.815096, 28.292413]]",POINT
ضليع دغيم,"[[47.546618, 25.891471]]",POINT
ضليع رمدان,"[[47.721627, 28.380582]]",POINT
ضليع ساقان,"[[46.649408, 26.682658]]",POINT
ضليع مجلي,"[[46.569929, 29.070811]]",POINT
ضليع معتق,"[[47.945945, 26.396306]]",POINT
ضليع مويثل,"[[46.39668, 27.043319]]",POINT
ضليع وتيد,"[[48.90461, 26.047554]]",POINT
ضليعات الخليلين,"[[48.30785, 27.831974]]",POINT
ضليعات الخيل,"[[48.395784, 27.838197]]",POINT
ضليعات الرفدي,"[[47.018888, 27.666149]]",POINT
ضليعات الضبيعيات,"[[47.304189, 27.750242]]",POINT
ضليعات الطيار,"[[48.208716, 28.118756]]",POINT
ضليعات العبيد,"[[48.820002, 26.398044]]",POINT
ضليعات المحيلبي,"[[47.962124, 28.068759]]",POINT
ضليعات المزاهب,"[[47.821169, 27.836308]]",POINT
ضليعات المشاليف,"[[46.071382, 27.062631]]",POINT
ضليعات المشاليف,"[[46.141226, 26.957037]]",POINT
ضليعات النصي,"[[47.91642, 27.974474]]",POINT
ضليعات النهدين,"[[47.09384, 27.662287]]",POINT
ضليعات النهيدين,"[[47.703667, 27.157345]]",POINT
ضليعات النهيدين,"[[47.809281, 27.749941]]",POINT
ضليعات ام طوينه,"[[47.892301, 27.886648]]",POINT
ضليعات عكشة,"[[49.205532, 25.779591]]",POINT
ضليعات مفيرحات,"[[47.293739, 27.108228]]",POINT
ضلعان الجاهليه,"[[48.563304, 26.818013]]",POINT
ضلعان الجعوف,"[[47.878075, 27.760563]]",POINT
ضلعان الخصبين,"[[47.985106, 27.616732]]",POINT
ضلعان الخنيصرين,"[[47.870264, 27.644091]]",POINT
ضلعان الديود,"[[48.985741, 27.506461]]",POINT
ضلعان الشعلان,"[[47.969742, 27.011261]]",POINT
ضلعان الشعلان,"[[47.994225, 26.975298]]",POINT
ضلعان الفسقانات,"[[46.66563, 27.624435]]",POINT
ضلعان الفسقانات,"[[46.730776, 27.680483]]",POINT
ضلعان المتداخلات,"[[47.800677, 27.513928]]",POINT
ضلعان المتية,"[[48.108509, 28.340414]]",POINT
ضلعان المشاخيل,"[[49.076035, 25.88836]]",POINT
ضلعان المعدنيات,"[[47.734115, 28.06273]]",POINT
ضلعان المهندس,"[[47.798252, 27.604222]]",POINT
ضلعان ام العصافير,"[[47.45686, 27.123291]]",POINT
ضلعان بويبات القرعاء,"[[46.801436, 27.441831]]",POINT
ضلعان حربات,"[[47.93262, 27.848454]]",POINT
ضلعان خمريه,"[[48.696384, 27.291927]]",POINT
ضلعان رحية,"[[48.864441, 24.213417]]",POINT
ضلعان رمحين,"[[47.408495, 27.074969]]",POINT
ضلعان عصيفيره,"[[47.51544, 27.236996]]",POINT
ضلعان كنيسات,"[[47.393475, 27.643447]]",POINT
ضلعان مهريات,"[[47.205677, 27.117004]]",POINT
ضلعان هفافات,"[[48.181765, 28.287306]]",POINT
ضلعان وثيثيات,"[[47.815933, 27.584953]]",POINT
ضلع ابو راس,"[[47.848034, 27.48951]]",POINT
ضلع ابو رويسين,"[[47.191966, 27.62995]]",POINT
ضلع ابو سوم,"[[49.067388, 25.374084]]",POINT
ضلع ابو سوم,"[[49.067366, 25.374084]]",POINT
ضلع ابو شداد,"[[46.013618, 27.153761]]",POINT
ضلع ابو شداد,"[[47.242305, 27.231267]]",POINT
ضلع ابو شداد,"[[47.900219, 27.256737]]",POINT
ضلع ابو كوفية,"[[48.657353, 26.194625]]",POINT
ضلع ابو ميركة,"[[49.095562, 25.972817]]",POINT
ضلع ابو ميركه,"[[48.284054, 26.690941]]",POINT
ضلع ابو وكر,"[[46.633873, 27.549763]]",POINT
ضلع الاحيرش,"[[47.941096, 28.186347]]",POINT
ضلع الاحيمر,"[[47.876358, 28.032432]]",POINT
ضلع الارخم,"[[48.559978, 26.297472]]",POINT
ضلع الحصان,"[[51.228561, 23.397338]]",POINT
ضلع الخليجه,"[[47.125854, 27.526095]]",POINT
ضلع الرقباء,"[[46.764851, 27.596068]]",POINT
ضلع الشدقه,"[[46.166697, 28.616509]]",POINT
ضلع الصفيه,"[[48.581822, 27.046709]]",POINT
ضلع الضبيعة,"[[49.27248, 26.460228]]",POINT
ضلع الضيرين,"[[47.512436, 26.126003]]",POINT
ضلع الظليفين,"[[48.684046, 28.026745]]",POINT
ضلع العرفاء,"[[46.044967, 27.353961]]",POINT
ضلع العموده,"[[48.608665, 28.162229]]",POINT
ضلع الفريدة,"[[47.046375, 27.323856]]",POINT
ضلع الفريسه,"[[46.843987, 27.727969]]",POINT
ضلع القاسمة,"[[47.558742, 28.142059]]",POINT
ضلع القماز,"[[49.018915, 25.978203]]",POINT
ضلع الكوع,"[[47.226126, 27.538755]]",POINT
ضلع اللميمه,"[[48.593774, 27.503157]]",POINT
ضلع المتياهة,"[[47.648456, 26.173553]]",POINT
ضلع المتياهه,"[[48.110375, 28.29164]]",POINT
ضلع المثلوث,"[[45.993683, 27.53279]]",POINT
ضلع المثلوث,"[[48.954306, 25.707815]]",POINT
ضلع المثلوث,"[[48.954306, 25.707836]]",POINT
ضلع المثيلث,"[[48.965635, 25.673676]]",POINT
ضلع المحيش,"[[48.004761, 26.511211]]",POINT
ضلع المحيش,"[[48.079412, 26.505396]]",POINT
ضلع المفروقة,"[[46.025827, 27.005982]]",POINT
