name,lon_lat,coor_type
ميدان رماية القاعده,"[[45.083685, 27.615573], [45.083578, 27.564826]]",LINESTRING
ميدان رماية القاعده,"[[45.083578, 27.564826], [45.0846936, 27.4766201]]",LINESTRING
ميدان رماية القاعده,"[[45.083771, 27.666321], [45.083685, 27.615573]]",LINESTRING
ميدان رماية القاعده,"[[45.084672, 27.666321], [45.083771, 27.666321]]",LINESTRING
ميدان رماية القاعده,"[[45.135419, 27.666256], [45.084672, 27.666321]]",LINESTRING
ميدان رماية القاعده,"[[45.0846936, 27.4766201], [45.147243, 27.432668]]",LINESTRING
ميدان رماية القاعده,"[[45.147243, 27.432668], [45.19799, 27.432668]]",LINESTRING
ميدان رماية القاعده,"[[45.19799, 27.432668], [45.248737, 27.432668]]",LINESTRING
ميدان رماية القاعده,"[[45.248737, 27.43269], [45.281889, 27.43269]]",LINESTRING
ميدان رماية القاعده,"[[45.281889, 27.43269], [45.332637, 27.45537]]",LINESTRING
ميدان رماية القاعده,"[[45.186167, 27.666214], [45.135419, 27.666256]]",LINESTRING
ميدان رماية القاعده,"[[45.236914, 27.666149], [45.186167, 27.666214]]",LINESTRING
ميدان رماية القاعده,"[[45.287662, 27.666085], [45.236914, 27.666149]]",LINESTRING
ميدان رماية القاعده,"[[45.338409, 27.666042], [45.287662, 27.666085]]",LINESTRING
ميدان رماية القاعده,"[[45.332637, 27.45537], [45.383384, 27.478051]]",LINESTRING
ميدان رماية القاعده,"[[45.389156, 27.665977], [45.338409, 27.666042]]",LINESTRING
ميدان رماية القاعده,"[[45.389199, 27.632997], [45.389156, 27.665977]]",LINESTRING
ميدان رماية القاعده,"[[45.389349, 27.531502], [45.389264, 27.58225]]",LINESTRING
ميدان رماية القاعده,"[[45.389414, 27.480755], [45.389349, 27.531502]]",LINESTRING
ميدان رماية القاعده,"[[45.383384, 27.478051], [45.389414, 27.480755]]",LINESTRING
ميدان رماية القاعده,"[[45.389264, 27.58225], [45.389199, 27.632997]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.394521, 27.907441], [45.37096, 27.884653], [45.332701, 27.847488]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.484836, 27.972522], [45.438337, 27.944562], [45.43838, 27.920122], [45.427566, 27.920208], [45.407782, 27.920036], [45.394521, 27.907441]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.332401, 27.744834], [45.38008, 27.745006], [45.409799, 27.745092]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.332701, 27.847488], [45.332358, 27.762601]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.332358, 27.762601], [45.332401, 27.744834]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.409799, 27.745092], [45.48769, 27.744791]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.53863, 28.00473], [45.484836, 27.972522]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.48769, 27.744791], [45.543458, 27.80616], [45.567341, 27.831674]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.640275, 27.984431], [45.641305, 28.00842], [45.634074, 28.008463], [45.631371, 28.008034], [45.610406, 28.005331], [45.61326, 27.99325], [45.575559, 27.993014], [45.575409, 27.993035], [45.57307, 27.995546], [45.580087, 28.001833], [45.567148, 28.01342], [45.557384, 28.004665]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.557384, 28.004665], [45.53863, 28.00473]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.626564, 27.896004], [45.626221, 27.983294], [45.640275, 27.984431]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.623539, 27.892721], [45.626564, 27.896004]]",LINESTRING
مدينة الملك خالد - القاعده,"[[45.567341, 27.831674], [45.623539, 27.892721]]",LINESTRING
شبك مشعل الجنوبي,"[[45.682955, 28.129013], [45.695851, 28.120365], [45.713532, 28.102212]]",LINESTRING
شبك مشعل الجنوبي,"[[45.713532, 28.102212], [45.736449, 28.091655], [45.752649, 28.086376]]",LINESTRING
شبك مشعل الغربي,"[[45.669909, 28.205917], [45.659502, 28.197827], [45.650125, 28.180275], [45.646305, 28.175747], [45.64122, 28.160427]]",LINESTRING
شبك مشعل الجنوبي,"[[45.64122, 28.160427], [45.647593, 28.147273], [45.664823, 28.134677], [45.680552, 28.13369], [45.682998, 28.13133], [45.682955, 28.129013]]",LINESTRING
شبك مشعل الغربي,"[[45.70776, 28.215187], [45.686817, 28.206882], [45.669909, 28.205917]]",LINESTRING
شبك مشعل الشمالي,"[[45.763528, 28.181777], [45.718853, 28.210659], [45.70776, 28.215187]]",LINESTRING
شبك مشعل الشمالي,"[[45.80992, 28.162916], [45.784235, 28.17961], [45.775266, 28.189352], [45.763528, 28.181777]]",LINESTRING
شبك مشعل الشرقي,"[[45.780287, 28.121052], [45.80992, 28.162916]]",LINESTRING
شبك مشعل الشرقي,"[[45.752649, 28.086376], [45.770695, 28.109121], [45.763743, 28.117533], [45.773699, 28.123991], [45.780287, 28.121052]]",LINESTRING
,"[[45.888348, 28.052387], [45.876503, 28.052216], [45.868778, 28.049984], [45.844917, 28.026981], [45.85659, 28.012905], [45.865688, 28.014107], [45.869637, 28.013592]]",LINESTRING
,"[[45.918045, 27.941837], [45.926392, 27.940679], [45.955982, 27.952309]]",LINESTRING
,"[[45.955982, 27.952309], [45.931864, 28.003056]]",LINESTRING
,"[[45.931864, 28.003056], [45.926113, 28.015137], [45.888348, 28.052387]]",LINESTRING
,"[[45.869637, 28.013592], [45.898991, 27.982006], [45.902939, 27.964153]]",LINESTRING
,"[[45.902939, 27.964153], [45.908797, 27.954476], [45.912552, 27.94836], [45.918045, 27.941837]]",LINESTRING
