name,lon_lat,coor_type
درب شعيب كريم,"[[45.100701, 28.636336], [45.112546, 28.635843], [45.120785, 28.6361], [45.132973, 28.636401], [45.147028, 28.636723], [45.15619, 28.636873], [45.158186, 28.63683], [45.160718, 28.636594], [45.164859, 28.636487], [45.170417, 28.636658], [45.18297, 28.636358], [45.189321, 28.6361], [45.19181, 28.636036]]",LINESTRING
ردمية الصداوي - أم رقيبة,"[[45.645897, 27.299266], [45.630212, 27.28446], [45.624418, 27.279117], [45.614526, 27.269633], [45.611093, 27.266414], [45.604591, 27.260578], [45.598798, 27.255256], [45.597553, 27.254205], [45.59427, 27.251608], [45.591481, 27.249613], [45.589592, 27.248325]]",LINESTRING
ردمية الصداوي - أم رقيبة,"[[45.589592, 27.248325], [45.586266, 27.246137], [45.584164, 27.244871], [45.58322, 27.244356], [45.582511, 27.244077], [45.582018, 27.243969], [45.581524, 27.243927], [45.580773, 27.243927], [45.575688, 27.24412], [45.574422, 27.24427], [45.573521, 27.244442], [45.572212, 27.244785]]",LINESTRING
,"[[45.571847, 27.244914], [45.571332, 27.244956], [45.568714, 27.245579], [45.559788, 27.248089], [45.558243, 27.24839], [45.554895, 27.248712], [45.553629, 27.248733], [45.54642, 27.248347], [45.533652, 27.248046], [45.530047, 27.248003], [45.524511, 27.247875], [45.518804, 27.247832]]",LINESTRING
,"[[45.518804, 27.247832], [45.513911, 27.248068], [45.512967, 27.248046], [45.512474, 27.248003], [45.505586, 27.246416], [45.504642, 27.246265], [45.502431, 27.246222], [45.501959, 27.24618], [45.501444, 27.246008], [45.501101, 27.245836], [45.500715, 27.245557], [45.500028, 27.244978], [45.496037, 27.241158], [45.493376, 27.238455], [45.493097, 27.238219], [45.492904, 27.238176], [45.491123, 27.238176]]",LINESTRING
ردمية الصداوي - أم رقيبة,"[[45.688169, 27.337675], [45.681796, 27.33274], [45.680895, 27.331903], [45.676281, 27.327354], [45.67493, 27.326067], [45.665016, 27.316883], [45.662956, 27.314994], [45.654974, 27.307935], [45.653429, 27.306497], [45.649331, 27.302527], [45.645897, 27.299266]]",LINESTRING
,"[[45.661948, 27.253089], [45.659716, 27.253046], [45.659137, 27.253003], [45.65654, 27.252531], [45.655231, 27.252166], [45.65448, 27.252016], [45.654159, 27.251887], [45.653493, 27.251801], [45.652571, 27.251565], [45.652249, 27.251544], [45.651004, 27.251308], [45.650532, 27.251308], [45.649803, 27.251372], [45.649266, 27.251287], [45.648515, 27.251351], [45.648108, 27.251287], [45.647228, 27.251394], [45.646434, 27.251372], [45.645854, 27.251265], [45.645575, 27.251287], [45.645125, 27.251244], [45.64388, 27.250943], [45.643322, 27.2509], [45.642035, 27.250729], [45.641434, 27.25075], [45.640812, 27.250814], [45.640512, 27.250879], [45.639932, 27.2509], [45.639546, 27.251115], [45.639224, 27.251201], [45.638967, 27.251179], [45.638301, 27.251008], [45.637529, 27.251029], [45.63695, 27.251179], [45.636628, 27.251394], [45.636027, 27.251673], [45.635726, 27.251909], [45.635126, 27.252166], [45.634525, 27.252274], [45.633709, 27.252359], [45.633023, 27.252488], [45.627852, 27.253668], [45.627143, 27.253754], [45.625663, 27.254055], [45.625169, 27.254097], [45.62459, 27.254269], [45.624011, 27.254333], [45.622358, 27.254891], [45.621157, 27.255213], [45.620534, 27.255342], [45.619032, 27.255814], [45.618088, 27.2562], [45.617208, 27.256501], [45.615063, 27.257037], [45.613432, 27.257273], [45.612316, 27.257359], [45.609956, 27.257702], [45.609441, 27.257831], [45.60899, 27.258003], [45.608518, 27.258024], [45.606973, 27.258518], [45.606093, 27.258711], [45.605643, 27.258689]]",LINESTRING
,"[[45.724411, 27.539806], [45.72012, 27.544785], [45.719261, 27.547703], [45.719261, 27.551994], [45.716686, 27.554741], [45.711708, 27.557659], [45.70673, 27.559204], [45.701923, 27.559891], [45.689735, 27.559547], [45.684414, 27.560749], [45.681152, 27.562637], [45.676174, 27.568645], [45.673771, 27.57122], [45.668449, 27.574825]]",LINESTRING
,"[[45.668449, 27.574825], [45.663471, 27.577744], [45.660038, 27.579117], [45.653172, 27.579975], [45.645447, 27.581005], [45.63961, 27.582078]]",LINESTRING
ردمية الصداوي - أم رقيبة,"[[45.738659, 27.378724], [45.736384, 27.377715], [45.733273, 27.376449], [45.731986, 27.375891], [45.731256, 27.375484], [45.730569, 27.374969], [45.730162, 27.374604], [45.723059, 27.36645], [45.716815, 27.359734], [45.716021, 27.358961], [45.715356, 27.358403], [45.712588, 27.3563], [45.708361, 27.352996], [45.706687, 27.351472], [45.705614, 27.350442], [45.704391, 27.349176], [45.703533, 27.348382], [45.70143, 27.346666], [45.694327, 27.341044], [45.693619, 27.340593], [45.688899, 27.338104], [45.688169, 27.337675]]",LINESTRING
