name,lon_lat,coor_type
قلبان ابو حديده,"[[48.472087, 28.015029]]",POINT
قلبان ابو خشبة,"[[50.787048, 23.902645]]",POINT
قلبان الثميله,"[[48.685484, 27.057974]]",POINT
قلبان الخزامي,"[[48.571479, 26.494496]]",POINT
قلبان الرهيط,"[[50.812626, 22.99181]]",POINT
قلبان السبع,"[[45.201659, 27.847617]]",POINT
قلبان الشذي,"[[48.274999, 28.174717]]",POINT
قلبان الصفاوي,"[[48.141747, 28.275461]]",POINT
قلبان الضبطية,"[[48.900318, 23.143044]]",POINT
قلبان الضبطيه,"[[48.532298, 26.457138]]",POINT
قلبان القرائن,"[[50.434799, 24.634266]]",POINT
قلبان المرير,"[[48.247104, 28.452616]]",POINT
قلبان الوتيد,"[[50.870476, 23.972855]]",POINT
قلبان ام نقى,"[[47.801428, 27.862852]]",POINT
قلبان جحيظا,"[[48.666859, 26.843741]]",POINT
قلبان خبيراء,"[[47.184391, 27.774811]]",POINT
قلبان خريت,"[[50.970211, 23.678455]]",POINT
قلبان رغوه,"[[48.278518, 28.519499]]",POINT
قلبان زرمة,"[[48.174019, 28.338032]]",POINT
قلبان زويريطة,"[[48.240709, 28.107061]]",POINT
قلبان عرق,"[[48.112242, 28.263037]]",POINT
قلبان عرقه,"[[48.141661, 28.308313]]",POINT
قلبان عطارز,"[[48.184125, 28.500295]]",POINT
قلبان عويهان,"[[48.448441, 28.206818]]",POINT
قلبان مران,"[[50.746193, 23.615456]]",POINT
قلبان مطعونة,"[[50.752716, 23.79158]]",POINT
قلبان وسيع,"[[50.819664, 23.817329]]",POINT
ماء ابن الصعيرية,"[[54.407558, 19.907055]]",POINT
ماء حائز,"[[51.764317, 23.910542]]",POINT
مارد ام جرف,"[[47.838013, 26.94339]]",POINT
مارد ماء,"[[46.865401, 27.450607]]",POINT
مارد ماء,"[[47.021184, 27.977414]]",POINT
مارد ماء,"[[46.980822, 27.239313]]",POINT
مارد ماء,"[[47.01539, 27.078423]]",POINT
مارد ماء,"[[47.238765, 27.000854]]",POINT
مارد ماء,"[[48.05053, 27.140737]]",POINT
مارد ماء - البويبية,"[[47.122035, 26.872473]]",POINT
مارد ماء - اللصافة,"[[46.864092, 27.617354]]",POINT
عين مطيوي الباردة,"[[49.736416, 25.196135]]",POINT
عين النعيريه,"[[48.41574, 27.533712]]",POINT
عين الغبيا,"[[48.944263, 23.179951]]",POINT
عين العبد,"[[48.27075, 28.235571]]",POINT
بير الشقم,"[[48.591671, 27.080204]]",POINT
بير جليغاء,"[[48.506913, 27.732883]]",POINT
بير وبره الفوار,"[[47.393603, 27.424729]]",POINT
بئر ابا البقر,"[[51.183307, 23.160167]]",POINT
بئر ابن الأسود,"[[51.530321, 21.586118]]",POINT
بئر ابن بخيت,"[[51.323276, 21.617103]]",POINT
بئر ابن جهيم,"[[49.019043, 22.40638]]",POINT
بئر ابن رخيلة,"[[50.616674, 22.882826]]",POINT
بئر ابن صيفور,"[[51.618297, 21.068451]]",POINT
بئر ابن ضرمان,"[[51.340871, 20.392406]]",POINT
بئر ابن عليان,"[[50.227604, 22.724018]]",POINT
بئر ابو خشة,"[[52.270975, 20.720258]]",POINT
بئر ابو سدرة,"[[46.171653, 26.995339]]",POINT
بئر ابو سيلة,"[[49.545615, 26.521361]]",POINT
بئر ابو صبل,"[[51.298192, 22.360032]]",POINT
بئر ابو غضاة,"[[52.060604, 21.581783]]",POINT
بئر ابو قرون,"[[51.445005, 21.934891]]",POINT
بئر ابو كول,"[[49.551108, 26.435981]]",POINT
بئر ابو مساجد,"[[51.523089, 21.545005]]",POINT
بئر ابو هبدة,"[[51.515858, 21.483486]]",POINT
بئر ارتوازي,"[[45.820627, 27.455649]]",POINT
بئر ال سلطان,"[[51.222897, 20.661464]]",POINT
بئر ال مثيب,"[[51.343038, 21.532667]]",POINT
بئر ال هيضة,"[[50.30159, 24.88987]]",POINT
بئر البحث,"[[50.493851, 25.019474]]",POINT
بئر الحويفاء,"[[49.810875, 22.434919]]",POINT
بئر الخشبي,"[[50.956306, 23.200378]]",POINT
بئر الخشم,"[[51.741657, 23.826771]]",POINT
بئر الدقماء,"[[50.915108, 21.572514]]",POINT
بئر الذيبي,"[[51.014328, 23.323803]]",POINT
بئر السجم,"[[51.584566, 23.914876]]",POINT
بئر الشريعة,"[[51.545019, 21.513119]]",POINT
بئر الشلفاء,"[[49.713113, 21.87762]]",POINT
بئر الصعفوق,"[[51.648424, 21.381304]]",POINT
بئر الصفاوية,"[[51.089516, 23.89492]]",POINT
بئر الصفة,"[[48.957996, 23.798447]]",POINT
بئر الصومالي الشمالية,"[[51.49586, 21.161213]]",POINT
بئر الطريفاء,"[[53.463249, 19.943104]]",POINT
بئر الطريقاء,"[[50.959268, 21.380982]]",POINT
بئر الطويرشة,"[[51.377327, 22.281711]]",POINT
بئر الطويرفة,"[[49.569218, 21.485503]]",POINT
بئر الطويلة,"[[49.647324, 24.247577]]",POINT
بئر الطويله,"[[48.204167, 27.827425]]",POINT
بئر العدينة,"[[51.323361, 23.372018]]",POINT
بئر العميشاء,"[[51.194186, 22.365654]]",POINT
بئر القراطيس,"[[50.236917, 22.100716]]",POINT
بئر القليبة,"[[49.020824, 22.960396]]",POINT
