name,lon_lat,coor_type
نفود الجرعاء,"[[45.033324, 27.633297]]",POINT
نفود العصلا,"[[49.953718, 25.324645]]",POINT
نفود النعيجه,"[[47.695084, 26.845779]]",POINT
نفود الهمل,"[[45.266676, 27.366471]]",POINT
عرق ابا السيقان,"[[49.823942, 21.191854]]",POINT
عرق ابو شداد,"[[47.715919, 26.806147]]",POINT
عرق البركان,"[[53.443079, 19.61463]]",POINT
عرق الجار الله,"[[50.17602, 21.521616]]",POINT
عرق الجثوم,"[[48.647182, 25.85628]]",POINT
عرق الجذماء,"[[46.954579, 26.594489]]",POINT
عرق الجذماء,"[[47.031119, 26.545866]]",POINT
عرق الخفيسه,"[[46.81946, 26.67695]]",POINT
عرق الخفيسه,"[[46.766031, 26.69167]]",POINT
عرق الدحول,"[[45.88352, 26.916697]]",POINT
عرق الدحول,"[[45.999155, 26.847024]]",POINT
عرق الرميثي,"[[46.887438, 26.576357]]",POINT
عرق السبية,"[[47.234645, 26.30687]]",POINT
عرق الشعفانيات,"[[47.960815, 26.622834]]",POINT
عرق الصلعاء,"[[46.884606, 26.544342]]",POINT
عرق العبل,"[[51.944432, 22.812853]]",POINT
عرق الغنم,"[[49.621553, 21.968451]]",POINT
عرق القاسم,"[[51.78998, 21.404886]]",POINT
عرق القليب,"[[48.333535, 26.716518]]",POINT
عرق القهاب,"[[47.74111, 25.780792]]",POINT
عرق المرضف,"[[48.539958, 25.780578]]",POINT
عرق المغنا,"[[46.343079, 26.779003]]",POINT
عرق المغنا,"[[46.668763, 26.614895]]",POINT
عرق النشب,"[[53.393984, 20.193472]]",POINT
عرق ام العقارب,"[[48.100033, 26.88303]]",POINT
عرق جلاب,"[[51.108484, 20.285139]]",POINT
عرق جلوي,"[[46.989534, 26.44922]]",POINT
عرق حروري,"[[47.745917, 25.955029]]",POINT
عرق حزوى,"[[47.361567, 26.390426]]",POINT
عرق حزوى,"[[47.799261, 26.019337]]",POINT
عرق حويذقان,"[[53.219576, 19.974775]]",POINT
عرق رحيه,"[[48.207536, 26.758854]]",POINT
عرق ساقان,"[[46.705263, 26.643605]]",POINT
عرق سميح,"[[51.89435, 20.439634]]",POINT
عرق شايع,"[[50.761385, 20.494909]]",POINT
عرق شوية,"[[47.220418, 26.404738]]",POINT
عرق شويه,"[[47.080343, 26.485076]]",POINT
عرق عامر,"[[53.210993, 19.460135]]",POINT
عرق كنهرا,"[[47.59876, 25.685735]]",POINT
عرق مقيف,"[[52.328632, 22.034197]]",POINT
عروق ابو صلعاء,"[[52.281961, 22.814076]]",POINT
عروق الاوراك,"[[48.473482, 20.15502]]",POINT
عروق الدحي,"[[47.887774, 20.425215]]",POINT
عروق هزوع,"[[49.384317, 20.657301]]",POINT
طعس الحصان,"[[48.203845, 24.28618]]",POINT
طعس الهويمل,"[[49.549413, 23.715706]]",POINT
