name,lon_lat,coor_type,category
أبو النعم,"[[37.66639, 25.07668]]",POINT,أسماء ثانوية
أبو عجيجات,"[[36.603055, 28.286104]]",POINT,أسماء ثانوية
أوجر,"[[37.299442, 28.345005]]",POINT,أسماء ثانوية
أويسط,"[[39.745553, 27.502491]]",POINT,أسماء ثانوية
إصطبل عنتر,"[[36.284924, 26.623306]]",POINT,أسماء ثانوية
ابا الخشب,"[[36.567349, 27.513371]]",POINT,أسماء ثانوية
ابا العجل,"[[35.321066, 28.641293]]",POINT,أسماء ثانوية
ابا الغزيلات,"[[35.968573, 28.534884]]",POINT,أسماء ثانوية
ابا الغزيلات,"[[36.86074, 27.02611]]",POINT,أسماء ثانوية
ابا القرون,"[[37.280838, 27.673638]]",POINT,أسماء ثانوية
ابا القرون,"[[37.281826, 27.673874]]",POINT,أسماء ثانوية
ابا الميح,"[[38.516736, 27.138505]]",POINT,أسماء ثانوية
ابو حشاة,"[[36.44886, 26.559212]]",POINT,أسماء ثانوية
ابو حنيك,"[[35.563452, 28.579988]]",POINT,أسماء ثانوية
ابو خروع,"[[38.046341, 29.644461]]",POINT,أسماء ثانوية
ابو دخان,"[[35.976512, 28.302562]]",POINT,أسماء ثانوية
ابو سدرة,"[[38.371661, 27.150714]]",POINT,أسماء ثانوية
ابو سديرات,"[[37.423253, 27.962158]]",POINT,أسماء ثانوية
ابو شارب,"[[37.189322, 29.579144]]",POINT,أسماء ثانوية
ابو طبق,"[[37.147758, 27.807834]]",POINT,أسماء ثانوية
ابو طليحات,"[[37.779579, 28.454869]]",POINT,أسماء ثانوية
ابو عراد,"[[38.952155, 28.109314]]",POINT,أسماء ثانوية
ابو علادي,"[[37.359331, 27.525601]]",POINT,أسماء ثانوية
ابو علدا,"[[37.38862, 29.75132]]",POINT,أسماء ثانوية
ابو نشيفة,"[[36.73738, 28.367386]]",POINT,أسماء ثانوية
ابواذن,"[[38.920591, 27.885597]]",POINT,أسماء ثانوية
ابودخانة,"[[35.970719, 28.422039]]",POINT,أسماء ثانوية
ابوضباع,"[[37.39804, 27.711425]]",POINT,أسماء ثانوية
ابولحو,"[[37.81713, 29.342573]]",POINT,أسماء ثانوية
ابيرق السباع,"[[38.351727, 28.623505]]",POINT,أسماء ثانوية
استرا,"[[36.350412, 28.692512]]",POINT,أسماء ثانوية
اسيله,"[[37.206895, 25.806456]]",POINT,أسماء ثانوية
اسيله,"[[37.206895, 25.806456]]",POINT,أسماء ثانوية
اكرا,"[[36.996396, 25.906105]]",POINT,أسماء ثانوية
الأبيرق,"[[34.636137, 28.148475]]",POINT,أسماء ثانوية
الأبيض,"[[36.18418, 26.803336]]",POINT,أسماء ثانوية
