name,lon_lat,coor_type
أبو النعم,"[[37.66639, 25.07668]]",POINT
أبو عجيجات,"[[36.603055, 28.286104]]",POINT
أوجر,"[[37.299442, 28.345005]]",POINT
أويسط,"[[39.745553, 27.502491]]",POINT
إصطبل عنتر,"[[36.284924, 26.623306]]",POINT
ابا الخشب,"[[36.567349, 27.513371]]",POINT
ابا العجل,"[[35.321066, 28.641293]]",POINT
ابا الغزيلات,"[[35.968573, 28.534884]]",POINT
ابا الغزيلات,"[[36.86074, 27.02611]]",POINT
ابا القرون,"[[37.280838, 27.673638]]",POINT
ابا القرون,"[[37.281826, 27.673874]]",POINT
ابا الميح,"[[38.516736, 27.138505]]",POINT
ابو حشاة,"[[36.44886, 26.559212]]",POINT
ابو حنيك,"[[35.563452, 28.579988]]",POINT
ابو خروع,"[[38.046341, 29.644461]]",POINT
ابو دخان,"[[35.976512, 28.302562]]",POINT
ابو سدرة,"[[38.371661, 27.150714]]",POINT
ابو سديرات,"[[37.423253, 27.962158]]",POINT
ابو شارب,"[[37.189322, 29.579144]]",POINT
ابو طبق,"[[37.147758, 27.807834]]",POINT
ابو طليحات,"[[37.779579, 28.454869]]",POINT
ابو عراد,"[[38.952155, 28.109314]]",POINT
ابو علادي,"[[37.359331, 27.525601]]",POINT
ابو علدا,"[[37.38862, 29.75132]]",POINT
ابو نشيفة,"[[36.73738, 28.367386]]",POINT
ابواذن,"[[38.920591, 27.885597]]",POINT
ابودخانة,"[[35.970719, 28.422039]]",POINT
ابوضباع,"[[37.39804, 27.711425]]",POINT
ابولحو,"[[37.81713, 29.342573]]",POINT
ابيرق السباع,"[[38.351727, 28.623505]]",POINT
استرا,"[[36.350412, 28.692512]]",POINT
اسيله,"[[37.206895, 25.806456]]",POINT
اسيله,"[[37.206895, 25.806456]]",POINT
اكرا,"[[36.996396, 25.906105]]",POINT
الأبيرق,"[[34.636137, 28.148475]]",POINT
الأبيض,"[[36.18418, 26.803336]]",POINT
الأثالث,"[[37.75001, 27.500002]]",POINT
الأخيضر,"[[37.127223, 28.045285]]",POINT
الأوقر,"[[35.869782, 27.50056]]",POINT
الأيكة,"[[36.000009, 27.500002]]",POINT
الاثيلي,"[[37.092977, 28.229713]]",POINT
الاجضع,"[[35.393937, 28.960025]]",POINT
الاخم,"[[35.718398, 28.607497]]",POINT
الادرع,"[[36.126759, 27.083316]]",POINT
الازوار,"[[38.945739, 28.179524]]",POINT
الاسامر,"[[36.691697, 29.51947]]",POINT
الاسمر,"[[38.09078, 28.949082]]",POINT
الاعيرج,"[[38.178091, 27.313449]]",POINT
البحص,"[[36.9414, 27.716403]]",POINT
البخيرة,"[[39.648199, 27.197642]]",POINT
البدة,"[[38.456762, 27.381041]]",POINT
