name,lon_lat,coor_type
أبا القزاز,"[[36.689315, 26.769283]]",POINT
أديمج,"[[35.852187, 27.488265]]",POINT
أم بريرة,"[[35.784187, 28.381247]]",POINT
أم سدرة,"[[37.795694, 24.887488]]",POINT
ابا الحنشان,"[[35.19644, 29.202154]]",POINT
ابار ابلي,"[[37.530456, 24.855022]]",POINT
ابار قنا,"[[36.351314, 27.951472]]",POINT
ابن غنيم,"[[37.497389, 25.361381]]",POINT
ابو ديه,"[[36.330843, 26.457374]]",POINT
ابيط,"[[39.10414, 28.046572]]",POINT
اثار الحوراء,"[[37.265861, 25.116098]]",POINT
اسكان علقان,"[[35.39885, 29.122396]]",POINT
ال عمران,"[[35.307505, 29.203184]]",POINT
الأشقم,"[[37.393513, 25.328701]]",POINT
الأندرة,"[[37.65888, 24.682782]]",POINT
الاحمر,"[[37.290022, 24.982653]]",POINT
الاخضر,"[[37.123597, 28.09865]]",POINT
الازنم,"[[36.019943, 27.042439]]",POINT
البدع,"[[35.00699, 28.504972]]",POINT
البديعة,"[[36.012304, 29.100165]]",POINT
البديعة,"[[36.549346, 27.796698]]",POINT
البغث,"[[37.524383, 25.093825]]",POINT
البيضاء,"[[36.814284, 27.583215]]",POINT
الجبعاوية,"[[38.643508, 28.282928]]",POINT
الجبنون,"[[37.301545, 24.97643]]",POINT
الجديد,"[[38.771975, 26.980598]]",POINT
الجهراء,"[[38.88555, 26.86846]]",POINT
الحرة,"[[37.236807, 25.242269]]",POINT
الحفيرة,"[[36.897433, 26.557667]]",POINT
الحلقات,"[[37.903347, 24.787109]]",POINT
الحميضة,"[[34.938433, 29.23537]]",POINT
الحيزا,"[[39.203618, 27.492471]]",POINT
الخريبة,"[[35.174682, 28.065627]]",POINT
الدقم,"[[37.266376, 25.076745]]",POINT
الدميغة,"[[36.216388, 26.644099]]",POINT
الديسة,"[[36.42487, 27.603171]]",POINT
الرص,"[[36.441371, 26.379869]]",POINT
الرويحا,"[[37.2264, 28.106804]]",POINT
الرويضات,"[[37.66315, 25.003788]]",POINT
الزغلية,"[[37.527859, 24.753892]]",POINT
الزيته,"[[35.477192, 28.860247]]",POINT
الساحله,"[[37.811658, 24.973426]]",POINT
السديد,"[[37.244296, 26.288631]]",POINT
السلمة,"[[36.266384, 27.068338]]",POINT
السيح,"[[36.302562, 26.511791]]",POINT
الشبحة,"[[37.732544, 24.809639]]",POINT
الشبعان,"[[37.234747, 24.7543]]",POINT
الشدخ,"[[37.608175, 24.711235]]",POINT
الشدخ القديم,"[[37.624204, 24.723895]]",POINT
