name,lon_lat,coor_type
شعيب ابا العجل,"[[35.269783, 28.613205]]",POINT
شعيب ابو حجاني,"[[36.922817, 25.947647]]",POINT
شعيب ابو رجوم,"[[37.194836, 25.745602]]",POINT
شعيب ابو رجوم,"[[37.194836, 25.745602]]",POINT
شعيب ابو سيالة,"[[37.292726, 25.682409]]",POINT
شعيب ارايام,"[[37.112439, 25.935459]]",POINT
شعيب اشجار,"[[34.787607, 28.210058]]",POINT
شعيب اشيعر,"[[37.179816, 25.696914]]",POINT
شعيب الأزبر,"[[37.730463, 25.062325]]",POINT
شعيب الاملح,"[[36.97968, 25.730903]]",POINT
شعيب البحر,"[[34.911332, 28.192141]]",POINT
شعيب البصير,"[[37.643731, 25.567482]]",POINT
شعيب الثميد,"[[37.281439, 29.593306]]",POINT
شعيب الحبال,"[[34.811039, 28.486798]]",POINT
شعيب الحراء,"[[37.649975, 25.496178]]",POINT
شعيب الحفير,"[[37.826292, 24.974906]]",POINT
شعيب الحفير,"[[37.946584, 24.871287]]",POINT
شعيب الحفير,"[[37.861655, 24.922636]]",POINT
شعيب الحنجور,"[[37.426407, 25.634537]]",POINT
شعيب الحنجور الاول,"[[37.401431, 25.72144]]",POINT
شعيب الحنك,"[[37.072012, 25.713201]]",POINT
شعيب الخريمات,"[[35.927331, 28.928611]]",POINT
شعيب الدمنة,"[[35.851929, 29.079781]]",POINT
شعيب الردة,"[[37.207089, 25.52433]]",POINT
شعيب الرمل,"[[34.972787, 28.219242]]",POINT
شعيب السديرة,"[[37.801809, 24.771831]]",POINT
شعيب السلاعو,"[[37.933817, 27.946429]]",POINT
شعيب السلع,"[[37.136643, 25.955973]]",POINT
شعيب السلوب,"[[37.559423, 25.332177]]",POINT
شعيب الشاقة,"[[37.537987, 25.121591]]",POINT
شعيب الصفحة,"[[37.573156, 24.882746]]",POINT
شعيب العويند,"[[37.434111, 25.093567]]",POINT
شعيب الغربان,"[[36.829412, 25.954793]]",POINT
شعيب الغصن,"[[37.724369, 25.585012]]",POINT
شعيب الغصن,"[[37.770824, 24.88384]]",POINT
شعيب الغصن,"[[37.884164, 24.873691]]",POINT
شعيب القف,"[[37.534404, 25.14086]]",POINT
شعيب المحرية,"[[37.339954, 25.492229]]",POINT
شعيب المخيط,"[[37.040405, 25.915031]]",POINT
شعيب المرزوقي,"[[37.200565, 25.787487]]",POINT
شعيب المطيردة,"[[37.378922, 25.005677]]",POINT
شعيب المطيردة,"[[37.606008, 25.024323]]",POINT
شعيب المعرص,"[[37.342529, 25.353527]]",POINT
شعيب المكون,"[[35.872529, 28.530099]]",POINT
شعيب المملحة,"[[37.628002, 25.099082]]",POINT
شعيب المنجور,"[[37.227001, 25.942154]]",POINT
شعيب النابع,"[[37.57865, 24.867082]]",POINT
شعيب ام جراد,"[[37.763958, 25.695477]]",POINT
شعيب ام جرفان,"[[37.251441, 29.696817]]",POINT
شعيب ام حنظل,"[[38.084965, 27.617526]]",POINT
شعيب ام حنظل,"[[38.14672, 27.653554]]",POINT
شعيب ام سرحة,"[[37.122288, 25.719166]]",POINT
شعيب ام سلمة,"[[37.173743, 25.554414]]",POINT
شعيب ام نتش,"[[37.441342, 25.345008]]",POINT
شعيب ام هشيم,"[[37.610343, 25.506005]]",POINT
شعيب ثرفي,"[[37.255561, 25.640953]]",POINT
شعيب جذع,"[[37.361326, 25.51064]]",POINT
شعيب جر,"[[37.567105, 25.584111]]",POINT
شعيب حظة,"[[37.573886, 24.778655]]",POINT
شعيب حنبق,"[[37.402332, 25.764742]]",POINT
شعيب ذهاب,"[[37.490029, 25.392451]]",POINT
شعيب رويطية,"[[36.902196, 25.787938]]",POINT
شعيب رويطية,"[[36.958952, 25.695455]]",POINT
شعيب ريم,"[[37.111387, 25.929601]]",POINT
شعيب سميلق,"[[36.894321, 25.80004]]",POINT
شعيب سيالة,"[[35.353532, 29.216423]]",POINT
شعيب شطين الابيض,"[[37.172821, 25.884991]]",POINT
شعيب شعوان,"[[37.284164, 25.706055]]",POINT
شعيب غظى,"[[37.294571, 29.709499]]",POINT
شعيب كلوة,"[[37.580431, 29.788506]]",POINT
شعيب لاكوس,"[[35.375097, 28.692555]]",POINT
شعيب محسر,"[[37.602897, 24.845066]]",POINT
شعيب مرار,"[[37.409091, 24.719367]]",POINT
شعيب مرطبة,"[[37.585688, 24.988232]]",POINT
شعيب مريخ,"[[37.389028, 24.703832]]",POINT
شعيب مريخ الشمالي,"[[37.343323, 24.68688]]",POINT
شعيب مريخ الطولاء,"[[37.292147, 25.780792]]",POINT
شعيب مريخ الطولاء,"[[37.318411, 25.790341]]",POINT
شعيب مقرح الفحم,"[[37.637873, 25.601621]]",POINT
