name,lon_lat,coor_type
غار الامير,"[[35.947866, 28.07539]]",POINT
غار البنات,"[[38.335032, 26.994782]]",POINT
غار السواقين,"[[35.788565, 28.37039]]",POINT
غار المضلمة,"[[35.544891, 29.016223]]",POINT
غار المقتل,"[[38.039346, 26.886613]]",POINT
غار حفرة الطبيق,"[[37.959545, 29.420528]]",POINT
غار حلوان,"[[39.26048, 28.422189]]",POINT
غار رقبة المريشدية,"[[37.490909, 29.874766]]",POINT
غار صدار,"[[37.838094, 29.03929]]",POINT
غار ضم,"[[36.255977, 28.584688]]",POINT
غار نزال,"[[35.936108, 27.841394]]",POINT
غارابودورين,"[[37.544746, 29.84818]]",POINT
طور الهريمه,"[[37.188871, 26.394589]]",POINT
ضلع ابو طربوش,"[[37.399521, 24.951475]]",POINT
ضلع القرين,"[[35.466957, 29.035664]]",POINT
ضلعان ابا القشع,"[[37.599678, 25.78989]]",POINT
ضلعان ام شداد,"[[37.563458, 24.778461]]",POINT
ضلعان تبقرة,"[[36.904106, 25.955029]]",POINT
ضليع الحصان,"[[39.291401, 27.236094]]",POINT
ضليع ذروة,"[[39.669807, 27.327676]]",POINT
ضليعة الحصانة,"[[39.296186, 27.250299]]",POINT
هضاب اذنة,"[[35.619071, 28.692684]]",POINT
هضاب الاميغر,"[[38.524804, 27.022634]]",POINT
هضاب الشرح,"[[38.436699, 27.097328]]",POINT
هضاب الضبعة,"[[38.113997, 28.854797]]",POINT
هضاب ام حصية,"[[35.638189, 28.767464]]",POINT
هضاب رايس,"[[36.529927, 28.296018]]",POINT
هضبة الاخيرام,"[[35.978787, 28.02784]]",POINT
هضبة الجش,"[[36.478, 27.107627]]",POINT
هضبة السبق,"[[38.262913, 26.857238]]",POINT
هضبة الشغور,"[[38.113632, 26.898308]]",POINT
هضبة المرقبة,"[[38.224998, 26.825008]]",POINT
هضبة ام غضاة,"[[35.715072, 28.488085]]",POINT
هضبة ام غضية,"[[38.221951, 26.93294]]",POINT
هضبة عنترة,"[[35.497556, 28.991868]]",POINT
هضيبات المقيرح,"[[35.393035, 28.15444]]",POINT
جبال ابا الركي,"[[35.803585, 27.403765]]",POINT
جبال ابا المرير,"[[36.256492, 28.517482]]",POINT
جبال ابا مغير,"[[39.352856, 27.19614]]",POINT
جبال ابو تكيه,"[[36.327989, 28.875632]]",POINT
جبال ابو جرمة,"[[37.087784, 26.028843]]",POINT
جبال ابو جهور,"[[37.002597, 26.533699]]",POINT
جبال ابو حنضل,"[[37.484193, 29.761491]]",POINT
جبال ابو خشيبة,"[[37.753465, 27.596304]]",POINT
جبال ابو ذرو,"[[37.565174, 25.816154]]",POINT
جبال ابو رجوم,"[[35.237532, 28.863144]]",POINT
جبال ابو شارب,"[[37.252107, 29.763401]]",POINT
جبال ابو طرفاة,"[[37.46501, 27.59285]]",POINT
جبال ابو طلحة,"[[35.756207, 28.824005]]",POINT
جبال ابو كباث,"[[35.109987, 29.295216]]",POINT
جبال اغلب,"[[37.230842, 26.240737]]",POINT
جبال اقره,"[[35.097435, 29.219191]]",POINT
جبال اكباد,"[[39.152312, 27.192321]]",POINT
جبال الابرق,"[[37.431793, 27.515945]]",POINT
جبال الابيرق,"[[35.297227, 29.205308]]",POINT
جبال الارة,"[[37.506809, 24.989777]]",POINT
جبال الازبر,"[[37.824726, 25.091057]]",POINT
جبال الاصابع,"[[39.579728, 26.977766]]",POINT
جبال البكرات,"[[39.609296, 27.085397]]",POINT
جبال البوانه,"[[37.328217, 24.734259]]",POINT
جبال البويب,"[[36.456564, 29.334848]]",POINT
جبال التنضبية,"[[37.345276, 25.400734]]",POINT
جبال الثامري,"[[35.794659, 28.808212]]",POINT
جبال الثايات,"[[36.816366, 29.158037]]",POINT
جبال الجبية,"[[37.061348, 26.13184]]",POINT
جبال الجدرية,"[[36.000052, 28.836365]]",POINT
جبال الجليب,"[[37.677376, 25.525596]]",POINT
جبال الجليدان,"[[36.737251, 26.541424]]",POINT
جبال الحريز,"[[37.848673, 27.545021]]",POINT
جبال الحشاء,"[[37.677956, 24.728851]]",POINT
جبال الحلا,"[[37.175095, 27.783179]]",POINT
جبال الحمامي,"[[35.055571, 28.758881]]",POINT
جبال الحمدي,"[[35.946343, 27.496612]]",POINT
جبال الحمراء الشمالية,"[[37.671604, 25.085392]]",POINT
جبال الحمرة,"[[35.228627, 28.592134]]",POINT
جبال الحنوين,"[[37.281032, 27.50747]]",POINT
جبال الحوصاء,"[[37.573693, 29.899549]]",POINT
جبال الخراص,"[[37.76031, 24.752777]]",POINT
جبال الخرج,"[[35.427818, 28.93816]]",POINT
جبال الخريمات,"[[35.851736, 28.925972]]",POINT
جبال الخشة,"[[36.378758, 29.341865]]",POINT
جبال الخشوة,"[[36.521065, 29.205887]]",POINT
جبال الخضرا,"[[37.353108, 27.642417]]",POINT
جبال الخطباء,"[[37.557256, 25.362518]]",POINT
جبال الخلصه,"[[35.674796, 27.777793]]",POINT
جبال الخلل,"[[39.66676, 27.077844]]",POINT
جبال الخميلة,"[[37.263265, 27.817469]]",POINT
جبال الخنافرية,"[[38.707795, 28.168087]]",POINT
جبال الخنذوة,"[[39.846103, 27.13917]]",POINT
جبال الدرع,"[[37.355275, 27.7302]]",POINT
جبال الدغش,"[[38.409083, 27.330723]]",POINT
جبال الدويخلات,"[[37.07963, 29.400616]]",POINT
جبال الراية,"[[37.659588, 25.421677]]",POINT
جبال الربا,"[[38.687046, 27.583623]]",POINT
جبال الرديدات,"[[34.919894, 28.48845]]",POINT
جبال الرشي,"[[38.03484, 24.764214]]",POINT
جبال الرضيم,"[[37.617981, 27.83251]]",POINT
جبال الركب,"[[38.045826, 26.883159]]",POINT
جبال الزبنة,"[[39.535332, 27.049863]]",POINT
جبال الزعوبية,"[[37.590559, 29.693985]]",POINT
جبال الزيدانية,"[[36.764309, 29.5735]]",POINT
جبال الستار,"[[36.732359, 26.097379]]",POINT
جبال السعلوة,"[[36.056228, 27.450435]]",POINT
جبال البيضاء,"[[36.578786, 26.415038]]",POINT
جبال الشاغور,"[[38.145432, 26.906741]]",POINT
جبال الشطيات,"[[37.308283, 29.575646]]",POINT
جبال الشعيب,"[[37.692032, 25.242805]]",POINT
جبال الشقيق,"[[37.016373, 28.276513]]",POINT
جبال الشكاعة,"[[36.190231, 28.371549]]",POINT
جبال الشليلات,"[[39.243851, 27.19408]]",POINT
جبال الشمراخ,"[[35.216203, 28.845162]]",POINT
جبال الشهباء,"[[37.232537, 29.363666]]",POINT
جبال الشياطي,"[[35.600574, 28.189201]]",POINT
جبال الصفراء,"[[37.232151, 26.105404]]",POINT
جبال الصفيراء,"[[37.426472, 25.137062]]",POINT
جبال الصلب,"[[35.828733, 28.452938]]",POINT
جبال الصلع,"[[35.500495, 28.246686]]",POINT
جبال الصليطيات,"[[36.620028, 28.13957]]",POINT
جبال الصماخ,"[[35.511138, 28.143561]]",POINT
جبال الصواوين,"[[35.91186, 27.926517]]",POINT
جبال الضبيبيات,"[[39.812994, 27.311754]]",POINT
جبال الضبيعان,"[[37.065103, 29.780867]]",POINT
جبال الطبيق,"[[37.322359, 29.426558]]",POINT
جبال الطبيق,"[[37.516873, 29.491403]]",POINT
جبال الطخم,"[[37.097633, 29.147158]]",POINT
جبال العاقر,"[[37.5314, 28.925929]]",POINT
جبال العذيب,"[[35.571992, 27.751915]]",POINT
جبال العرنيات,"[[37.52434, 27.611132]]",POINT
جبال العرنيات,"[[37.577147, 27.532575]]",POINT
جبال العرينات,"[[37.577147, 27.532575]]",POINT
جبال العصافير,"[[36.55014, 28.062537]]",POINT
جبال العضاميات,"[[39.439931, 27.122347]]",POINT
جبال العكمية,"[[35.768673, 28.570955]]",POINT
جبال العميدات,"[[39.082146, 27.09338]]",POINT
جبال الغويل,"[[36.360669, 28.361056]]",POINT
جبال الغياية,"[[37.913303, 24.836311]]",POINT
جبال الفرول,"[[37.636886, 28.009279]]",POINT
جبال الفصفصيات,"[[37.123897, 29.854231]]",POINT
جبال الفقشة,"[[37.746792, 24.94978]]",POINT
جبال الفيهيه,"[[37.099865, 29.575067]]",POINT
جبال القرية,"[[35.994301, 28.767142]]",POINT
جبال القليته,"[[36.035585, 27.015982]]",POINT
جبال اللبدة,"[[37.726085, 28.143518]]",POINT
جبال اللحاوي,"[[36.612968, 29.318497]]",POINT
جبال اللمة,"[[37.465525, 28.139076]]",POINT
جبال المجرمة,"[[37.823524, 24.693832]]",POINT
جبال المجوخ,"[[36.695023, 29.202003]]",POINT
جبال المجيرمة,"[[37.608948, 24.809875]]",POINT
جبال المحاش,"[[35.517597, 29.05019]]",POINT
جبال المحجة,"[[39.495678, 27.018256]]",POINT
جبال المحشر,"[[36.828446, 29.851806]]",POINT
جبال المدافع,"[[37.139089, 28.856192]]",POINT
جبال المدرباء,"[[36.034555, 28.444226]]",POINT
جبال المديثن,"[[35.27343, 29.236958]]",POINT
جبال المرة,"[[35.145349, 28.43678]]",POINT
جبال المرشا,"[[35.699172, 28.839841]]",POINT
جبال المريشدية,"[[37.380509, 29.816294]]",POINT
جبال المعرص,"[[37.426472, 25.368633]]",POINT
جبال المعقد,"[[37.598476, 25.530338]]",POINT
جبال المغر,"[[36.310372, 27.631559]]",POINT
جبال المغروين,"[[38.494871, 28.729742]]",POINT
جبال المفاحيم,"[[35.70194, 28.549132]]",POINT
جبال المكيمن,"[[36.08556, 28.02417]]",POINT
جبال الملاحة,"[[37.608433, 25.688782]]",POINT
جبال الملحية,"[[39.845502, 27.231567]]",POINT
جبال المليحة,"[[37.378814, 24.853671]]",POINT
جبال المنادير,"[[35.786419, 28.637409]]",POINT
جبال النتقة,"[[35.480003, 29.157543]]",POINT
جبال النصع,"[[37.366905, 25.383911]]",POINT
جبال النعيجات,"[[35.360012, 28.786755]]",POINT
جبال النقواء,"[[35.221825, 28.933353]]",POINT
جبال النقوى,"[[37.378922, 25.986786]]",POINT
جبال النمرة,"[[37.703533, 25.162468]]",POINT
جبال الهضيب,"[[37.536507, 25.758476]]",POINT
جبال الهقب,"[[34.908435, 28.565891]]",POINT
جبال الهند,"[[37.290773, 27.595854]]",POINT
جبال الهواره,"[[35.16773, 29.086347]]",POINT
جبال الوجية,"[[35.372801, 29.058752]]",POINT
جبال الورقة,"[[34.908264, 28.621316]]",POINT
جبال الوظام,"[[36.132596, 28.717468]]",POINT
جبال ام ارطى,"[[37.880366, 27.593172]]",POINT
جبال ام الريلان,"[[37.760696, 25.653248]]",POINT
جبال ام جبا,"[[36.070132, 28.502076]]",POINT
جبال ام جرفان,"[[37.93931, 27.862422]]",POINT
جبال ام جرفين,"[[37.552128, 25.226498]]",POINT
جبال ام خناصر,"[[39.380257, 27.08853]]",POINT
جبال ام دريمة,"[[35.334349, 29.156406]]",POINT
جبال ام رجام,"[[36.991889, 29.445248]]",POINT
جبال ام سدرة,"[[37.289143, 25.8601]]",POINT
جبال ام شطان,"[[35.837145, 28.556685]]",POINT
جبال ام عريقيب,"[[35.826502, 28.495703]]",POINT
جبال ام قريات,"[[36.612904, 26.217155]]",POINT
جبال ام كور,"[[38.54888, 29.019721]]",POINT
جبال ام لبن,"[[36.980925, 29.60912]]",POINT
جبال ام نطاق,"[[37.022381, 26.230545]]",POINT
جبال اوفاد,"[[38.29761, 28.762207]]",POINT
جبال بروزان,"[[37.035706, 26.649721]]",POINT
جبال بغيث الاحمر,"[[38.415434, 28.384294]]",POINT
جبال بغيث الاسمر,"[[38.416164, 28.284431]]",POINT
جبال تربان,"[[35.598643, 28.109207]]",POINT
جبال تيسر والرميلة,"[[36.788106, 27.366621]]",POINT
جبال جدعان الاسمر,"[[36.909149, 29.201059]]",POINT
جبال جعلة,"[[38.263793, 29.562063]]",POINT
جبال حصيدات,"[[35.555255, 28.986268]]",POINT
جبال حوصل,"[[35.893042, 28.587563]]",POINT
جبال خشوب الجنوبي,"[[37.304764, 25.988502]]",POINT
جبال خشوب الشمالي,"[[37.209513, 26.042769]]",POINT
جبال خشيرمة,"[[35.061171, 28.685818]]",POINT
جبال خويمات,"[[38.041191, 27.763653]]",POINT
جبال دابس,"[[37.236743, 29.197476]]",POINT
جبال دخان,"[[36.583571, 27.904136]]",POINT
جبال دغداش,"[[36.84072, 28.999636]]",POINT
جبال ذريعات,"[[39.487803, 26.958818]]",POINT
جبال رايس,"[[36.527631, 28.234584]]",POINT
جبال سدير,"[[35.910316, 28.839819]]",POINT
جبال سرمدا,"[[38.265188, 27.295575]]",POINT
جبال سعداء,"[[35.472965, 28.334942]]",POINT
جبال شار,"[[35.73786, 27.658381]]",POINT
جبال شبيرم,"[[37.585602, 25.446224]]",POINT
جبال شرعان,"[[38.252935, 26.875649]]",POINT
جبال شرورا,"[[36.544712, 28.73208]]",POINT
جبال شريف عطية,"[[36.855247, 29.437909]]",POINT
جبال شطين,"[[37.220135, 25.853405]]",POINT
جبال شويحطة,"[[37.75795, 25.348377]]",POINT
جبال شيهوب,"[[37.382977, 26.110961]]",POINT
جبال صبح,"[[39.499991, 27.066665]]",POINT
جبال صربوط الرخمة,"[[38.040912, 28.873658]]",POINT
جبال صرمداء,"[[36.970711, 29.389865]]",POINT
جبال ضريبان,"[[37.090874, 26.570091]]",POINT
جبال طافور,"[[37.700915, 29.698212]]",POINT
جبال طليح,"[[35.970612, 27.455606]]",POINT
جبال طليح,"[[36.10043, 27.454641]]",POINT
جبال طمم,"[[37.179601, 26.189647]]",POINT
جبال ظفير,"[[37.249231, 28.519628]]",POINT
جبال عاجات,"[[36.379187, 28.779974]]",POINT
جبال عاصمة,"[[37.708147, 25.333335]]",POINT
جبال عاقر,"[[39.438686, 27.027054]]",POINT
جبال عبدين,"[[34.812219, 28.44223]]",POINT
جبال عرنان,"[[39.690835, 27.228498]]",POINT
جبال عميدين,"[[37.018991, 27.847445]]",POINT
جبال عنز,"[[36.800423, 29.3836]]",POINT
جبال غرب,"[[38.534718, 28.180768]]",POINT
جبال غطي,"[[37.558801, 29.595473]]",POINT
جبال غلالة,"[[38.315549, 27.016346]]",POINT
جبال غوانم,"[[36.833468, 28.503084]]",POINT
جبال غوانم,"[[36.763022, 28.537395]]",POINT
جبال قراقر,"[[36.48433, 27.618427]]",POINT
جبال قرض,"[[37.777176, 25.14925]]",POINT
جبال قرقاع,"[[38.606365, 28.873701]]",POINT
جبال قرية,"[[37.60133, 29.624805]]",POINT
جبال قريح,"[[37.53685, 26.021118]]",POINT
جبال قميلان,"[[37.898197, 24.921799]]",POINT
جبال قي,"[[36.350069, 26.983538]]",POINT
جبال مرخ,"[[37.694435, 25.718136]]",POINT
جبال مسيهيج,"[[35.029049, 29.055405]]",POINT
جبال مغطية,"[[37.137394, 26.160336]]",POINT
جبال مغيزلات,"[[34.873352, 28.429914]]",POINT
جبال مقبل,"[[37.671089, 27.689281]]",POINT
جبال ملح,"[[37.581997, 25.735645]]",POINT
جبال ملكا,"[[36.482205, 27.554076]]",POINT
جبال نتيش,"[[34.863331, 28.472228]]",POINT
جبال نقحة,"[[37.041779, 26.454391]]",POINT
جبال هيوم,"[[35.877786, 28.296297]]",POINT
جبال واردات,"[[36.3202, 28.92168]]",POINT
جبال وضوء,"[[36.545763, 25.764399]]",POINT
جبل ابا البارد,"[[35.895145, 28.433883]]",POINT
جبل ابا البيبان,"[[35.673401, 28.593206]]",POINT
جبل ابا الحار,"[[37.479858, 26.049614]]",POINT
جبل ابا الذئاب,"[[37.47797, 25.984726]]",POINT
جبل ابا الشنان,"[[36.235485, 27.605724]]",POINT
جبل ابا الكور,"[[36.021917, 28.113585]]",POINT
جبل ابن عساف,"[[36.32226, 28.144162]]",POINT
جبل ابو اذنين,"[[36.617475, 27.515216]]",POINT
جبل ابو بريدة,"[[36.850204, 26.452675]]",POINT
جبل ابو تينة,"[[36.617775, 27.282829]]",POINT
جبل ابو حلافي,"[[36.578465, 27.217598]]",POINT
جبل ابو خرق,"[[35.796697, 28.321896]]",POINT
جبل ابو خشبة,"[[35.536587, 28.632002]]",POINT
جبل ابو رمانه,"[[34.907641, 28.822396]]",POINT
جبل ابو زرابه,"[[35.311496, 29.063044]]",POINT
جبل ابو زكيرة,"[[35.480862, 29.081326]]",POINT
جبل ابو صنة,"[[37.202797, 26.384354]]",POINT
جبل ابو صيخ,"[[38.402796, 26.794024]]",POINT
جبل ابو ضبعة,"[[36.070347, 26.98946]]",POINT
جبل ابو طينة,"[[37.124047, 28.355091]]",POINT
جبل ابو عواتق,"[[36.70721, 27.023792]]",POINT
جبل ابو لحم,"[[35.267487, 28.464375]]",POINT
جبل ابو لحية,"[[35.697327, 28.657837]]",POINT
جبل ابو مراكب,"[[35.49571, 28.038933]]",POINT
جبل ابوقرون,"[[35.155048, 29.293671]]",POINT
جبل اديرع,"[[37.518182, 28.077664]]",POINT
