name,lon_lat,coor_type
مفرق الأخضر,"[[37.192626, 28.183086]]",POINT
مفرق البديعة,"[[36.40337, 28.348632]]",POINT
مفرق الديسة,"[[35.968294, 27.572808]]",POINT
مفرق الديسه,"[[36.356871, 27.42842]]",POINT
مفرق الديسه,"[[36.619041, 27.718999]]",POINT
مفرق جبل اللوز,"[[35.375977, 28.875589]]",POINT
مفرق جبل مخروقة,"[[35.432625, 29.04886]]",POINT
مفرق حصاة الامير,"[[35.976791, 28.071935]]",POINT
مفرق شرمة,"[[36.367278, 28.333311]]",POINT
مفرق شق سد الفراشة,"[[36.051228, 27.82264]]",POINT
مفرق طريق المعظم,"[[37.06461, 28.413112]]",POINT
مفرق علقان,"[[35.477793, 28.866127]]",POINT
,"[[35.432625, 29.04886], [35.432646, 29.04959], [35.432754, 29.050255], [35.433118, 29.051027], [35.433397, 29.051821], [35.433462, 29.052401], [35.433762, 29.05313], [35.434363, 29.054697], [35.434685, 29.056005], [35.434964, 29.057229], [35.434985, 29.058387], [35.435264, 29.06019], [35.435543, 29.061542], [35.435972, 29.062378], [35.43653, 29.063172], [35.437324, 29.063816], [35.438569, 29.064288], [35.439534, 29.064395], [35.441036, 29.063795], [35.44198, 29.063129], [35.442796, 29.062636], [35.443804, 29.0624], [35.445027, 29.0624], [35.446851, 29.063022], [35.447881, 29.063344], [35.44919, 29.063451], [35.450327, 29.063344], [35.451336, 29.063408], [35.452881, 29.06373], [35.454297, 29.064503], [35.455499, 29.06534], [35.456421, 29.066412], [35.45685, 29.067335], [35.45743, 29.067957], [35.458117, 29.068644], [35.459082, 29.06903], [35.459769, 29.069438], [35.460541, 29.070039], [35.46155, 29.070876], [35.462515, 29.071949]]",LINESTRING
ردمية مارد حلوان,"[[39.119246, 27.296948], [39.120834, 27.299502], [39.122422, 27.301669], [39.12298, 27.302334], [39.124889, 27.304223], [39.125254, 27.304738], [39.125404, 27.305295], [39.125297, 27.307184], [39.125104, 27.311969], [39.125104, 27.312398], [39.12519, 27.313428], [39.125125, 27.315702], [39.124954, 27.318599], [39.124696, 27.320766], [39.124546, 27.322569], [39.124417, 27.323556], [39.124396, 27.324586], [39.124267, 27.325873], [39.123817, 27.328191], [39.121692, 27.336173], [39.120426, 27.339499], [39.120448, 27.339628], [39.120555, 27.339735], [39.12255, 27.34055], [39.122765, 27.340765], [39.123559, 27.343512], [39.123731, 27.344456], [39.123795, 27.34555], [39.123688, 27.346001], [39.123259, 27.346988], [39.122808, 27.347696]]",LINESTRING
