name,lon_lat,coor_type
مورد مياه البلي,"[[38.093634, 26.975727]]",POINT
نبع ماء,"[[37.495286, 24.901671]]",POINT
عين الجعيب,"[[35.276864, 28.91844]]",POINT
عين الديسة,"[[36.55808, 27.635465]]",POINT
عين الغبيه,"[[37.218225, 26.402786]]",POINT
عين صحين,"[[36.377106, 27.651966]]",POINT
عين موسى,"[[34.750829, 28.396289]]",POINT
ماء سبيل,"[[36.597369, 27.637997]]",POINT
مارد ماء,"[[35.783093, 28.382428]]",POINT
مارد ماء,"[[36.478536, 26.299789]]",POINT
بركة سبيل,"[[37.06624, 25.914431]]",POINT
بير ابو طرفاة,"[[36.375754, 27.177129]]",POINT
بير مرشة,"[[34.837346, 28.853295]]",POINT
بئر ابالعجاج,"[[36.316638, 27.446337]]",POINT
بئر ابن غنيم,"[[37.509963, 25.673161]]",POINT
بئر ابن غنيم2,"[[37.499428, 25.667496]]",POINT
بئر ابن موسة,"[[35.786161, 28.287048]]",POINT
بئر ابو دومة,"[[36.936979, 26.233313]]",POINT
بئر ابو طينة,"[[36.41367, 27.210774]]",POINT
بئر البديع,"[[36.300673, 27.417927]]",POINT
بئر الثغرة,"[[36.297433, 27.098207]]",POINT
بئر الحصانة,"[[39.283161, 27.244549]]",POINT
بئر الحمضة,"[[34.924164, 28.466263]]",POINT
بئر الخريطة,"[[35.993164, 27.774038]]",POINT
بئر الرص,"[[36.477892, 26.382229]]",POINT
بئر الرويثية,"[[35.876005, 27.368617]]",POINT
بئر الزرب,"[[35.530837, 28.077106]]",POINT
بئر الزريب,"[[36.54572, 26.253741]]",POINT
بئر السدره,"[[35.219808, 28.402255]]",POINT
بئر العباسيه,"[[39.878933, 27.181335]]",POINT
بئر العبدين,"[[36.263466, 27.045186]]",POINT
بئر العويند,"[[36.249111, 28.162937]]",POINT
بئر العيينة,"[[36.107361, 28.937259]]",POINT
بئر الغمارية,"[[38.158672, 28.117962]]",POINT
بئر القصير,"[[36.759996, 25.950007]]",POINT
بئر القطار,"[[35.513091, 28.872178]]",POINT
بئر المرزوقي,"[[37.206445, 25.806928]]",POINT
بئر المغاطية,"[[36.275826, 28.984573]]",POINT
بئر النجيلة,"[[35.58697, 28.896983]]",POINT
بئر الوحيدي,"[[37.32693, 25.070608]]",POINT
بئر ام خشاشه,"[[37.231464, 26.397486]]",POINT
بئر بارود,"[[38.399727, 29.065039]]",POINT
بئر بحار,"[[36.784909, 27.08617]]",POINT
بئر تريم,"[[35.391727, 27.897999]]",POINT
بئر ثرف,"[[35.495517, 29.007211]]",POINT
بئر ثرفي,"[[37.209535, 25.651574]]",POINT
بئر جديد,"[[35.115931, 29.141171]]",POINT
بئر حدجان,"[[38.68211, 28.923011]]",POINT
بئر حرامل,"[[36.415429, 26.431539]]",POINT
بئر حزابا,"[[39.504948, 27.181292]]",POINT
بئر رزيقان,"[[35.902569, 27.1452]]",POINT
بئر رمانة,"[[34.927619, 28.777785]]",POINT
بئر روزة,"[[39.616013, 27.507663]]",POINT
بئر سحوب,"[[36.83439, 26.759541]]",POINT
بئر سمحة,"[[39.633758, 27.474511]]",POINT
بئر شعيب,"[[35.022676, 28.518856]]",POINT
بئر صدر,"[[35.776141, 27.90787]]",POINT
بئر عشيران,"[[36.05464, 27.21468]]",POINT
بئر عكوز,"[[36.496518, 26.505096]]",POINT
بئر علي,"[[35.354068, 29.219685]]",POINT
بئر فجر,"[[37.867277, 28.82967]]",POINT
بئر فرحا,"[[39.618416, 27.613986]]",POINT
بئر فشيغ,"[[36.706352, 26.172459]]",POINT
بئر ماء,"[[36.99234, 25.906491]]",POINT
بئر مرشة,"[[34.84726, 28.874474]]",POINT
بئر مليح,"[[35.400481, 29.154561]]",POINT
بئر موسى,"[[35.018899, 28.485425]]",POINT
بئر نجيل,"[[35.595725, 27.68014]]",POINT
بئر نعمي,"[[35.685461, 28.205402]]",POINT
بئر نهيش,"[[37.785287, 25.035782]]",POINT
بئر هداج,"[[36.366656, 27.118871]]",POINT
بئر هداج تيماء,"[[38.553429, 27.634778]]",POINT
بترا النفود,"[[38.878534, 27.575512]]",POINT
ارتواز بريرة,"[[35.789294, 28.344812]]",POINT
ابار ابا العجاج,"[[36.95936, 26.127334]]",POINT
ابار ابيط,"[[39.165959, 27.943704]]",POINT
ابار ابيط,"[[39.267883, 28.050413]]",POINT
ابار البدع,"[[36.525571, 27.86401]]",POINT
ابار الحصانة,"[[39.319897, 27.236953]]",POINT
ابار الخنبرة,"[[36.241386, 27.841372]]",POINT
ابار الرصيفان,"[[37.013755, 26.744649]]",POINT
ابار الزبيرة,"[[37.266247, 26.032898]]",POINT
ابار المدمي,"[[36.745212, 27.292378]]",POINT
ابار المدمي,"[[36.732252, 27.318621]]",POINT
ابار المشاش,"[[39.285629, 28.013012]]",POINT
ابار بوة,"[[38.453543, 26.917984]]",POINT
ابار دمج,"[[36.39498, 28.393114]]",POINT
ابار سلمى,"[[35.822661, 27.321689]]",POINT
ابار سمين,"[[37.449818, 25.159078]]",POINT
ابار عبيان,"[[39.570072, 27.587078]]",POINT
ابار عردة,"[[38.474293, 26.997528]]",POINT
ابار مليح,"[[39.297709, 28.125579]]",POINT
قليب القواد,"[[39.14453000000003, 27.07779]]",POINT
