name,lon_lat,coor_type
قصر أبو طقيقة,"[[35.221546, 27.994108]]",POINT
طائرة محطمة,"[[34.608586, 28.090861]]",POINT
قبر الأبناسي,"[[35.188608, 28.090839]]",POINT
قبر الكفافي,"[[35.744727, 27.324994]]",POINT
قبر جازي,"[[37.886353, 29.422224]]",POINT
قبور التوايهة,"[[37.433681, 29.309571]]",POINT
قلعة أضر,"[[37.12894, 28.092084]]",POINT
قلعة الاخضر القديمة,"[[37.125957, 28.09159]]",POINT
قلعة الازنم,"[[36.019492, 27.039735]]",POINT
قلعة الزريب,"[[36.54572, 26.252518]]",POINT
قلعة المعظم,"[[37.508891, 27.740929]]",POINT
قلعة الملك عبدالعزيز,"[[35.696061, 27.348254]]",POINT
قلعة المويلح,"[[35.474145, 27.681727]]",POINT
قلعة حرب,"[[38.832228, 28.968608]]",POINT
نقوش ابا اللميح,"[[38.495965, 27.123098]]",POINT
نقوش الديسه,"[[36.43384, 27.621174]]",POINT
القلعة العثمانية,"[[37.128232, 28.092942]]",POINT
اثار,"[[35.231266, 28.03771]]",POINT
اثار قوم موسى,"[[35.323684, 28.599386]]",POINT
اثار مدائن شعيب,"[[34.99963, 28.487635]]",POINT
آثار,"[[35.400696, 28.629234]]",POINT
آثار,"[[35.378251, 28.661399]]",POINT
