name,lon_lat,coor_type
كثبان رملية,"[[39.690449, 27.969089]]",POINT
خب البويت,"[[39.083884, 27.860727]]",POINT
طعس الايداء,"[[38.270895, 28.956592]]",POINT
طعس الجريعة,"[[39.479392, 27.376986]]",POINT
طعس الريع,"[[39.178791, 27.82073]]",POINT
طعس الشيخ,"[[39.426177, 27.946601]]",POINT
طعس الشيخة,"[[39.449995, 27.973723]]",POINT
طعس الغضاة,"[[39.431026, 27.40576]]",POINT
طعس المريشدية,"[[37.421215, 29.772885]]",POINT
طعس الوحيد,"[[39.523358, 27.897141]]",POINT
طعس ام مراظيف,"[[37.292061, 29.700572]]",POINT
طعس حزم عليان,"[[37.277126, 29.750183]]",POINT
طعس حمدان,"[[39.383969, 27.72505]]",POINT
طعس صبيح,"[[39.226599, 27.857723]]",POINT
طعس عرقان,"[[39.787159, 27.68604]]",POINT
طعوس الحيزا,"[[39.264042, 27.484725]]",POINT
طعوس الرمة,"[[39.441283, 27.718205]]",POINT
طعوس العرقانة,"[[36.977341, 28.335264]]",POINT
طعوس الغريزية,"[[39.834194, 27.848325]]",POINT
طعوس المريرا,"[[39.127615, 27.92922]]",POINT
طعوس المعقر,"[[36.672192, 29.252687]]",POINT
طعوس ام خبوب,"[[39.545717, 28.027625]]",POINT
طعوس خب القعود,"[[39.864986, 27.906754]]",POINT
طعيس مشهي,"[[39.277883, 27.444599]]",POINT
نازية السادة,"[[39.115942, 27.582099]]",POINT
نازية الغريري,"[[39.78467, 27.79393]]",POINT
نازية الفحيثة,"[[39.538872, 27.609587]]",POINT
نازية المظيهير,"[[39.534667, 27.555406]]",POINT
نازية المناخ,"[[39.771152, 28.118262]]",POINT
نازية الهربيدية,"[[39.777546, 27.758954]]",POINT
نازية سودان,"[[39.679699, 27.660077]]",POINT
نازية ضبعة,"[[39.183469, 27.452581]]",POINT
نازية مويضي,"[[39.695706, 27.579503]]",POINT
نفود الحنان,"[[35.428269, 28.036165]]",POINT
نفود الرشيدان,"[[38.065031, 29.318562]]",POINT
نوازي الحيزا,"[[39.183941, 27.557788]]",POINT
نوازي الدفافيات,"[[39.102509, 27.414536]]",POINT
نوازي الندح,"[[39.713109, 27.83839]]",POINT
نوازي امهات كراث,"[[39.456325, 27.787085]]",POINT
نوازي سرمدا,"[[39.466496, 27.679667]]",POINT
نوازي سمران,"[[39.886186, 27.60993]]",POINT
نوازي عرازم,"[[39.456496, 27.532468]]",POINT
ابرق ابن سمراء,"[[38.525104, 27.436123]]",POINT
ابرق العشار,"[[39.46892, 28.592455]]",POINT
ابرق المعادي,"[[37.875431, 29.309936]]",POINT
ابرق جمعان,"[[38.375545, 27.6404]]",POINT
ابرق حمراء,"[[38.45438, 27.802963]]",POINT
ابرق دمعة,"[[35.937052, 29.05004]]",POINT
ابرق زهيمه,"[[39.166088, 28.52437]]",POINT
برق البقر,"[[37.031972, 28.621981]]",POINT
برق سلمان,"[[38.102431, 27.457623]]",POINT
برق عناز,"[[37.28219, 28.720729]]",POINT
برقا الجويعدية,"[[36.125836, 28.226345]]",POINT
برقا القناص,"[[37.006545, 29.769258]]",POINT
برقا ام قزوحة,"[[37.062807, 29.13924]]",POINT
برقا نخلة,"[[35.579932, 28.022926]]",POINT
برقاء الرماحيه,"[[38.10329, 26.872301]]",POINT
برقاء الضبيعان,"[[37.057228, 29.832516]]",POINT
برقاء المهدره,"[[36.435106, 27.50423]]",POINT
برقاء دمج,"[[36.384487, 28.399487]]",POINT
برقاء سمحان,"[[36.397898, 28.293936]]",POINT
برقاء سميحان,"[[36.406395, 28.312068]]",POINT
برقاء عيد,"[[36.108456, 28.132553]]",POINT
برقاء مهنا,"[[36.393242, 28.463516]]",POINT
