branch_national_short_address,building_number,street,district,city,postal_code,latitude,longitude
OMDA7186,7186.0,سلمان بن عبدالعزيز,حي نواره,المزاحمية,19655.0,24.45930088,46.29706185
RMFB2777,2777.0,طريق رياض الخرج,حي المصفاة,الرياض,14571.0,24.45378386,46.98731005
RKDB4083,4083.0,ضرية,حي ديراب,الرياض,14969.0,24.50423990,46.63242870
RKAA4158,4158.0,نجم الدين الايوبي الفرعي,حي العوالي,الرياض,14924.0,24.55279982,46.63489713
RNSA9369,9369.0,محمد أبي نقطة,المدينة الصناعية الثانية,الرياض,14334.0,24.55891985,46.89328559
RKQA3601,3601.0,نجم الدين الايوبي,حي طويق,الرياض,14931.0,24.55431896,46.51235312
RIZA6695,6695.0,حمزة بن عبدالمطلب,حي الزهرة,الرياض,12987.0,24.56743836,46.64087420
RKNA4104,4104.0,ديراب الفرعي,حي نمار,الرياض,14963.0,24.56079845,46.67646161
RKNA2587,2587.0,الدائري الجنوبي الفرعي,حي نمار,الرياض,14962.0,24.57473196,46.67753019
RLFA2589,2589.0,ديراب الفرعي,حي الشفا,الرياض,14712.0,24.57837781,46.70176382
RMAA3261,3261.0,ابن يعقوب,حي العزيزية,الرياض,14515.0,24.58606631,46.75909922
RBSA2257,2257.0,السويدي العام,حي السويدي,الرياض,12791.0,24.59866316,46.69264820
RBSA2257,2257.0,السويدي العام,حي السويدي,الرياض,12791.0,24.59866316,46.69264820
RBSB2711,2711.0,السويدي العام,حي السويدي,الرياض,12791.0,24.60047488,46.69782428
RBSC3313,3313.0,السويدي العام,حي السويدي,الرياض,12791.0,24.60199901,46.70287978
RDLG3153,3153.0,الطائف,حي ظهرة لبن,الرياض,13784.0,24.63711708,46.53727600
RBMA6800,6800.0,التخصصي,حي المعذر,الرياض,12714.0,24.66376933,46.68271128
REQB8057,8057.0,عبدالله بن يحنس,حي الفاروق,الرياض,12863.0,24.65893635,46.78310926
RCRA2499,2499.0,زرقاء اليمامة,حي المربع,الرياض,12628.0,24.65716621,46.71274173
