city,neighborhood_aname,neighborhood_ename,type,subtype_name,point_aname,point_ename,postal_code,building_no,additional_no,short_address,street_aname,street_ename,CentroidX,CentroidY
الرياض,الملقا,AL-MALQA,Restaurant,Other,شاي مضبوط,shay madbut,13521,2117,7759,RRMA2117,انس بن مالك,Anas Ibn Malik,46.6052035944861,24.8022000583911
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد السالم,salem mosque,13521,2193,7730,RRMA2193,ممر90,90 Ln,46.6065052524773,24.8019716126547
الرياض,الملقا,AL-MALQA,Commercial,Supermarket,بنده,panda,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6124819528888,24.7907737977767
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,سيتي ماكس,city max,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6107068749785,24.7928665337314
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,مذركير,mothercare,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6122594732849,24.7912009110272
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,كليرز,claires,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6123903436401,24.7914686003903
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,بايليس,payless,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6122416273273,24.7918969033715
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,هاي كيدز,hi kids,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6119441947015,24.7920813115993
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,ماك,mac 3 5000 mak mac,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6118609135663,24.7922419252174
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,سبورتس ون,sports wen,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6117121972534,24.7926226389781
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,فافافوم,vavavoom,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6120096298792,24.7923252063525
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,ال مكان مول,almakan mall,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6121583461921,24.7925631524532
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,اتش اند أم,hm,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6113671754075,24.7931342230945
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,سنتربوينت,center point,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6129649834731,24.7905180057185
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,نيو لوك,new look,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6126889659963,24.7913912679076
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,كوتون,koton,13521,2754,6619,RRMC2754,الرحيبات,Al Rahebat,46.6128602871888,24.7910593330973
الرياض,الملقا,AL-MALQA,Industrial,Company & Institution,معرض شركة سمنان لتحلية و فلاتر و مضخات المياه,exhibition semnan company desalination filters and water pumps,13521,2974,6102,RRMA2974,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6137393976985,24.787049581822
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,ميثاق المستقبل للانارة,mithaq almustaqbal lil iinara,13521,2984,6109,RRMD2984,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6141581828355,24.7872780100785
الرياض,الملقا,AL-MALQA,Hotel,Hotel Suite,اجنحة النخبة الفندقية,alnnukhba hotel suite,13521,3013,7022,RRMA3013,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6144785387901,24.7955373319769
الرياض,الملقا,AL-MALQA,Financial Service,Bank,البنك الاول,al awwal bank,13521,3071,8250,RRMA3071,انس بن مالك,Anas Ibn Malik,46.6148401201949,24.8066294117067
الرياض,الملقا,AL-MALQA,Industrial,Company & Institution,شركة كاريدج السعودية المحدودة,Carriage KSA HQ,13521,3071,8250,RRMA3071,انس بن مالك,Anas Ibn Malik,46.6150821000001,24.8064178
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,مطعم سوه,suh restaurant,13521,3071,8250,RRMA3071,انس بن مالك,Anas Ibn Malik,46.6153764842973,24.806760493698
الرياض,الملقا,AL-MALQA,School,Institute,معهد الطاقات البشرية للتدريب,human resources training institute,13521,3071,8250,RRMA3071,انس بن مالك,Anas Ibn Malik,46.6151409176577,24.8064071437385
الرياض,الملقا,AL-MALQA,Auto-Service,Auto Service Station,مغسلة سيارات,,13521,3124,6188,RRMD3124,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.615509716687,24.7880489554446
الرياض,الملقا,AL-MALQA,Auto-Service,Auto Workshop,ورشة سيارات,,13521,3124,6188,RRMD3124,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6156334486592,24.7879061877841
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات الصيعري,sayari supermarket,13521,3124,6188,RRMD3124,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6153859847146,24.7877919736558
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,ضياء النواعم,dia alnnawaeim,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6157655261719,24.8069889219546
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تحف الاندلس,tahiff alaindils,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6160296463436,24.8069889219546
الرياض,الملقا,AL-MALQA,Financial Service,ATM Machine,صراف البنك الاول,al awwal atm,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6148055447996,24.8066925273177
الرياض,الملقا,AL-MALQA,Hotel,Hotel Suite,دارينا أجنحة شقة,darina hotel suite,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.616165275621,24.8068640002518
الرياض,الملقا,AL-MALQA,Industrial,Company & Institution,شركة الغذاء اليومية,alghidha' alyawmia company,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6152158706795,24.8061680079074
الرياض,الملقا,AL-MALQA,Restaurant,Other,تالة الجود,talah aljood,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6156655888096,24.8068854154009
الرياض,الملقا,AL-MALQA,Restaurant,Other,كارميه,carmey,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6159546933218,24.806949660848
الرياض,الملقا,AL-MALQA,Auto-Service,Auto Agency,العيسى للسيارات,alissa auto,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6162330902595,24.8070246138697
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,محل جدوف,juduf,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6164222574096,24.807081720934
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,سنبل,sonbol,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.616361581154,24.8072601805094
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,فونتي,fonte,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.616557886687,24.8071209820405
الرياض,الملقا,AL-MALQA,Restaurant,Other,غلوريا جينز كوفيز,gloria jean s coffees,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6166863775814,24.8073601178716
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,بقالة حمد بن عبدالله,hamd bin ebdallh,13521,3312,6261,RRMG3312,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6173018053402,24.7885891763741
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,فنون المائدة,fanun almayida,,,,,,,46.6186851248265,24.8081346324292
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد عبد الله العسكر,abdullah alaskar mosque,,,,,,,46.6186208793794,24.8078776506404
